Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3374772;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;01;76;726,907089763337;76
3374772;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;76;726,907089763337;76
3374772;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;76;726,907089763337;76
3374773;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;784,331135605097;76
3374773;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;76;784,331135605097;76
3374773;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;784,331135605097;76
3374773;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;01;76;784,331135605097;76
3374775;1;1;1;90; ;2;1;2;1;2;2;2;1;2;1; ;10; ;2; ; ; ;16; ;6;1;01;76;1269,5788766201;76
3374775;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;45; ;99; ; ; ; ; ; ;1;01;76;1269,5788766201;76
3374775;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;8; ; ; ; ; ; ;1;01;76;1269,5788766201;76
3374775;1;5;1;90; ;2;1;2;1;2;2;2;2;2;1; ;16; ;30; ; ; ; ; ;6;1;01;76;1269,5788766201;76
3374777;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;1;01;76;1276,91475482936;76
3374777;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;30; ; ; ; ; ; ;1;01;76;1276,91475482936;76
3374777;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;1276,91475482936;76
3374778;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;01;76;909,571860904701;76
3374778;1;2;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;7; ; ; ; ; ; ;1;01;76;909,571860904701;76
3374778;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;01;76;909,571860904701;76
3374778;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;909,571860904701;76
3374778;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;1;01;76;909,571860904701;76
3374779;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;789,177571171566;76
3374779;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;789,177571171566;76
3374780;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;773,141329496367;76
3374780;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;76;773,141329496367;76
3374780;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;773,141329496367;76
3374780;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;773,141329496367;76
3374780;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;01;76;773,141329496367;76
3374781;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;14; ; ; ; ; ; ;1;01;76;1015,09962761035;76
3374781;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;24; ; ; ; ; ; ;1;01;76;1015,09962761035;76
3374782;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;14; ; ; ; ; ; ;1;01;76;1090,28695569344;76
3374782;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;21; ; ; ; ; ; ;1;01;76;1090,28695569344;76
3374784;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;10; ; ; ; ; ; ;1;01;76;1079,53699388565;76
3374784;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;12; ; ; ; ; ; ;1;01;76;1079,53699388565;76
3374784;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;2; ; ; ; ; ; ;1;01;76;1079,53699388565;76
3374785;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;28; ; ; ; ; ; ;1;01;76;1082,99235720558;76
3374786;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;802,754182795835;76
3374786;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;49; ; ; ; ; ; ; ; ;1;01;76;802,754182795835;76
3374787;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;01;76;1014,51591279833;76
3374787;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;76;1014,51591279833;76
3374788;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;01;76;1082,99235720558;76
3374789;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;24; ; ;21; ; ; ; ; ;1;01;76;1150,71182782264;76
3374789;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;76;1150,71182782264;76
3374789;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;01;76;1150,71182782264;76
3374789;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;01;76;1150,71182782264;76
3374790;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;2; ; ; ; ; ; ;1;01;76;989,749495065332;76
3374790;1;2;1;90; ;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;60; ; ;1;01;76;989,749495065332;76
3374790;1;3;1;90; ;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;6; ; ;1;01;76;989,749495065332;76
3374792;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;76;932,841343661907;76
3374793;1;1;1;90; ;2;1;1;2;2;2;2;2;2;2; ;21;6; ; ; ; ; ; ; ;1;01;76;932,841343661907;76
3374794;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;25; ; ; ; ; ; ;1;01;76;946,341905148786;76
3374794;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;25; ; ; ; ; ; ;1;01;76;946,341905148786;76
