DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2142398;1;1;1;2;1;4;2;1;5;1; ; ;3000000;30000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;3;1;1;5;1;1;2;2;2;2;1; ; ;01;2;02;54;1;487,719397469858
2142399;1;2;1;2;1;4;2;1;4;1; ; ;5000000;50000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;2;2;2;2;1; ; ;01;2;02;54;1;664,793978178858
2142400;1;3;1;2;1;4;2;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;1;1;3;2;1;2;2;2;2;1; ; ;01;2;02;54;1;777,172612399152
2142401;1;3;1;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;2;1;1;3;2;1;2;2;2;1;1; ;2;01;2;02;54;1;877,763026916934
2142402;1;4;1;2;1;4;1;1;5;1; ; ;7000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;02;54;1;1248,72403229179
2142403;1;2;1;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;2;01;2;02;54;1;1248,72403229179
2142404;1;3;1;3;1;4;1;1;5;1; ; ;6000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;2;01;2;02;54;1;734,667671577511
2142409;1;3;2;2;1;4;1;3;5;1; ; ;6000000;50000; ;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;54;1;678,13248861862
2142415;1;3;2;2;1;4;2;1;4;1; ; ;7000000;100000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;742,252068345632
2142416;1;3;2;2;1;4;2;1;5;1; ; ;8000000;40000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2; ;9;1;1;5;2;1;2;2;2;2;2; ; ;01;2;02;54;1;1243,02160321305
