DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4534353;1;5;1;70;2;20;44;1; ;2;96;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;54;95;1;2;01;9500;52;7797,47551902421
4534353;1;6;1;70;2;20;44;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;61;01;1;2;01;0140;52;7797,47551902421
4534354;1;2;1;70;2;52;30;3; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;53;61;01;1;2;01;0140;52;5776,54706350791
4534358;1;1;1;70;2;5;40;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;300000;2; ;61;61;01;1;1;01;0140;52;4698,69500661868
4534360;1;3;1;70;2;21;40;1; ;2;21;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;45;54;95;1;2;01;9500;52;1949,36887975605
4534371;1;4;1;70;2;3;40;1; ;2;3;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;500000;2; ;33;53;18;1;1;01;1810;52;3033,26141832958
4534374;1;2;1;70;2;4;40;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;200000;2; ;61;61;01;1;1;01;0140;52;1949,36887975605
4534461;1;2;1;70;2;7;35;4; ;2;7;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;55;55;74;1;1;01;7493;63;831,375155173999
4534461;1;3;1;70;2;3;48;1; ;2;54;4; ;1;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;45;53;55;1;1;01;5521;63;831,375155173999
4534462;1;3;1;70;2;4;60;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;45;45;52;1;1;01;5233;63;943,480880703879
4534464;1;3;1;70;2;3;48;3; ;2;3;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;59;45;52;1;1;01;5233;63;632,903111322534
4534466;1;3;1;70;2;8;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781000; ; ;03; ; ;1;1;01; ;63;1385,35576170427
4534471;1;3;1;70;2;2;48;3; ;2;162;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;720000;2; ;55;53;55;1;1;01;5521;63;639,488132958195
4534490;1;2;1;70;2;1;30;4; ;2;59;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;350000;2; ;53;99;74;1;1;01;7493;63;1749,4672925242
