DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;AREA;fex_c_2011
1994088;1;4;1;90; ;2;1;2;2;2;2;2;2;2;1; ;30; ; ; ; ; ; ; ;3;1;68;68;481,021792407408
1994088;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;481,021792407408
1994089;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;476,352035459669
1994089;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;476,352035459669
1994090;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;68;68;328,518649428588
1994090;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;68;68;328,518649428588
1994090;2;1;2;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;68;68;328,518649428588
1994105;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;68;68;601,526172155056
1994105;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;601,526172155056
1994106;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;68;68;463,772270900675
1994106;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;56; ; ;10; ; ; ; ; ;1;68;68;463,772270900675
1994106;1;3;1;90; ;2;1;2;2;1;2;2;2;2;2; ;12; ; ;3; ; ; ; ; ;1;68;68;463,772270900675
1994106;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;68;68;463,772270900675
1994124;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;68;68;477,750213652103
1994124;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;68;68;477,750213652103
1994125;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;464,124001786738
1994125;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;68;68;464,124001786738
1994125;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;68;68;464,124001786738
1994125;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;68;68;464,124001786738
1994126;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;6; ; ; ; ; ; ;1;68;68;611,687633362399
1994126;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;12; ; ; ; ; ; ;1;68;68;611,687633362399
1994146;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;68;68;500,407902465113
1994147;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;68;68;501,784263787421
1994148;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;68;68;402,830369942001
1994148;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;402,830369942001
1994148;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;68;68;402,830369942001
1994149;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;68;68;450,837234657381
1994149;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;68;68;450,837234657381
1994149;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;68;68;450,837234657381
2004935;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;05;05;1100,80310093666
2004935;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1100,80310093666
2005534;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;05;05;1086,89192188621
2005534;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;30; ; ; ; ;4; ; ; ;1;05;05;1086,89192188621
2005534;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;1086,89192188621
2005534;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1086,89192188621
2005534;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;1086,89192188621
2005535;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005535;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005535;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005535;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005535;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005535;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1602,76747507607
2005536;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;1293,75720217957
2005536;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;05;05;1293,75720217957
2005537;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;05;05;666,325454736881
2005537;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;05;05;666,325454736881
2005537;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;666,325454736881
2005537;1;4;1;90; ;2;1;1;2;2;2;2;2;2;2; ;2;5; ; ; ; ; ; ; ;1;05;05;666,325454736881
2005537;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;666,325454736881
2005538;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;4; ; ; ; ; ; ;1;05;05;828,005217435133
2005539;1;1;1;90; ;2;1;2;2;2;2;2;2;2;1; ;4; ; ; ; ; ; ; ;2;1;05;05;1014,79413973617
2005539;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;5; ; ; ; ; ; ;1;05;05;1014,79413973617
2005539;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;5; ; ; ; ; ; ;1;05;05;1014,79413973617
2005539;1;5;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;5; ; ; ; ; ; ;1;05;05;1014,79413973617
2005540;1;1;1;90; ;2;1;1;2;2;2;2;2;2;2; ;4;25; ; ; ; ; ; ; ;1;05;05;924,180977054902
2005541;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;12; ; ; ; ; ;25; ; ;1;05;05;900,267867863774
2005541;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;5; ; ; ; ; ; ;1;05;05;900,267867863774
2005541;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;5; ; ; ; ; ; ;1;05;05;900,267867863774
2005541;1;5;1;90; ;2;1;1;2;2;2;2;2;2;2; ;10;5; ; ; ; ; ; ; ;1;05;05;900,267867863774
2005542;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;748,626284161683
2005542;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;05;05;748,626284161683
2005542;1;3;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;24; ; ; ;1;05;05;748,626284161683
2005542;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;748,626284161683
2005542;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;05;05;748,626284161683
2005543;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;2; ;5; ; ; ; ; ; ;1;05;05;1143,71423637357
2005543;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;10; ; ; ; ; ; ;1;05;05;1143,71423637357
2005544;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;1293,75720217957
2005544;1;2;1;90; ;2;1;2;2;2;1;1;2;2;2; ;14; ; ; ;7;5; ; ; ;1;05;05;1293,75720217957
2005545;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;05;05;896,323112988895
2005545;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;05;05;896,323112988895
2005545;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;5; ; ; ; ; ; ;1;05;05;896,323112988895
2005545;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;896,323112988895
2005545;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;896,323112988895
2005546;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;693,271370266764
2005546;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;693,271370266764
2005546;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;10; ; ; ; ; ; ;1;05;05;693,271370266764
2005546;1;6;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;693,271370266764
2005546;1;7;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;693,271370266764
2005547;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1109,15168304861
2005547;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;5; ; ; ; ; ; ;1;05;05;1109,15168304861
2005548;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;5; ; ; ; ; ; ;1;05;05;1114,36575808754
2005548;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;22; ; ; ; ; ; ; ; ;1;05;05;1114,36575808754
2005548;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1114,36575808754
2005549;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;962,724174385447
2005549;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;1;05;05;962,724174385447
2005549;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;962,724174385447
2005549;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;05;05;962,724174385447
2005550;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;951,618564400751
2005550;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;1;05;05;951,618564400751
2005551;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;675,049038612093
2005551;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;10; ; ; ; ; ; ;1;05;05;675,049038612093
2005551;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;5; ; ; ; ; ; ;1;05;05;675,049038612093
2005552;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;948,849244190479
2005552;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;10; ; ; ; ; ; ;1;05;05;948,849244190479
2005552;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;948,849244190479
2005552;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;2; ; ; ; ; ; ;1;05;05;948,849244190479
2005553;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;5; ; ; ; ; ; ;1;05;05;1268,33814972519
2005553;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;20; ; ; ; ; ; ;1;05;05;1268,33814972519
2005554;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;6; ;6; ; ; ; ; ; ;1;05;05;1395,51222370101
2005554;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1395,51222370101
2005554;1;3;1;90; ;2;1;2;1;1;2;2;2;2;2; ;40; ;60;10; ; ; ; ; ;1;05;05;1395,51222370101
2005554;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;10; ; ; ; ; ; ;1;05;05;1395,51222370101
2005555;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1079,6593119558
2005555;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;38; ; ; ; ; ; ; ; ;1;05;05;1079,6593119558
2005555;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;05;05;1079,6593119558
2005556;1;1;1;90; ;2;1;2;1;2;2;2;2;2;1; ;12; ;12; ; ; ; ; ;6;1;05;05;1143,71423637357
2005556;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;10; ; ; ; ; ; ;1;05;05;1143,71423637357
2005557;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1096,93010088237
2005557;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;05;05;1096,93010088237
2005558;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;05;05;1041,15200375596
2005558;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;1041,15200375596
2005558;1;3;1;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;4;1;05;05;1041,15200375596
2005558;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1041,15200375596
2005559;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;05;05;880,003427965268
2005559;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;70; ; ; ; ; ; ;1;05;05;880,003427965268
2005560;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005560;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;28; ; ; ; ;15; ; ; ;1;05;05;875,635489858899
2005560;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005560;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005560;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005561;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;05;05;1647,00144994307
2005561;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1647,00144994307
2005561;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;1; ;14; ; ; ; ; ; ;1;05;05;1647,00144994307
2005561;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;50; ; ; ; ; ; ; ; ;1;05;05;1647,00144994307
2005563;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;7; ; ; ; ; ; ;1;05;05;1159,57775554634
2005563;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;30; ; ; ; ; ; ;1;05;05;1159,57775554634
2005563;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1159,57775554634
2005563;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1159,57775554634
2005563;1;6;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;60; ; ; ; ; ; ;1;05;05;1159,57775554634
2005563;1;7;1;90; ;2;1;2;1;2;2;2;2;2;2; ;1; ;15; ; ; ; ; ; ;1;05;05;1159,57775554634
2005564;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;30; ; ; ; ; ; ;1;05;05;728,361844263177
2005564;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;05;05;728,361844263177
2005564;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;728,361844263177
2005565;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;1;05;05;589,274949206494
2005565;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;589,274949206494
2005565;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;589,274949206494
2005566;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005566;1;2;1;90; ;2;1;1;2;2;2;2;2;2;2; ;30;8; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005566;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005566;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005566;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;875,635489858899
2005567;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;920,307977000612
2005568;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;14; ; ; ; ; ; ;1;05;05;1184,01878540891
2005569;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;05;05;1293,75720217957
2005569;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;1293,75720217957
2005570;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;30; ; ; ; ; ; ;1;05;05;972,306187530747
2005570;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;1;05;05;972,306187530747
2005571;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;21; ; ; ; ; ; ;1;05;05;893,878358160236
2005571;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;2; ; ; ; ; ; ;1;05;05;893,878358160236
2005572;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;30; ; ; ; ; ; ;1;05;05;1201,45444261409
2005572;1;2;1;90; ;2;1;2;1;2;2;2;2;2;1; ;14; ;30; ; ; ; ; ;24;1;05;05;1201,45444261409
2005573;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;2; ;21; ; ; ; ; ; ;1;05;05;1184,01878540891
2005574;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;30; ; ; ; ; ; ;1;05;05;1001,65466581678
2005575;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;05;05;935,286587039598
2005575;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;05;05;935,286587039598
2005575;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;935,286587039598
2005576;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;1;05;05;1123,45283318076
2005576;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;50; ; ; ; ; ; ;1;05;05;1123,45283318076
2005576;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;05;05;1123,45283318076
2005576;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1123,45283318076
2005577;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;5; ;5; ; ;1; ; ; ;1;05;05;1148,9283114125
2005577;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;40; ; ; ; ; ; ;1;05;05;1148,9283114125
