Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3267841;1;5;3;1;1;1;1;1;3;3; ; ; ; ;560000;1;1;1;2;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;5;2;2; ;5;1;1;1;3;1;1;1;1;1;3;2;1;01;17;08;17;188,191224409878
3267842;1;4;4;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;6;2;2; ;7;1;1;1;2;1;1;1;1;1;2;3;2;01;73;08;73;265,623564714326
3267843;1;3;2;1;1;1;1;5;3;1; ; ;35000000;180000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;1;3;2;01;73;08;73;270,604339132207
3267844;1;3;2;1;1;1;1;1;3;1; ; ;35000000;350000; ;2;2;1;2;2;2;2;2;2;1;1;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;73;08;73;252,91071116072
3267845;1;5;1;1;1;1;1;1;3;1; ; ;35000000;300000; ;1;2;1;2;1;2;2;2;1;1;1;1;1;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;1;1;1;1;2;3;1;01;73;08;73;257,522109380908
3267846;1;2;1;1;1;1;1;2;3;1; ; ;80000000;350000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;2;01;73;08;73;238,414883153762
3267847;1;2;2;1;1;1;1;1;3;1; ; ;98;300000; ;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;2;3;1;01;73;08;73;265,992940912019
3267848;1;1;1;1;1;1;1;6; ;1; ; ;98;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;4;1;1;1;2;1;1;1;0;3;1;01;73;08;73;285,007716020873
3267849;1;4;3;1;1;1;1;1;3;3; ; ; ; ;350000;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;1;1;1;1;2;1;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;2;3;1;01;73;08;73;215,843566318834
3267850;1;3;2;1;1;1;1;1;3;3; ; ; ; ;270000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2; ;2;1;2;1;2;1;1;1;1;1;2;3;1;01;73;08;73;247,505491363209
3267851;1;5;4;1;1;1;1;1;3;3; ; ; ; ;750000;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;3;3;2;01;73;08;73;210,929276513797
3267852;1;2;2;1;2;1;1;1;4;3; ; ; ; ;250000;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;3;1;4;1;2;1;1;1;2;7;2;01;73;08;73;247,505491363209
3267853;1;1;1;1;2;1;1;6; ;3; ; ; ; ;250000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;3;1;2;1;2;1;1;1;2;7;1;01;73;08;73;285,007716020873
3267854;1;2;2;1;2;1;1;1;3;4; ; ; ;350000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;73;08;73;272,227526568672
3267854;2;3;2;1;1;1;1;1;3;4; ; ; ;500000; ;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;2;1;1;4;1;1;1;1;1;3;3;1;01;73;08;73;272,227526568672
3267854;3;1;1;1;2;1;1;1;3;4; ; ; ;250000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;1;1;2;3;1;1;4;1;1;1;1;1;3;3;1;01;73;08;73;272,227526568672
3267855;1;5;3;1;1;1;1;1;3;1; ; ;12000000;800000; ;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;2;01;73;08;73;230,036502740943
3267856;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;2;01;73;08;73;260,587721114508
3267858;1;5;3;1;1;1;1;1;3;4; ; ; ;500000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;2;3;2;01;73;08;73;261,492602738567
3267859;1;2;1;1;1;1;1;6; ;3; ; ; ; ;600000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;2;1;2;1;2;1;1;1;2;3;1;01;73;08;73;285,007716020873
3267911;1;6;1;1;1;1;1;1;4;1; ; ;50000000;500000; ;2;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;3;3;1;01;52;08;52;133,265751878145
3267912;1;5;3;1;1;1;1;1;4;1; ; ;100000000;600000; ;2;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;3;2;2; ;4;1;1;1;4;1;2;1;1;1;3;2;1;01;52;08;52;163,592174060517
3267913;1;3;2;1;1;1;1;1;4;3; ; ; ; ;380000;2;1;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;3;1;01;52;08;52;145,293995746924
3267915;1;5;1;1;1;1;1;1;4;1; ; ;200000000;98; ;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;08;52;133,265751878145
3267916;1;3;1;1;1;1;1;1;4;4; ; ; ;98; ;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;1;2;1;1;2;1;4;1;2;1;1;1;2;3;1;01;52;08;52;150,023320180738
3267917;1;3;2;1;1;1;1;1;4;1; ; ;98;300000; ;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;2;3;1;01;52;08;52;137,092561674805
3267918;1;3;2;1;1;1;1;1;4;3; ; ; ; ;180000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;1;3;1;01;52;08;52;122,580164410074
3267919;1;3;1;1;1;1;1;1;4;1; ; ;98;300000; ;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;4;1;2;1;1;1;1;3;1;01;52;08;52;168,107999588706
3267920;1;2;2;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;1;1;1;1;3;1;01;52;08;52;191,03532983118
3267922;1;4;1;1;1;1;1;1;4;1; ; ;60000000;150000; ;2;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2; ;2;2; ;1;1;1;1;4;1;2;1;1;1;1;3;2;01;52;08;52;150,023320180738
3267923;1;5;3;1;1;1;1;1;4;1; ; ;60000000;200000; ;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;3;2;2; ;5;1;2;1;4;1;2;1;1;1;2;3;2;01;52;08;52;173,475419396367
3267924;1;4;2;1;2;1;1;1;4;3; ; ; ; ;150000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;1;1;1;2;3;1;01;52;08;52;170,731120433893
3267924;2;1;1;1;2;1;1;6; ;3; ; ; ; ;90000;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;1;4;1;2;1;1;1;2;3;1;01;52;08;52;170,731120433893
