DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4571786;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;2099,48821198779
4571787;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1436,73756568131
4571788;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;2223,80700823854
4571789;1;1;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;23;1069,42430168589
4571789;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;23;1069,42430168589
4571792;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;1066,54424862245
4571796;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;3198,36504473499
4571796;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;3198,36504473499
4571797;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;3831,65480800591
4571797;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;23;3831,65480800591
4571797;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;23;3831,65480800591
4571798;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;23;3483,02242869667
4571886;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;63;1588,30903889536
4571888;1;2;1;80;2;1;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;63;2617,29505471845
4571888;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;63;2617,29505471845
4571889;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;63;1093,8846654379
4571893;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;63;1233,88785235391
4571894;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;63;641,872592148943
4571895;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;63;1208,52226238043
4571895;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;63;1208,52226238043
4571895;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;63;1208,52226238043
4571896;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;63;931,992258545133
4571900;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;63;641,872592148943
4571900;1;3;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;42;500000;2;1;03;63;641,872592148943
4571901;1;2;1;80;2;1;4;6; ;2; ; ;8; ;2; ;2; ;1;50;500000;2;1;03;63;1539,65573784507
4571904;1;1;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;50;500000;2;1;03;63;1341,05441335026
4571906;1;3;1;80;2;2; ; ; ; ;1;1;2; ;2; ;2; ;2; ;700000;2;1;03;63;852,384017575633
4574303;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1277,93696418803
4574304;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;780,343767964152
4574304;1;4;1;80;2;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;780,343767964152
4574305;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1004,7244082101
4574307;1;2;1;80;2;2; ; ; ; ;1;4;9; ;1; ;2; ; ; ; ;2;1;03;19;1372,83186168072
4574308;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;19;870,270854593535
4574308;1;4;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;40;500000;2;1;03;19;870,270854593535
4574308;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;870,270854593535
4574320;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;550,664473454248
4574320;1;4;1;80;2;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574320;2;4;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574322;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1274,12996450587
4574323;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574323;1;4;1;80;2;1;1;9;CALAMIDAD DOMESTICA;2; ; ;9; ;2; ;2; ;1;40;781242;2;1;03;19;550,664473454248
4574324;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;19;804,061081009538
4574324;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;804,061081009538
4574325;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574325;1;3;1;80;2;1;4;9;LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574326;1;2;1;80;2;1;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;1397,00297784694
4574327;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1309,64289443789
4574329;1;1;1;80;2;1;4;8; ;1; ;4;1; ;2; ;2; ;1;40;700000;2;1;03;19;550,664473454248
4574329;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574329;1;3;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574331;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;24;350000;2;1;03;19;1267,60423702012
4574336;1;2;1;80;2;1;1;3; ;2; ; ;1; ;2; ;2; ;1;40;500000;2;1;03;19;1510,16389266142
4574338;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;24;500000;2;1;03;19;1371,52069654525
4574338;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1371,52069654525
4574338;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1371,52069654525
4574339;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;626,443977132115
4574340;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;1040,39708770267
4574340;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1040,39708770267
4574340;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1040,39708770267
4574341;1;1;1;80;2;1;1;8; ;2; ; ;1; ;2; ;1;300000;1;40;700000;2;1;03;19;1267,60423702012
4574341;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1267,60423702012
4574342;1;1;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574342;1;3;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574342;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;550,664473454248
4574345;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;19;1125,04625995388
4574346;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1737,53079153941
4574346;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1737,53079153941
4574346;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1737,53079153941
4574347;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;1267,60423702012
4574347;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1267,60423702012
4574348;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1207,92019092187
4574349;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;661,956907064139
4574350;1;1;1;80;2;1;3;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;726,855515512668
4574350;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;726,855515512668
4574350;1;3;1;80;2;1;1;3; ;2; ; ;9; ;2; ;1;750000;1;40;400000;2;1;03;19;726,855515512668
4574351;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1121,56137746495
4574351;1;9;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1121,56137746495
4574352;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1371,03658174184
4574352;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;800000;2;1;03;19;1371,03658174184
4574352;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1371,03658174184
4574352;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1371,03658174184
4574353;1;3;1;80;2;2; ; ; ; ;1;1;8; ;2; ;2; ; ; ; ;2;1;03;19;1340,33973808987
4574353;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1340,33973808987
4574354;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1468,42731378122
4574354;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1468,42731378122
4574355;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1418,37544024307
4574357;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;19;1011,86368837723
4574357;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1011,86368837723
4574357;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1011,86368837723
4574358;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;19;1687,47320523459
4574358;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1687,47320523459
4574358;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1687,47320523459
4574359;1;8;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;19;550,664473454248
4574360;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1333,81401060412
4574361;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;24;500000;2;1;03;19;1298,30108067209
4574361;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1298,30108067209
4574361;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1298,30108067209
4574362;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1170,99969832173
4574363;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1579,87858739
4574364;2;1;2;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;19;1343,70233025741
4574367;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;300000;2;1;03;19;1627,78915913634
4574367;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1627,78915913634
4574367;1;9;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1627,78915913634
4574367;1;11;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;700000;2;1;03;19;1627,78915913634
4574368;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1313,14781558247
4574368;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1313,14781558247
4574369;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;19;1371,03658174184
4574369;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1371,03658174184
4574369;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;19;1371,03658174184
4574375;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;300000;2;1;03;44;1884,14947087696
4574376;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;44;2337,50611254009
4574377;1;2;1;80;2;2; ; ; ; ;1;2;9; ;2; ;2; ; ; ; ;2;1;03;44;1968,35867750025
4574379;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;44;3380,87743117674
4574380;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;44;1176,51829023441
4574382;1;1;1;80;2;1;4;3; ;2; ; ;1; ;2; ;2; ;1;18;300000;2;1;03;44;2125,55219232865
4574382;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;44;2125,55219232865
4574382;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;44;2125,55219232865
4574382;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;300000;2;1;03;44;2125,55219232865
4574383;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;44;1519,78746809088
4574385;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2225,02882279157
4574386;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3565,40392197165
4574387;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
4574387;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
4574388;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3582,01453324327
4574389;1;2;1;80;2;1;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;03;05;1323,65827464415
4574389;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1323,65827464415
4574390;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1689,94148621788
4574390;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1689,94148621788
4574391;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;4213,8781141917
4574391;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;4213,8781141917
4574394;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2116,4572535133
4574394;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;2116,4572535133
4574394;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;2116,4572535133
4574395;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2123,65033953772
4574395;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2123,65033953772
4574396;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;03;05;2960,01797362257
4574397;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3388,06236378151
4574397;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3388,06236378151
4574398;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
4574399;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2116,4572535133
4574399;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2116,4572535133
4574399;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;2116,4572535133
4574400;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2494,64200325488
4574400;1;6;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;03;05;2494,64200325488
4574401;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;3565,40392197165
4574401;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3565,40392197165
4574403;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;3565,40392197165
4574403;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;3565,40392197165
4574414;1;2;1;80;2;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;03;05;1929,13099086224
4574415;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;1;700000; ; ; ;2;1;03;05;2656,35987645507
4574415;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;05;2656,35987645507
4574415;1;4;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;03;05;2656,35987645507
4574415;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;2656,35987645507
4574416;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;1;200000; ; ; ;2;1;03;05;1757,77120232079
4574416;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1757,77120232079
4574419;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
4574420;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;2999,02366643053
4574421;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2999,02366643053
4574423;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1323,65827464415
4574423;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1323,65827464415
4574423;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1323,65827464415
4574424;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2765,49862494708
4574424;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;2765,49862494708
4574424;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;2765,49862494708
4574425;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;3167,06538250668
4574425;1;3;1;80;2;1;2;6; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;03;05;3167,06538250668
4574426;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;2387,31387520549
4574428;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
4574429;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1929,13099086224
4574429;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1929,13099086224
