DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
612677,1,6,70,8,40,1,,2,8,1,,5,1,,,,,,,,,,1,,2,,2,1,1,45,54,5511,55,63,98,55.634.111.954.161
612679,1,2,70,1,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,32,,,,63,98,280.438.913.420.738
612684,1,1,70,72,48,1,,2,72,1,,9,1,,,,,,,,,,1,,2,,2,1,1,58,39,5241,52,63,98,556.807.546.307.515
612684,2,2,70,8,48,1,,2,20,4,,1,2,,,,,,,,,,1,,2,,2,1,1,45,54,7493,74,63,98,556.807.546.307.515
612687,1,6,70,16,48,1,,2,20,1,,4,1,,,,,,,,,,1,,2,,2,1,1,45,54,5511,55,63,98,20.057.774.161.437
612695,1,1,70,4,60,3,,2,5,3,,1,1,,,,,,,,,,1,,1,250000,2,1,1,54,54,9500,95,66,66,295.541.008.390.395
612713,1,2,70,12,48,1,,2,20,4,,1,2,,,,,,,,,,1,,2,,2,1,1,39,45,5261,52,68,68,384.879.803.363.848
612715,1,3,70,24,48,1,,2,24,1,,9,4,,,,,,,,,,1,,2,,2,1,1,21,70,123,1,68,68,287.306.442.784.405
612723,1,2,70,9,40,2,,2,8,2,,9,1,,,1,,1,,,,,,,2,,2,1,1,19,19,7512,75,68,68,336.060.550.380.502
612724,1,2,70,32,48,1,,2,32,1,,9,1,,,,,,,,,,1,,2,,2,1,1,45,39,8511,85,68,68,401.789.055.330.609
612724,1,3,70,4,48,1,,2,6,1,,9,1,,,,,,,,,,1,,2,,2,1,1,45,84,7220,72,68,68,401.789.055.330.609
612732,1,7,70,52,24,1,,2,104,1,,9,1,,,,,,,,,,1,,2,,2,1,1,45,45,5211,52,68,68,309.569.374.267.303
612740,1,2,70,10,48,1,,2,10,1,,4,4,,,,,,,,,,1,,2,,2,1,1,45,79,1741,17,68,68,22.223.235.819.576
