DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
612010;1;1;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;285.635.611.417.859
612010;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;285.635.611.417.859
612010;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;285.635.611.417.859
612010;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;285.635.611.417.859
612010;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;285.635.611.417.859
612011;1;1;95;1;;2;1;;1000000;;2;2;;;;;;;;;;;;;1;;;13;13;266.283.261.165.175
612011;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;266.283.261.165.175
612012;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;321.867.567.220.217
612012;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;321.867.567.220.217
612013;1;1;95;1;;2;1;;1500000;;2;1;2;;2;;;;;;4800000;2;1;2;1;;2;13;13;302.783.689.604.676
612014;1;1;95;1;;1;2;;;250000;2;2;;;;;;;;;;;;;1;;;13;13;212.482.357.467.632
612014;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;212.482.357.467.632
612014;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;212.482.357.467.632
612015;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;171.029.215.538.699
612015;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;171.029.215.538.699
612015;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;171.029.215.538.699
612015;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;171.029.215.538.699
612016;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612016;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612016;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612016;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612018;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;1;;;13;13;529.860.174.935.549
612018;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;529.860.174.935.549
612018;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;529.860.174.935.549
612019;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;626.719.609.302.402
612019;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;626.719.609.302.402
612020;1;1;95;1;;2;1;;461500;;2;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;637.369.476.122.885
612020;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;637.369.476.122.885
612020;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;637.369.476.122.885
612021;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612021;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612021;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612021;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612021;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612021;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;222.999.884.160.394
612022;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;336.099.653.068.008
612022;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;336.099.653.068.008
612022;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;336.099.653.068.008
612023;1;1;95;1;;2;1;;1979000;;2;2;;;;;;;;;;;;;1;;;13;13;151.331.019.946.419
612023;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;151.331.019.946.419
612023;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;151.331.019.946.419
612023;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;151.331.019.946.419
612023;1;5;95;2;;;;;;;;1;2;;2;;;;;;360000;2;1;2;1;;2;13;13;151.331.019.946.419
612024;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;447.750.916.961.557
612024;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;447.750.916.961.557
612026;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;344.097.146.992.964
612026;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;344.097.146.992.964
612026;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;344.097.146.992.964
612027;1;1;95;1;;1;2;;;250000;2;2;;;;;;;;;;;;;1;;;13;13;271.038.070.661.042
612027;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;271.038.070.661.042
612029;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;313.359.804.651.201
612029;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;313.359.804.651.201
612031;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;1;;;13;13;565.073.778.550.686
612031;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;565.073.778.550.686
612032;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;590.090.048.162.024
612032;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;590.090.048.162.024
612033;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;252.333.947.866.526
612033;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;252.333.947.866.526
612033;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;252.333.947.866.526
612035;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612035;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612035;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612035;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612036;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;300.529.727.792.046
612036;1;2;95;1;;2;1;;550000;;2;2;;;;;;;;;;;;;1;;;13;13;300.529.727.792.046
612036;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;300.529.727.792.046
612036;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;300.529.727.792.046
612040;1;1;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;206.200.485.181.587
612040;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;206.200.485.181.587
612040;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;206.200.485.181.587
612041;1;1;95;2;;;;;;;;1;2;;2;;;;;;12000000;2;1;2;1;;2;13;13;228.234.030.219.847
612041;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;228.234.030.219.847
612042;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;360.495.948.712.304
612042;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;360.495.948.712.304
612043;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;261.746.096.194.511
612043;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;261.746.096.194.511
612043;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;261.746.096.194.511
612043;1;4;95;2;;;;;;;;1;2;;2;;;;;;3600000;2;1;2;1;;2;13;13;261.746.096.194.511
612046;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;256.458.582.347.687
612046;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;256.458.582.347.687
612046;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;256.458.582.347.687
612046;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;256.458.582.347.687
612046;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;256.458.582.347.687
612047;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;303.374.190.752.362
612047;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;303.374.190.752.362
612047;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;303.374.190.752.362
612048;1;1;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;284.326.174.310.524
612048;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;284.326.174.310.524
612048;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;284.326.174.310.524
612048;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;284.326.174.310.524
612049;1;1;95;1;;2;1;;480000;;2;2;;;;;;;;;;;;;1;;;13;13;25.929.007.139.523
612049;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;25.929.007.139.523
612049;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;25.929.007.139.523
612049;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;25.929.007.139.523
612050;1;1;95;1;;1;1;;1600000;700000;2;2;;;;;;;;;;;;;1;;;13;13;280.240.634.776.855
612050;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;280.240.634.776.855
612050;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;280.240.634.776.855
612051;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;218.248.416.321.007
612051;1;2;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;13;13;218.248.416.321.007
612051;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;218.248.416.321.007
612052;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612052;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612052;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612052;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;13;13;254.396.265.107.107
612053;1;1;95;2;;;;;;;;1;2;;2;;;;;;2800000;2;1;2;1;;2;15;15;398.800.163.737.392
612053;1;2;95;2;;;;;;;;1;2;;2;;;;;;2800000;2;1;2;1;;2;15;15;398.800.163.737.392
612053;1;3;95;2;;;;;;;;1;2;;2;;;;;;2800000;2;1;2;1;;2;15;15;398.800.163.737.392
612053;1;4;95;2;;;;;;;;1;2;;2;;;;;;2800000;2;1;2;1;;2;15;15;398.800.163.737.392
612056;1;1;95;2;;;;;;;;1;2;;2;;;;;;480000;2;1;2;1;;2;15;15;568.869.155.845.694
612056;1;2;95;2;;;;;;;;1;2;;2;;;;;;6000000;2;1;2;1;;2;15;15;568.869.155.845.694
612057;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;726.708.742.782.533
612058;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;754.181.920.327.781
612058;1;2;95;2;;;;;;;;1;2;;2;;;;;;3600000;2;1;2;1;;2;15;15;754.181.920.327.781
612060;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;564.269.691.171.488
612060;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;564.269.691.171.488
612060;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;564.269.691.171.488
612060;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;564.269.691.171.488
612061;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;73.432.257.465.906
612061;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;73.432.257.465.906
612063;1;1;95;2;;;;;;;;1;2;;2;;;;;;12000000;2;1;2;1;;2;15;15;757.913.853.378.802
612063;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;757.913.853.378.802
612063;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;757.913.853.378.802
612063;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;757.913.853.378.802
612064;1;1;95;1;;1;2;;;50000;2;2;;;;;;;;;;;;;1;;;15;15;167.179.714.061.626
612064;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;167.179.714.061.626
612064;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;167.179.714.061.626
612065;1;1;95;2;;;;;;;;1;2;;2;;;;;;1800000;2;1;2;1;;2;15;15;546.634.966.741.551
612067;1;1;95;1;;1;2;;;150000;2;2;;;;;;;;;;;;;1;;;15;15;640.581.021.893.365
612070;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612070;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612071;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612071;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612072;1;1;95;1;;1;2;;;400000;2;2;;;;;;;;;;;;;1;;;15;15;169.625.595.095.919
612072;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;169.625.595.095.919
612074;1;1;95;1;;2;1;;1800000;;2;2;;;;;;;;;;;;;1;;;15;15;499.532.875.426.524
612074;1;2;95;1;;1;2;;;250000;2;2;;;;;;;;;;;;;1;;;15;15;499.532.875.426.524
612074;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;499.532.875.426.524
612074;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;499.532.875.426.524
612074;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;499.532.875.426.524
612075;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;369.469.073.976.998
612075;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;369.469.073.976.998
612075;1;3;95;2;;;;;;;;1;2;;2;;;;;;900000;2;1;2;1;;2;15;15;369.469.073.976.998
612076;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612076;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;949.398.911.077.507
612077;1;1;95;2;;;;;;;;1;2;;2;;;;;;100000;2;1;2;1;;2;15;15;542.223.895.832.733
612077;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;542.223.895.832.733
612078;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;147.787.629.590.799
612078;1;2;95;1;;2;1;;1850000;;2;2;;;;;;;;;;;;;1;;;15;15;147.787.629.590.799
612078;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;147.787.629.590.799
612078;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;147.787.629.590.799
612078;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;147.787.629.590.799
612079;1;1;95;1;;2;1;;2300000;;2;2;;;;;;;;;;;;;1;;;15;15;542.223.895.832.733
612079;1;2;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;1;;;15;15;542.223.895.832.733
612080;1;1;95;1;;2;1;;1000000;;2;2;;;;;;;;;;;;;1;;;15;15;961.712.765.293.281
612080;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;961.712.765.293.281
612080;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;961.712.765.293.281
612081;1;1;95;2;;;;;;;;1;2;;2;;;;;;3750000;2;1;2;1;;2;15;15;230.806.411.025.291
612081;1;2;95;2;;;;;;;;1;2;;2;;;;;;3750000;2;1;2;1;;2;15;15;230.806.411.025.291
612082;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;102.059.298.854.966
612082;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;102.059.298.854.966
612082;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;102.059.298.854.966
612082;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;102.059.298.854.966
612082;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;102.059.298.854.966
612083;1;1;95;1;;1;1;;461500;300000;2;2;;;;;;;;;;;;;1;;;15;15;989.690.124.427.676
612083;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;989.690.124.427.676
612083;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;989.690.124.427.676
612083;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;989.690.124.427.676
612084;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;770.872.803.132.739
612084;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;770.872.803.132.739
612084;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;770.872.803.132.739
612085;1;1;95;1;;2;1;;1300000;;2;2;;;;;;;;;;;;;1;;;15;15;635.965.448.598.429
612085;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;635.965.448.598.429
612085;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;635.965.448.598.429
612086;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;741.952.515.156.317
612086;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;741.952.515.156.317
612086;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;741.952.515.156.317
612087;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;79.395.027.619.682
612087;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;79.395.027.619.682
612087;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;79.395.027.619.682
612087;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;79.395.027.619.682
612088;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;919.635.339.141.147
612088;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;919.635.339.141.147
612089;1;1;95;2;;;;;;;;1;2;;2;;;;;;2400000;2;1;2;1;;2;15;15;561.255.323.969.166
612090;1;1;95;2;;;;;;;;1;2;;2;;;;;;3000000;2;1;2;1;;2;15;15;383.572.499.984.337
612090;1;2;95;2;;;;;;;;1;2;;2;;;;;;3000000;2;1;2;1;;2;15;15;383.572.499.984.337
612092;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;157.267.288.864.058
612092;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;157.267.288.864.058
612092;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;157.267.288.864.058
612093;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;100.139.667.211.801
612093;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;100.139.667.211.801
612093;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;100.139.667.211.801
612094;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;934.255.696.368.762
612094;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;934.255.696.368.762
612095;1;1;95;2;;;;;;;;1;2;;2;;;;;;9200000;2;1;2;1;;2;15;15;121.710.612.534.085
612095;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;121.710.612.534.085
612096;1;1;95;2;;;;;;;;1;2;;2;;;;;;1200000;2;1;2;1;;2;15;15;719.702.217.431.445
612096;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;719.702.217.431.445
612098;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;94.186.952.824.529
612098;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;94.186.952.824.529
612098;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;94.186.952.824.529
612099;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;645.986.341.151.838
612099;1;2;95;1;;1;2;;;300000;2;2;;;;;;;;;;;;;1;;;15;15;645.986.341.151.838
612099;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;645.986.341.151.838
612099;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;645.986.341.151.838
612099;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;645.986.341.151.838
612100;1;1;95;1;;2;1;;1200000;;2;2;;;;;;;;;;;;;1;;;15;15;669.601.867.534.826
612100;1;2;95;1;;2;1;;1200000;;2;2;;;;;;;;;;;;;1;;;15;15;669.601.867.534.826
612100;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;669.601.867.534.826
612101;1;1;95;1;;1;2;;;400000;2;2;;;;;;;;;;;;;1;;;15;15;578.890.048.399.103
612101;1;2;95;1;;1;2;;;500000;2;2;;;;;;;;;;;;;1;;;15;15;578.890.048.399.103
612101;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;578.890.048.399.103
612101;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;578.890.048.399.103
612102;1;1;95;2;;;;;;;;1;2;;2;;;;;;18000000;2;1;2;1;;2;15;15;608.553.062.670.423
612102;1;3;95;2;;;;;;;;1;2;;2;;;;;;1500000;2;1;2;1;;2;15;15;608.553.062.670.423
612103;1;1;95;2;;;;;;;;1;2;;2;;;;4800000;;3600000;1;1;2;1;;2;15;15;534.405.561.570.088
612103;1;3;95;2;;;;;;;;1;2;;2;;;;;;3600000;2;1;2;1;;2;15;15;534.405.561.570.088
612104;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;786.336.444.320.292
612104;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;786.336.444.320.292
612104;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;786.336.444.320.292
612105;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;665.829.578.199.829
612105;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;665.829.578.199.829
612105;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;665.829.578.199.829
612105;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;15;15;665.829.578.199.829
