DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
612888,1,1,5,70,8,48,4,,2,520,2,,9,2,,,,,,,,,,1,,2,,2,1,54,54,8532,85,5,798.935.752.696.364
612892,1,4,5,70,6,48,1,,2,13,1,,9,2,,,,,,,,,,1,,2,,2,1,19,19,7320,73,5,406.421.246.770.293
612907,1,3,5,70,8,48,1,,2,96,1,,4,1,,,,,,,,,,1,,2,,2,1,40,39,9302,93,5,766.663.312.150.416
612912,1,2,5,70,96,24,1,,2,96,1,,4,4,,,1,,,,,,,,,2,,2,1,84,97,2424,24,5,798.935.752.696.364
612915,1,1,5,70,30,28,1,,2,68,4,,2,1,,,,,,,,,,1,,2,,2,1,94,39,7411,74,5,900.310.000.285.452
612932,1,2,5,70,12,48,1,,2,12,1,,5,2,,,,,,,,,,1,,2,,2,1,32,45,5244,52,5,890.406.997.657.061
612949,1,1,5,70,110,48,1,,2,1,1,,9,2,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,907.165.497.041.627
612952,1,2,5,70,17,48,1,,2,18,1,,6,4,,,,,,,,,,1,,2,,2,1,79,79,1749,17,5,100.550.851.562.273
612955,1,2,5,70,17,48,1,,2,20,1,,6,1,,,,,,,,,,1,,2,,2,1,55,39,9192,91,5,891.754.683.493.488
612957,1,2,5,70,13,60,4,,2,15,1,,6,2,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,889.057.185.089.341
612969,1,3,5,70,51,48,1,,2,52,1,,4,1,,,,,,,,,,1,,2,,2,1,37,37,9301,93,5,780.749.467.578.344
612973,1,2,5,70,32,48,4,,2,32,4,,1,1,,,,,,,,,,1,,2,,2,1,54,54,7493,74,5,841.675.316.892.256
612973,1,3,5,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,5,841.675.316.892.256
612974,1,2,5,70,60,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,5,897.103.465.867.524
612979,1,3,5,70,12,48,1,,2,14,1,,5,1,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,899.011.836.578.696
612985,1,2,5,70,36,48,1,,2,36,1,,4,1,,,,,,,,,,1,,2,,2,1,16,45,5211,52,5,949.762.751.769.637
613007,1,2,11,70,4,48,1,,2,4,1,,3,1,,,,,,,,,,1,,1,650000,2,1,45,45,5231,52,11,228.756.588.081.869
613008,1,1,11,70,12,48,1,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,1,39,77,1511,15,11,251.540.028.076.939
613008,1,6,11,70,12,48,1,,2,12,1,,9,4,,,,,,,,,,1,,2,,2,1,34,58,8511,85,11,251.540.028.076.939
613015,1,3,11,70,4,48,4,,2,4,4,,1,8,,,,,,,,,,1,,1,20000,2,1,45,45,5155,51,11,300.844.232.417.216
613019,1,3,11,70,8,50,1,,2,12,1,,3,1,,,,,,,,,,1,,2,,2,1,95,95,4521,45,11,206.905.746.764.086
613024,1,2,11,70,14,48,1,,2,12,3,,1,4,,,,,,,,,,1,,2,,2,1,34,54,9500,95,11,300.306.247.551.166
613027,1,3,11,70,5,48,1,,2,16,1,,9,8,,,,,,,,,,1,,2,,2,1,21,18,9241,92,11,28.226.911.566.577
613027,1,4,11,70,6,48,2,,2,12,1,,2,5,,,,,,,,,,1,,2,,2,1,58,95,4521,45,11,28.226.911.566.577
613036,1,1,11,70,52,30,3,,2,208,4,,1,1,,,,,,,,,1,,LA PENSION,2,,2,1,54,45,5244,52,11,215.075.155.233.298
613036,1,3,11,70,25,48,1,,2,20,1,,2,7,,,,,,,,,,1,,2,,2,1,45,36,6021,60,11,215.075.155.233.298
613042,1,3,11,70,52,40,1,,2,20,1,,9,1,,,,,,,,,,1,,2,,2,1,15,8,7512,75,11,217.443.138.021.779
613214,1,1,5,70,4,48,1,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,1,93,93,4552,45,5,947.800.233.564.155
613215,1,1,5,70,16,48,1,,2,16,1,,3,3,,,,,,,,,,1,,2,,2,1,97,97,5241,52,5,892.845.476.451.223
613216,1,3,5,70,12,48,1,,2,12,1,,3,1,,,,,,,,,,1,,2,,2,1,45,45,5234,52,5,930.642.112.860.165
613221,1,2,5,70,52,24,1,,2,108,1,,2,8,,,,,,,,,,1,,2,,2,1,84,50,5530,55,5,873.848.200.715.453
613224,1,2,5,70,4,48,1,,2,12,1,,4,3,,,,,,,,,,1,,2,,2,1,45,45,5225,52,5,947.800.233.564.155
613225,1,2,5,70,2,48,4,,2,12,4,,1,8,,,,,,,,,,1,,2,,2,1,79,79,1810,18,5,839.130.227.634.626
613225,1,3,5,70,12,48,1,,2,12,1,,9,6,,,,,,,,,,1,,2,,2,1,34,39,5249,52,5,839.130.227.634.626
613232,1,1,5,70,84,48,1,,2,84,1,,9,2,,,,,,,,,,1,,2,,2,1,33,33,6512,65,5,759.466.070.172.381
613232,1,4,5,70,50,48,1,,2,50,1,,6,2,,,,,,,,,,1,,2,,2,1,32,39,6601,66,5,759.466.070.172.381
613241,1,1,8,70,13,60,4,,2,13,4,,1,2,,,,,,,,,,1,,2,,2,1,98,98,6031,60,8,566.907.905.720.629
613248,1,2,8,70,4,48,1,,2,4,1,,9,1,,,,,,,,,,1,,2,,2,1,45,45,5233,52,8,48.429.921.632.233
613256,1,2,8,70,4,48,1,,2,4,1,,9,1,,,,,,,,,,1,,1,675000,2,1,45,45,1530,15,8,32.392.149.582.178
613260,1,1,8,70,26,40,1,,2,26,2,,9,1,,,1,,,,,,,,,2,,2,1,21,39,7523,75,8,974.490.044.571.315
613268,1,3,8,70,54,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,59,,,,8,580.192.843.287.276
613275,1,2,8,70,14,48,1,,2,14,1,,9,1,,,,,,,,,,1,,2,,2,1,11,11,7492,74,8,465.165.028.881.313
613277,1,2,8,70,102,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,19,,,,8,110.998.942.311.615
