DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6910,P6910S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,CLASE,OCI,P6420S1,RAMA4D,OFICIO,RAMA2D,RAMA4DP8,RAMA2DP8,DPTO,fex_c_2011
626311,1,2,60,2,,,,,,,,,,12,1,,1,,40000,2,,,2,,1,70000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,5,1,,5,,,1,7,12,2,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,11,,,,2,,,,1,1,1,1,2,1,2,2,1,2,2,,2,1,,3,3,3,4,3,3,2,2,3,9,,2,1,,9249,55,92,,,63,143.482.891.482.848
626312,1,1,60,1,2,1,,1,2,,1,2,2,240,1,,1,,461500,2,,,2,,1,200000,2,,2,,,52000,15000,,2,1,,1,1,,2,2,2,,,2,,,461500,,2,1,2,2,,,,,,,,,,,11,48,,.,48,,,1,7,12,1,13,17,2,,,5,8,,,,1,2,1,17,1,1,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,1,1,2,1,2,2,1,1,2,,2,2,,2,3,2,3,3,3,2,3,3,9,,2,1,,2692,89,26,,,63,161.657.664.885.201
626312,1,3,60,2,,,,,,,,,,0,1,,1,,200000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,0,15,1,,15,,,1,7,12,2,,,,,,2,10,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,1,1,1,1,2,1,2,1,1,1,2,,2,1,,2,2,2,2,4,3,2,2,3,3,,2,1,,0,97,0,,,63,161.657.664.885.201
626313,1,1,60,2,,,,,,,,,,48,1,,1,,200000,2,,,2,,1,100000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,60,,.,60,,,1,6,12,1,13,17,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,120,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,2,1,,3,3,2,3,3,3,2,2,3,3,,2,1,,121,62,1,,,63,119.271.063.378.035
626320,1,1,60,2,,,,,,,,,,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,50000,1,250000,1,,4,63,,.,63,,,1,7,12,1,14,18,2,,,1,6,,,,2,,,,1,,,,,,,,1,,2,1,3,4,,2,,,,,1,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,1,2,1,1,2,2,,2,2,,3,3,2,3,3,3,2,2,3,3,,2,1,,5239,41,52,,,63,128.269.557.810.565
626321,1,1,60,1,1,,,1,1,,1,2,2,24,1,,1,,461500,2,,,2,,1,60000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,230000,,2,1,2,2,,,,,,,,,,,12,60,,.,60,,,1,6,12,1,13,18,2,,,3,8,,,,1,1,1,2,1,1,,,,,,,,,2,1,90,1,,2,,,,,3,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,3,3,3,,2,1,,130,60,1,,,63,178.823.470.528.856
626321,1,2,60,1,1,,,1,1,,2,2,2,24,1,,1,,60000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,6,12,1,13,15,2,,,3,8,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,,2,1,,130,53,1,,,63,178.823.470.528.856
626321,1,5,60,2,,,,,,,,,,12,1,,1,,360000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,40,,.,40,,,1,6,12,1,13,16,2,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,130,62,1,,,63,178.823.470.528.856
626322,1,1,60,1,1,,,1,1,,1,2,1,24,1,,1,,461500,2,,,2,,1,150000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,189000,189000,2,1,1,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,36,1,,2,,,,,12,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,3,,2,1,,9249,60,92,,,63,132.140.436.799.724
626323,1,1,60,1,1,,,1,1,,2,2,2,12,1,,1,,400000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,70,,.,70,,,1,6,12,1,13,20,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,24,4,,2,,,,,3,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,3,3,6,,2,1,,121,60,1,,,63,154.897.081.192.906
626324,1,1,60,2,,,,,,,,,,90,1,,1,,400000,2,,,2,,1,80000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,70,,.,70,,,1,6,12,1,13,16,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,110,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,1,1,2,1,2,2,1,2,2,,2,2,,2,2,2,3,3,2,2,3,3,3,,2,1,,121,62,1,,,63,167.694.719.587.662
626325,1,1,60,2,,,,,,,,,,36,1,,1,,360000,2,,,2,,1,80000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,158000,150000,2,1,1,2,,,,,,,,,,,12,45,,.,45,,,1,6,12,1,13,17,2,,,4,8,,,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,3,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,2,3,3,,2,1,,117,62,1,,,63,122.359.215.338.592
626325,1,3,60,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,360000,1,0,1,,12,50,,.,50,,,1,6,12,1,13,18,2,,,4,8,,,,2,,,,1,,,,,,,,1,,2,1,2,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,5,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,3,3,,2,1,,117,61,1,,,63,122.359.215.338.592
626325,1,4,60,2,,,,,,,,,,110,1,,1,,600000,2,,,2,,1,80000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,300000,300000,2,1,1,2,,,,,,,,,,,12,66,,.,66,,,1,6,12,1,14,18,2,,,4,8,,,,1,2,1,20,1,1,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,,2,1,,117,60,1,,,63,122.359.215.338.592
626536,1,1,60,2,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,425000,1,3900000,3,,12,84,,.,72,6,,1,7,23,2,,,,,,3,7,,,,2,,,,1,,,,,,1,,,,2,1,6,8,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,7,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,4,2,2,3,2,9,,2,1,,5155,41,51,,,66,100.359.729.753.832
626536,1,2,60,2,,,,,,,,,,6,1,,1,,250000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,66,,.,54,6,,1,9,23,2,,,,,,3,7,,,,2,,,,1,,,,,,1,,,,2,1,6,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,4,4,2,2,3,2,3,,2,1,,5155,97,51,,,66,100.359.729.753.832
626536,1,6,60,2,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,425000,1,3900000,3,,12,84,,.,72,6,,1,7,23,2,,,,,,3,7,,,,2,,,,1,,,,,,,,1,,2,1,6,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,,2,4,2,4,4,4,2,3,1,8,,2,1,,5155,97,51,,,66,100.359.729.753.832
626538,1,1,60,2,,,,,,,,,,96,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,500000,1,7000000,3,,12,108,,.,108,,,1,5,23,2,,,,,,1,4,,,,1,1,2,8,1,,1,,,,,,,,1,1,168,8,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,,2,,,,1,1,2,1,1,2,2,2,1,2,2,,2,1,,1,2,1,4,2,3,2,3,1,2,,2,1,,6031,98,60,,,66,104.766.097.449.387
626538,1,3,60,2,,,,,,,,,,2,8,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,10,77,,.,66,1,,1,6,19,2,,,,,,4,8,,,,2,,,,1,,,,,,,,1,,2,1,2,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,1,1,1,1,1,1,2,1,1,1,2,,1,1,,3,4,3,2,4,3,2,2,3,3,,2,1,,123,62,1,,,66,104.766.097.449.387
626539,1,1,60,2,,,,,,,,,,0,8,,1,,360000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,55,,.,55,,,1,7,17,2,,,,,,4,8,,,,2,,,,1,,,,,,,,1,,2,1,0,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,3,2,2,4,4,2,2,2,3,8,,2,1,,111,62,1,,,66,120.716.189.233.969
626540,1,1,60,2,,,,,,,,,,65,8,,1,,461000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,55,,.,55,,,1,7,17,2,,,,,,3,8,,,,2,,,,1,,,,,,1,,,,2,1,3,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,12,2,1,2,,,,,,,,,,,,,,,2,2,1,3,4,2,2,3,3,9,,2,1,,111,62,1,,,66,131.947.746.085.289
626541,1,2,60,1,1,,,1,1,,2,2,2,3,1,,1,,480000,2,,,1,80000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,11,48,,.,48,,,1,8,18,2,,,,,,5,7,,,,2,,,,1,,,,,,,,1,,2,1,6,1,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,2,2,2,2,1,2,2,2,2,,2,1,,3,2,2,2,4,2,2,2,3,3,,2,1,,5529,56,55,,,66,943.009.209.376.948
626541,1,3,60,1,1,,,1,2,,2,2,2,0,1,,1,,160000,2,,,1,40000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,0,16,1,,16,,,1,8,18,2,,,,,,5,7,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,32,1,1,1,1,1,1,2,2,2,1,1,2,2,,1,1,,3,3,2,4,4,4,2,2,4,3,,2,1,,5529,53,55,,,66,943.009.209.376.948
626541,1,5,60,1,2,1,,1,1,,1,1,1,12,1,,1,,516500,2,,,2,,2,,2,,2,,,55000,15000,,2,1,,1,1,,2,2,2,,,2,,,230750,230750,2,1,1,2,,,,,,,,,,,12,48,,.,48,,,1,9,17,2,,,,,,4,7,,,,1,1,1,7,1,1,,,,,,,,,1,1,5,1,,2,,,,,2,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,5521,53,55,,,66,943.009.209.376.948
626541,1,7,60,1,1,,,1,2,,2,2,2,4,1,,1,,550000,2,,,1,90000,2,,2,,2,,,55000,,,,1,,1,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,66,,.,66,,,1,9,19,2,,,,,,3,7,,,,2,,,,1,,,,,,,,1,,2,1,8,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,3,3,3,,2,1,,5521,53,55,,,66,943.009.209.376.948
626541,1,10,60,1,2,1,,1,1,,1,1,1,2,1,,1,,516500,2,,,2,,2,,2,,2,,,55000,15000,,2,1,,1,1,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,10,48,,.,48,,,2,,,,,,,,,9,7,,,,1,1,1,6,1,1,,,,,,,,,1,1,9,1,,2,,,,,2,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,1810,79,18,,,66,943.009.209.376.948
626541,1,12,60,1,1,,,1,1,,2,2,2,4,1,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,55,,.,55,,,1,6,17,2,,,,,,3,9,,,,2,,,,1,,,,,,,,1,,2,1,9,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,1,1,2,2,2,1,2,1,1,1,2,,2,1,,2,2,2,2,4,2,2,2,3,8,,2,1,,4530,95,45,,,66,943.009.209.376.948
626542,1,1,60,1,2,1,,1,1,,1,1,1,6,8,,1,,560000,2,,,2,,1,200000,2,,2,,,,15000,,2,,,2,1,,2,2,2,,,2,,,280000,,2,1,2,2,,,,,,,,,,,12,54,,.,54,,,1,6,18,2,,,,,,3,8,,,,1,1,1,19,1,1,,,,,,,,,1,1,2,8,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,,2,1,,121,62,1,,,66,95.722.646.044.901
626542,1,2,60,1,1,,,1,1,,2,2,2,6,3,,1,,260000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,6,21,2,,21,,,1,2,5,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,264,3,,2,,,,,13,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,2,3,3,,2,1,,9500,55,95,,,66,95.722.646.044.901
626542,1,3,60,1,2,1,,1,1,,1,1,1,12,1,,1,,516500,2,,,2,,2,,2,,2,,,55000,,,,1,,1,2,,2,2,2,,,2,,,230000,230000,2,1,1,2,,,,,,,,,,,12,48,,.,48,,,1,8,18,2,,,,,,3,7,,,,1,1,1,1,1,1,,,,,,,,,1,1,6,1,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,1,3,3,3,,2,1,,7020,32,70,,,66,95.722.646.044.901
626544,1,1,60,1,1,,,1,2,,2,2,2,24,8,,1,,440000,2,,,2,,1,150000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,1,19,17,,,,,,,,,12,55,,.,55,,,1,6,17,2,,,,,,4,8,,,,2,,,,1,,,,,,,,1,,2,1,2,8,,2,,,,,2,,6,,,,,,,,,6,,2,2,2,,,,2,,,2,,,,2,,,,1,1,2,1,2,2,2,1,1,2,2,,2,1,,3,2,2,3,4,2,2,3,3,3,,2,1,,111,62,1,,,66,818.996.964.770.383
626544,1,2,60,1,1,,,1,1,,2,2,2,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,230000,1,4700000,3,,12,42,,.,42,,,1,6,18,2,,,,,,1,1,,,,2,,,,1,,,,,,1,,,,2,1,2,6,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,2,2,2,1,2,2,2,,2,1,,3,2,2,3,3,2,2,3,3,3,,2,1,,5521,53,55,,,66,818.996.964.770.383
626546,1,1,60,1,2,2,12,1,2,,2,2,2,26,8,,1,,400000,2,,,2,,1,200000,2,,2,,,,30000,,2,,,2,1,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,70,,.,70,,,1,6,19,2,,,,,,3,8,,,,1,2,1,12,1,1,,,,,,,,,1,1,24,8,,2,,,,,6,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,2,1,1,2,2,1,1,1,2,,1,1,,4,4,2,4,2,4,2,2,3,8,,2,1,,111,62,1,,,66,113.533.272.824.496
626546,1,2,60,1,1,,,1,2,,2,2,2,26,3,,1,,120000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,14,1,,14,,,1,15,17,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,18,1,,2,,,,,8,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,1,30,2,1,1,1,1,1,2,2,2,1,2,2,2,,2,1,,3,3,3,3,3,3,2,2,3,3,,2,1,,9500,55,95,,,66,113.533.272.824.496
626547,1,1,60,1,2,1,,1,1,,1,2,2,36,8,,1,,461500,2,,,2,,1,120000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,220000,,2,1,2,2,,,,,,,,,,,12,77,,.,77,,,1,5,17,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,24,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,2,1,1,2,2,2,1,2,2,,2,2,,2,4,2,3,4,4,2,3,2,9,,2,1,,121,62,1,,,66,89.250.087.950.272
626547,1,2,60,2,,,,,,,,,,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,370000,1,4900000,3,,12,42,,.,42,,,1,6,13,1,17,18,2,,,1,1,,,,2,,,,1,,,,,,,,1,,2,2,,,,1,35,4,,280000,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,1,2,2,2,1,2,2,,2,1,,3,3,2,4,4,3,2,3,3,3,,2,1,,5521,51,55,,,66,89.250.087.950.272
626548,1,1,60,1,1,,,1,2,,1,1,1,48,1,,1,,520000,2,,,2,,1,100000,1,60000,2,,,,,,,,,2,2,,2,2,2,,,2,,,260000,,2,1,2,2,,,,,,,,,,,12,84,,.,84,,,1,18,6,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,12,8,,2,,,,,2,,,,,,,,,,,,,2,2,2,,,,2,,,7,,,,1,28,2,1,2,,,,,,,,,,,,,,,2,2,2,4,4,2,2,4,1,8,,2,1,,121,58,1,,,66,101.742.288.091.988
626548,1,2,60,1,1,,,1,1,,1,2,2,18,8,,1,,461500,2,,,2,,1,60000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,220000,,2,1,2,2,,,,,,,,,,,12,77,,.,77,,,1,4,17,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,1,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,4,2,4,4,3,2,3,3,8,,2,1,,121,62,1,,,66,101.742.288.091.988
626550,1,1,60,1,1,,,1,1,,2,2,2,3,8,,1,,480000,2,,,2,,1,80000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,55,,.,50,2,,1,6,16,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,24,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,4,2,2,3,3,8,,2,1,,121,62,1,,,66,136.354.113.780.844
626550,1,2,60,2,,,,,,,,,,168,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,250000,1,3600000,3,,12,54,,.,36,2,,1,5,18,2,,,,,,1,1,,,,2,,,,1,,,,,,1,,,,2,1,24,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,4,4,2,2,3,3,3,,2,1,,5521,53,55,,,66,136.354.113.780.844
626551,1,1,60,1,1,,,1,1,,2,2,2,1,8,,1,,500000,2,,,2,,1,50000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,55,,.,36,2,,1,7,17,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,11,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,4,2,2,2,3,8,,2,1,,121,62,1,,,66,107.479.405.213.689
626552,1,1,60,1,1,,,1,1,,2,2,2,2,8,,1,,450000,2,,,2,,1,40000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,54,,.,36,2,,1,7,17,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,3,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,12,2,1,1,1,2,1,2,1,2,2,1,1,2,,2,1,,2,3,2,4,4,2,2,2,2,8,,2,1,,121,62,1,,,66,107.479.405.213.689
626555,1,1,60,1,1,,,1,2,,2,2,2,36,8,,1,,461500,2,,,2,,1,100000,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,56,,.,36,2,,1,6,17,2,,,,,,2,8,,,,1,1,1,11,1,1,,,,,,,,,1,1,24,8,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,3,3,3,,2,1,,113,62,1,,,66,106.672.861.039.962
626555,1,2,60,2,,,,,,,,,,268,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,140000,1,2800000,3,,12,21,2,,21,,,1,6,18,2,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,1,240,6,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,5521,53,55,,,66,106.672.861.039.962
626555,1,4,60,1,2,1,,1,1,,1,1,1,24,1,,2,,500000,2,,,2,,2,,2,,2,,,55000,30000,,2,1,,1,1,,2,2,2,,,2,,,433700,220000,2,1,1,2,,,,,,,,,,,12,45,,.,27,2,,1,7,17,2,,,,,,9,7,,,,1,1,1,2,1,1,,,,,,,,,1,1,5,1,,2,,,,,2,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,4,2,2,3,3,3,,2,1,,5135,97,51,,,66,106.672.861.039.962
626556,1,1,60,1,2,1,,1,1,,1,1,1,8,8,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,220000,,2,1,2,2,,,,,,,,,,,12,50,,.,30,2,,1,7,17,2,,,,,,6,8,,,,1,1,1,0,1,1,,,,,,,,,1,1,0,8,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,2,1,2,2,2,2,1,2,2,,2,1,,3,2,2,4,2,2,2,2,3,8,,2,1,,117,62,1,,,66,131.630.995.596.185
626556,1,2,60,2,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,5000,1,5000,1,,1,30,1,,0,3,,1,7,13,2,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,1,1,4,,2,,,,,12,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,24,2,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,,4,4,2,4,4,3,2,2,3,3,,2,1,,5224,41,52,,,66,131.630.995.596.185
626557,1,1,60,1,1,,,1,1,,1,1,1,216,8,,1,,461500,2,,,2,,1,150000,2,,2,,,,60000,,2,,,2,1,,2,2,2,,,2,,,433700,220000,2,1,1,2,,,,,,,,,,,12,50,,.,32,2,,1,6,16,2,,,,,,8,8,,,,1,1,1,16,1,1,,,,,,,,,1,1,3,8,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,3,3,3,,2,1,,114,62,1,,,66,105.834.194.430.409
626558,1,1,60,1,1,,,1,1,,1,1,2,18,8,,1,,420000,2,,,2,,2,,2,,2,,,,30000,,2,,,2,1,,2,2,2,,,2,100000,,22000,,1,1,2,2,,,,,,,,,,,12,45,,.,29,2,,1,7,17,2,,,,,,6,8,,,,1,1,1,10,1,1,,,,,,,,,1,1,108,8,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,,2,2,2,4,2,2,2,3,3,8,,2,1,,117,62,1,,,66,129.467.972.807.433
