DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
618711;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;6.860.529.605.737
618711;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;48;;;;;;;;;2;63;6.860.529.605.737
618712;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;67.538.182.463.493
618712;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;2;63;67.538.182.463.493
618713;1;1;90;;2;;1;2;2;2;2;2;1;2;2;;;6;;;;;;8;;;2;63;609.345.004.314.552
618713;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;42;;;;;;;;;2;63;609.345.004.314.552
618714;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;2;63;740.813.489.317.579
618714;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;63;740.813.489.317.579
618729;1;1;90;;2;;1;2;1;1;2;2;2;2;2;;;30;;40;25;;;;;;2;63;74.497.307.713.103
618729;1;2;90;;2;;1;2;2;2;2;2;1;2;2;;;7;;;;;;2;;;2;63;74.497.307.713.103
618730;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;2;63;627.733.629.134.123
618731;1;1;90;;1;;1;2;2;2;2;2;2;2;2;10;;12;;;;;;;;;2;63;740.813.489.317.579
618731;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;2;63;740.813.489.317.579
618751;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;654.474.161.683.595
618751;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;36;;;;;;;;;2;63;654.474.161.683.595
618752;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;66.124.892.614.097
618752;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;2;63;66.124.892.614.097
618753;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;63;584.043.523.941.581
618753;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;63;584.043.523.941.581
619541;1;1;90;;1;;1;2;2;2;2;2;2;2;2;6;;1;;;;;;;;;2;18;10.518.478.793.321
619541;1;2;90;;1;;1;2;2;2;2;2;2;2;2;3;;15;;;;;;;;;2;18;10.518.478.793.321
619541;1;3;90;;2;;1;2;1;2;2;2;2;2;2;;;25;;15;;;;;;;2;18;10.518.478.793.321
619542;1;1;90;;1;;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;;2;18;127.356.222.392.358
619542;1;2;90;;1;;1;2;2;2;2;2;2;2;2;4;;42;;;;;;;;;2;18;127.356.222.392.358
619542;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;18;127.356.222.392.358
619543;1;1;90;;2;;2;2;2;2;2;2;1;2;2;;;;;;;;;3;;;2;18;152.195.872.323.759
619543;1;2;90;;1;;1;2;1;2;2;2;2;2;2;10;;45;;21;;;;;;;2;18;152.195.872.323.759
619543;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;152.195.872.323.759
619543;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;152.195.872.323.759
619543;1;5;90;;1;;1;2;2;2;2;2;2;2;2;3;;14;;;;;;;;;2;18;152.195.872.323.759
619544;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;18;107.479.405.213.689
619545;1;1;90;;2;;1;2;1;2;2;2;1;2;2;;;21;;14;;;;1;;;2;18;113.184.585.903.642
619545;1;2;90;;1;;1;2;1;2;2;2;2;2;2;14;;35;;21;;;;;;;2;18;113.184.585.903.642
619546;1;1;90;;1;;1;2;2;2;2;2;2;2;2;7;;21;;;;;;;;;2;18;118.604.438.818.894
619546;1;2;90;;1;;1;2;2;2;2;2;2;2;2;7;;21;;;;;;;;;2;18;118.604.438.818.894
619547;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;843.371.959.359.129
619547;1;2;90;;1;;1;2;1;2;2;2;2;2;2;14;;35;;7;;;;;;;2;18;843.371.959.359.129
619547;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;18;843.371.959.359.129
619547;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;18;843.371.959.359.129
619547;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;18;843.371.959.359.129
619548;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;122.949.854.696.804
619548;1;2;90;;1;;1;2;2;2;2;2;2;2;2;7;;48;;;;;;;;;2;18;122.949.854.696.804
619548;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;18;122.949.854.696.804
619548;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;18;122.949.854.696.804
619549;1;1;90;;1;;1;2;2;2;2;2;2;2;2;14;;21;;;;;;;;;2;18;105.866.130.862.157
619549;1;2;90;;1;;1;2;2;2;2;2;2;2;2;7;;21;;;;;;;;;2;18;105.866.130.862.157
619550;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;18;100.500.322.800.256
619551;1;1;90;;1;;1;2;1;2;2;2;2;2;2;14;;48;;35;;;;;;;2;18;136.376.412.546.783
619552;1;1;90;;1;;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;;2;18;848.400.994.874.416
619552;1;2;90;;1;;1;2;2;2;2;2;2;2;2;7;;40;;;;;;;;;2;18;848.400.994.874.416
619552;1;3;90;;1;;1;2;2;2;2;2;2;2;2;4;;2;;;;;;;;;2;18;848.400.994.874.416
619553;1;1;90;;1;;1;2;2;2;2;2;2;2;2;8;;12;;;;;;;;;2;18;100.500.322.800.256
619554;1;1;90;;1;;1;2;2;2;2;2;2;2;2;10;;5;;;;;;;;;2;18;132.751.045.840.156
619554;1;2;90;;1;;1;2;2;2;2;2;2;2;2;6;;50;;;;;;;;;2;18;132.751.045.840.156
619554;1;5;90;;1;;1;2;2;2;2;2;2;2;2;2;;15;;;;;;;;;2;18;132.751.045.840.156
619555;1;1;90;;1;;1;2;1;2;2;2;2;2;2;7;;10;;9;;;;;;;2;18;108.128.811.710.889
619555;1;2;90;;2;;2;2;1;2;2;2;2;2;2;;;;;70;;;;;;;2;18;108.128.811.710.889
619556;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;127.356.222.392.358
619556;1;2;90;;1;;1;2;2;2;2;2;2;2;2;5;;40;;;;;;;;;2;18;127.356.222.392.358
619556;1;3;90;;1;;1;2;2;2;2;2;2;2;2;3;;3;;;;;;;;;2;18;127.356.222.392.358
