DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2738131,1,1,1,3,2,3,2,1,5,4,,,,20000,,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,4,5,3,1,2,2,2,2,1,,,1,2,7,73,1,11.207.037.268.385
2738132,1,2,2,2,1,4,2,1,5,1,,,98,20000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,4,1,1,5,2,1,2,2,2,2,2,,,1,2,7,73,1,122.376.206.865.248
2738133,1,3,1,1,1,1,1,1,4,1,,,40000000,30000,,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,7,73,1,732.552.759.023.646
2738138,1,2,1,2,1,4,1,1,5,4,,,,30000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,1,5,3,1,2,2,2,1,1,,2,1,2,7,73,1,966.589.601.291.723
2738139,1,3,3,3,1,3,1,1,5,4,,,,60000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,5,1,1,1,4,1,2,2,2,1,1,,2,1,2,7,73,1,733.795.896.365.212
2738140,1,4,2,2,1,4,1,1,5,1,,,35000000,150000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,3,1,1,1,4,1,2,2,2,1,2,,1,1,2,7,73,1,81.074.116.773.704
2738142,1,3,3,2,1,3,1,1,5,5,,,,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,4,1,1,7,3,1,2,2,2,1,2,,2,1,2,7,73,1,889.644.329.919.895
2738144,1,2,1,2,1,3,2,5,5,1,,,2000000,99,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,1,2,1,2,2,2,2,0,,,1,2,7,73,1,842.064.643.494.984
2738145,1,3,3,3,1,4,2,1,5,4,,,,30000,,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,,4,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,925.069.896.645.661
2738146,1,3,2,3,1,4,2,1,4,1,,,6000000,100000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,2,2,2,2,,,1,2,7,73,1,106.713.178.468.491
2738148,1,2,2,3,1,3,1,1,5,4,,,,100000,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,1,1,2,1,2,2,2,1,2,,1,1,2,7,73,1,774.066.614.799.758
2738149,1,3,2,1,1,1,1,1,4,1,,,2000000,30000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,2,2,,5,1,2,2,3,1,2,1,1,1,1,1,1,1,2,7,73,1,93.799.731.436.206
2738150,1,3,3,1,1,1,1,1,4,3,,,,,30000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,6,1,2,5,3,1,2,1,1,1,2,1,1,1,2,7,73,1,961.320.222.845.827
2738151,1,4,3,2,1,1,1,1,4,1,,,99,150000,,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,5,2,2,,6,1,2,5,3,1,2,1,1,1,1,1,1,1,2,7,73,1,843.543.420.019.216
2738153,1,3,2,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,5,1,2,1,2,1,2,1,1,1,1,1,1,1,2,7,73,1,103.606.640.651.118
2738154,1,3,1,2,1,4,1,1,4,1,,,7000000,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,2,2,1,1,,2,1,2,7,73,1,732.552.759.023.646
2738155,1,4,2,3,1,4,2,1,5,1,,,6000000,99,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,5,4,1,2,2,2,2,2,,,1,2,7,73,1,97.925.892.142.391
2738156,1,4,4,3,1,4,2,1,5,1,,,99,20000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,7,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,626.848.780.412.082
2738157,1,3,2,3,1,4,2,5,5,4,,,,30000,,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,,5,1,1,4,3,1,2,2,2,2,2,,,1,2,7,73,1,841.725.541.583.843
2738158,1,5,3,3,1,4,2,1,5,4,,,,40000,,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,,4,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,9.072.084.709.748
2738159,1,3,1,3,2,3,2,1,5,2,,330000,20000000,80000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,4,5,3,1,2,2,2,2,1,,,1,2,7,73,1,100.361.852.092.197
2738160,1,4,1,2,1,4,2,1,5,4,,,,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,4,1,1,5,3,1,2,2,2,2,1,,,1,2,7,73,1,973.325.667.049.088
2738161,1,3,3,3,1,1,1,1,5,1,,,20000000,100000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,1,1,2,1,1,1,2,7,73,1,686.171.293.137.209
2738162,1,3,2,3,1,1,1,1,4,3,,,,,80000,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,5,3,1,2,2,1,1,2,1,2,1,2,7,73,1,815.671.444.271.795
2738166,1,2,2,3,1,4,2,1,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,4,1,1,4,2,1,2,2,2,2,1,,,1,2,7,73,1,596.601.618.436.285
2738167,1,2,2,2,1,4,2,1,5,4,,,,30000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,3,1,1,5,3,1,2,2,2,2,1,,,1,2,7,73,1,759.289.180.657.023
2738168,1,3,2,3,1,4,2,1,5,4,,,,30000,,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,2,2,,4,1,1,5,2,1,2,2,2,2,2,,,1,2,7,73,1,925.350.452.631.419
