Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
4003329;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;667,214791146389
4003329;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;667,214791146389
4003329;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;21; ; ; ; ; ; ;05;03;05;667,214791146389
4003329;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;05;03;05;667,214791146389
4003330;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;2; ;12; ; ; ; ; ; ;05;03;05;1185,18867530515
4003330;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;4; ;20; ; ; ; ; ; ;05;03;05;1185,18867530515
4003331;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1309,27160619707
4003331;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;1; ; ; ; ; ; ;05;03;05;1309,27160619707
4003332;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;24; ; ; ; ; ; ;05;03;05;1301,18448527015
4003332;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;1; ;8; ; ; ; ; ; ;05;03;05;1301,18448527015
4003334;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;05;03;05;816,922149962602
4003334;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;816,922149962602
4003335;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;05;03;05;1189,23223576861
4003335;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;03;05;1189,23223576861
4003336;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;7; ; ; ; ; ; ;05;03;05;1048,80233371806
4003336;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;03;05;1048,80233371806
4003336;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;05;03;05;1048,80233371806
4003337;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;03;05;1200,72042555983
4003338;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1070,58837746175
4003338;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;03;05;1070,58837746175
4003338;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1070,58837746175
4003339;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;12; ; ; ; ; ; ;05;03;05;1044,1171889067
4003339;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;15; ;10; ; ; ; ; ; ;05;03;05;1044,1171889067
4003340;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;34; ;12; ; ; ; ; ; ;05;03;05;1044,1171889067
4003340;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;03;05;1044,1171889067
4003341;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;2; ;10; ; ; ; ; ; ;05;03;05;1293,73985594239
4003341;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;20; ; ; ; ; ; ;05;03;05;1293,73985594239
4003341;1;5;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;8; ; ; ; ; ; ;05;03;05;1293,73985594239
4003342;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;934,202035874662
4003342;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;05;03;05;934,202035874662
4003342;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;934,202035874662
4003342;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;934,202035874662
4003343;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;03;05;988,885800185587
4003343;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;05;03;05;988,885800185587
4003343;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;988,885800185587
4003344;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;951,944519154894
4003344;1;2;1;90;2;1;2;2;2;1;2;2;2;2; ;15; ; ; ;10; ; ; ; ;05;03;05;951,944519154894
4003344;1;3;1;90;1;2;2;2;2;2;2;2;2;2;12; ; ; ; ; ; ; ; ; ;05;03;05;951,944519154894
4003344;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;951,944519154894
4003345;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1194,7692834309
4003345;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;05;03;05;1194,7692834309
4003346;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1309,27160619707
4003346;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;20; ; ; ; ; ; ;05;03;05;1309,27160619707
4003347;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;05;03;05;937,776741295015
4003347;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;05;03;05;937,776741295015
4003348;1;1;1;90;2;1;1;2;1;2;2;2;2;2; ;2;8; ;5; ; ; ; ; ;05;03;05;1254,04021747595
4003348;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;30; ; ;2; ; ; ; ; ;05;03;05;1254,04021747595
4003348;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1254,04021747595
4003349;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;10; ; ; ; ; ; ;05;03;05;1305,22804573361
4003349;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;05;03;05;1305,22804573361
4003350;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;05;03;05;1181,14511484169
4003350;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;03;05;1181,14511484169
4003351;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;03;05;924,077818478243
4003351;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;924,077818478243
4003352;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;679,171835980713
4003352;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;16; ;15; ; ; ; ; ; ;05;03;05;679,171835980713
4003352;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;679,171835980713
4003352;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;05;03;05;679,171835980713
