DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
846919,1,5,3,1,1,1,1,3,2,,700000,40000000,250000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,96.543.877.976.497
846921,1,3,2,1,1,1,1,1,3,,,,,300000,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,954.522.118.245.178
846924,1,3,2,1,1,1,1,1,3,,,,,150000,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,756.198.638.263.236
846925,1,2,1,1,1,1,1,4,3,,,,,160000,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,966.253.171.919.209
846927,1,3,2,1,1,1,1,1,3,,,,,280000,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,546.477.880.387.096
846930,1,4,3,1,1,1,1,3,1,,,25000000,220000,,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,797.888.064.068.007
846932,1,1,1,1,1,1,1,1,3,,,,,100000,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,929.424.681.297.202
846933,1,2,1,1,1,1,1,1,3,,,,,140000,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,753.921.416.968.718
846935,1,3,1,1,1,1,1,1,3,,,,,150000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,888.080.321.506.266
846937,1,3,3,1,1,1,1,1,3,,,,,150000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,77.041.169.427.449
846939,1,3,1,1,1,1,1,3,1,,,1500000,120000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,106.498.079.905.172
846941,1,3,2,1,1,1,1,1,3,,,,,140000,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,805.930.525.587.116
846943,1,4,3,1,1,1,1,1,1,,,40000000,200000,,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,981.227.015.461.607
846945,1,4,3,1,1,1,1,4,2,,150000,20000000,200000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,750.040.768.651.109
846947,1,3,2,1,1,1,1,1,3,,,,,160000,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,670.700.959.144.594
846949,1,3,2,1,1,1,1,4,3,,,,,160000,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,102.050.274.704.284
846951,1,4,2,1,1,1,1,3,3,,,,,300000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,830.729.526.463.011
846952,1,5,4,1,1,1,1,1,1,,,24000000,180000,,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,5,1,5,1,735.257.031.654.656
846954,1,3,1,1,1,1,1,,3,,,,,220000,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,6,5,1,849.892.157.464.239
846955,1,6,4,1,1,1,1,4,3,,,,,239000,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,849.610.992.580.347
846958,1,2,1,1,1,1,1,1,3,,,,,140000,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,993.980.753.807.264
