DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636346,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,405.208.996.757.613
2636347,1,2,1,80,1,1,3,3,,2,,2,,,,,9,2,1,3,41,41,256.058.358.980.303
2636350,1,1,1,80,1,1,4,9,EDAD,2,,2,,,,,8,2,1,3,41,41,279.392.541.384.774
2636350,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,41,41,279.392.541.384.774
2636351,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,41,41,233.333.021.723.237
2636352,1,1,1,80,1,1,1,4,,2,,2,,,,,4,2,1,3,41,41,265.247.878.396.663
2636353,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,41,41,241.238.826.954.844
2636353,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,41,41,241.238.826.954.844
2636354,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,18,18,564.435.301.424.952
2636354,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,18,18,564.435.301.424.952
2636359,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,18,18,599.868.248.540.169
2636362,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,3,18,18,363.630.353.120.857
2636362,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,18,18,363.630.353.120.857
2636362,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,18,18,363.630.353.120.857
2636366,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,17,17,126.423.402.311.825
2636366,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,126.423.402.311.825
2636366,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,126.423.402.311.825
2636367,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,17,17,17.336.724.418.638
2636367,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,17.336.724.418.638
2636367,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,17.336.724.418.638
2636367,1,7,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,17.336.724.418.638
2636369,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,125.317.733.744.187
2636369,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,125.317.733.744.187
2636372,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,16.243.973.457.274
2636373,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,156.948.196.322.606
2636373,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,156.948.196.322.606
2636374,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,146.528.358.383.596
2636374,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,17,17,146.528.358.383.596
2636377,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,125.317.733.744.187
2636377,1,3,1,80,1,2,,,,2,,2,,1,1,,2,,1,3,17,17,125.317.733.744.187
2636377,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,125.317.733.744.187
2636377,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,125.317.733.744.187
2636378,1,1,1,80,1,1,2,8,,2,,2,,,,,9,2,1,3,17,17,148.466.112.636.532
2636380,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,169.813.226.549.249
2636383,1,2,1,80,1,1,4,1,,3,,2,,,,,4,2,1,3,17,17,1.458.887.961.381
2636383,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,17,17,1.458.887.961.381
