DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2403272;1;4;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;06;05;05;1137,29830372916
2403273;1;1;1;70;1;2;48;4; ;2;78;1; ;6;1; ; ; ; ; ; ; ; ;1; ;JUBILACION;2; ;2;03;03;45;1;1;4530;06;05;05;974,533086271654
2403279;1;1;1;70;1;28;48;1; ;2;20;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;06;05;05;696,624872003556
2403280;1;5;1;70;1;52;48;3; ;2;76;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;05;05;1021,65401597383
2403288;1;2;1;70;1;20;48;1; ;2;98;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;59;63;1;2;6331;06;05;05;976,333229903583
2403290;1;1;1;70;1;24;50;1; ;2;280;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;21;65;1;2;6593;06;05;05;970,235822916229
2403292;1;1;1;70;1;4;48;1; ;2;4;1; ;6;3; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;53;53;55;1;1;5530;06;05;05;974,254954174404
2403297;1;1;1;70;1;12;84;3; ;2;96;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;05;05;910,235729428305
2403299;1;2;1;70;1;20;48;3; ;2;20;3; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;05;05;1088,57232344868
2403301;1;1;1;70;1;6;48;4; ;2;6;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;90000;2;54;54;95;1;1;9500;06;05;05;887,282840773525
2403302;1;3;1;70;1;48;48;1; ;2;96;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;41;71;1;2;7130;06;05;05;1115,07807652117
