DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;DPTO;fex_c_2011
1080779;1;1;1;90; ;1; ;1;2;2;2;2;2;2;2;2;14; ;3; ; ; ; ; ; ; ; ;63;662,688837839352
1080779;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;15; ; ; ; ; ; ;63;662,688837839352
1080779;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;63;662,688837839352
1080779;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;662,688837839352
1080780;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;652,751619987759
1080780;1;2;1;90; ;1; ;1;2;2;2;2;2;2;2;2;10; ;35; ; ; ; ; ; ; ; ;63;652,751619987759
1080780;1;3;1;90; ;1; ;2;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ; ; ;63;652,751619987759
1080780;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ;63;652,751619987759
1080804;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;569,753208190655
1080804;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;569,753208190655
1080804;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;63;569,753208190655
1080805;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;615,220209261016
1080805;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ;63;615,220209261016
1080805;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;63;615,220209261016
1080806;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;10; ;18; ; ; ; ; ; ;63;516,845539523127
1080806;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;20; ;35; ; ; ; ; ; ;63;516,845539523127
1080808;1;1;1;90; ;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ;25; ; ; ; ; ; ;63;644,64584421886
1080808;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;40; ; ; ; ; ; ;63;644,64584421886
1080808;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ;63;644,64584421886
1080809;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ;63;586,396259388261
1080809;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;30; ;45; ; ; ; ; ; ;63;586,396259388261
1080809;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;63;586,396259388261
1080809;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;586,396259388261
1080809;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;63;586,396259388261
1080810;1;1;1;90; ;1; ;1;2;2;2;2;2;2;2;2;7; ;15; ; ; ; ; ; ; ; ;63;1127,05123054021
1080810;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ; ;63;1127,05123054021
1080810;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;63;1127,05123054021
1080811;1;1;1;90; ;2; ;2;2;2;2;1;2;2;2;2; ; ; ; ; ; ;3; ; ; ; ;63;662,688837839352
1080811;1;2;1;90; ;2; ;1;2;1;2;2;1;2;2;2; ; ;20; ;10; ; ;6; ; ; ;63;662,688837839352
1080811;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;63;662,688837839352
1080811;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;63;662,688837839352
