DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
676618,1,2,5,95,2,,,,,,,,1,2,,1,,,45000,,,,2,2,2,,2,5,881.347.993.298.178
676619,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.360.298.083.963
676619,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.360.298.083.963
676621,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,71.800.875.575.022
676622,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,836.458.404.497.296
676622,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,836.458.404.497.296
676622,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,836.458.404.497.296
676622,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,836.458.404.497.296
676623,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.780.719.957.231
676623,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.780.719.957.231
676623,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.780.719.957.231
676623,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.780.719.957.231
676626,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,10.636.126.422.341
676626,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,10.636.126.422.341
676626,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,10.636.126.422.341
676626,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,10.636.126.422.341
676628,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,683.553.487.582.926
676628,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,683.553.487.582.926
676628,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,683.553.487.582.926
676628,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,683.553.487.582.926
676628,1,7,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,683.553.487.582.926
676630,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,945.298.016.164.404
676630,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,945.298.016.164.404
676631,1,1,5,95,1,,1,2,,,150000,2,2,,,,,,,,,,,,,,,5,648.172.147.426.206
676631,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,648.172.147.426.206
676631,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,648.172.147.426.206
676631,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,648.172.147.426.206
676632,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,95.228.815.143.977
676632,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,95.228.815.143.977
676632,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,95.228.815.143.977
676632,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,95.228.815.143.977
676633,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,664.088.495.938.105
676633,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,664.088.495.938.105
676633,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,664.088.495.938.105
676634,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,766.374.518.388.173
676635,1,1,5,95,1,,2,1,,460000,,2,2,,,,,,,,,,,,,,,5,928.875.125.290.768
676635,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,928.875.125.290.768
676635,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,928.875.125.290.768
676638,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,748.811.030.369.304
676638,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,748.811.030.369.304
676639,1,1,5,95,1,,2,1,,445000,,2,2,,,,,,,,,,,,,,,5,713.751.364.220.745
676639,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,713.751.364.220.745
