DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
695789;1;2;2;2;1;1;1;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1;2;1;2;2;1;1;2;2;1;1;2;1;25;1;159.819.896.899.912
695791;1;2;2;2;2;1;1;4;4;;;;150000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;4;1;2;2;1;1;2;2;1;1;2;1;25;1;144.576.534.660.408
697614;1;2;2;2;1;4;1;4;3;;;;;15000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;63;1;862.539.373.662.994
697616;1;5;4;2;1;4;1;4;4;;;;300000;;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;1;1;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;63;1;956.613.065.656
697618;1;3;2;2;1;4;1;5;1;;;10000000;100000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;63;1;140.852.589.578.181
697619;1;2;2;3;1;4;1;5;4;;;;50000;;2;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;7;3;1;2;2;2;1;1;;2;1;2;5;63;1;153.700.645.750.252
697621;1;2;2;2;1;4;1;4;4;;;;50000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;3;63;1;955.038.490.321.794
697623;1;4;3;2;1;4;6;5;4;;;;200000;;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;964.084.808.658.226
697625;1;4;3;2;1;4;6;4;1;;;70000000;150000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;63;1;12.017.173.002.446
697626;1;5;4;2;1;4;6;5;4;;;;100000;;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;4;;;1;2;1;63;1;16.275.079.164.628
697629;1;3;2;3;1;4;6;5;4;;;;80000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;63;1;129.436.190.941.742
697631;1;3;1;3;1;3;6;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;63;1;105.815.850.065.123
697632;1;3;1;3;1;4;6;5;4;;;;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;127.716.384.067.529
697668;1;4;1;2;1;4;6;4;1;;;70000000;250000;;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;106.233.432.498.902
697669;1;5;1;2;1;4;1;4;1;;;50000000;150000;;2;1;2;1;1;1;1;2;2;1;1;1;2;2;1;2;2;1;2;1;2;1;1;1;4;1;2;2;2;1;2;;1;1;2;1;63;1;106.233.432.498.902
697671;1;3;2;2;1;4;1;4;3;;;;;25000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;63;1;169.455.355.692.073
697671;2;2;2;2;1;4;6;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;1;1;2;;63;1;169.455.355.692.073
697673;1;3;2;2;1;4;6;4;3;;;;;100000;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;156.673.264.843.415
697675;1;3;2;2;1;4;1;4;4;;;;150000;;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;3;1;2;2;2;1;1;;2;1;2;1;63;1;130.698.046.078.658
697677;1;2;2;2;1;4;1;4;4;;;;50000;;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;3;1;2;2;2;1;1;;1;1;2;1;63;1;938.444.012.884.723
697678;1;4;2;2;1;4;1;5;1;;;70000000;120000;;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;1;1;2;1;63;1;107.453.106.947.587
697680;1;2;2;2;1;4;1;4;2;;180000;10000000;60000;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;63;1;177.932.793.555.208
697681;1;2;2;2;1;4;6;5;4;;;;200000;;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;3;4;1;2;2;2;2;1;;;1;2;1;63;1;765.246.179.103.961
697683;1;3;2;2;1;4;6;5;3;;;;;250000;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;3;1;2;2;2;2;1;;;1;2;1;63;1;132.978.343.668.668
697686;1;3;1;1;1;1;1;4;1;;;15000000;70000;;2;1;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;1;1;4;1;2;1;1;1;2;3;1;1;2;1;63;1;103.998.944.787.995
697689;1;2;2;2;1;4;6;5;6;PARTE DE PAGO DE TRABAJO;;;100000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;2;1;;;1;2;1;63;1;148.072.355.010.261
697692;1;3;1;2;1;4;6;5;4;;;;100000;;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;63;1;124.248.746.721.118
697694;1;4;1;2;1;4;6;4;4;;;;100000;;2;2;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;3;1;2;2;2;2;2;;;1;2;1;63;1;136.423.462.910.293
697696;1;2;1;3;2;4;1;4;1;;;30000000;60000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;63;1;103.998.944.787.995
