DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5570878;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;219.99692333
5570879;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;204.35159491
5570880;1;1;1;80;23;2;;908526;1;3;;2;;;9;;2;2;;2;;1;10;1.4;23;261.36703292
5570880;1;2;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;261.36703292
5570882;1;2;1;80;23;2;;800000;2;;;;2;;;.;2;2;;2;;1;10;;23;196.23104494
5570883;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;180.85326706
5570883;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;180.85326706
5570884;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.89488522
5570885;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;183.56879908
5570886;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570886;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570887;1;1;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;251.60366386
5570887;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;251.60366386
5570887;1;4;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;251.60366386
5570888;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.89992306
5570890;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;195.34336513
5570891;1;3;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;185.83269262
5570893;1;2;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;93.309352064
5570894;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;183.56879908
5570894;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;183.56879908
5570895;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;93.309352064
5570895;1;3;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;93.309352064
5570897;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;134.54525147
5570898;1;1;1;80;23;;;;1;4;;2;;;4;;3;3;;2;;1;10;4;23;209.41167213
5570899;1;1;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;3;23;108.31467186
5570899;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570901;1;1;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.4;23;133.93557114
5570901;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;133.93557114
5570901;1;3;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;133.93557114
5570902;1;3;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;168.25784369
5570903;1;1;1;80;23;;;;1;7;;2;;;4;;2;2;;2;;1;10;2;23;124.11804213
5570903;1;2;1;80;23;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;23;124.11804213
5570904;1;2;1;80;23;2;;908526;1;3;;2;;;9;;2;2;;2;;1;10;4;23;130.8856661
5570904;1;3;1;80;23;2;;908526;2;;;;2;;;.;2;2;;2;;1;10;;23;130.8856661
5570904;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;130.8856661
5570904;1;5;1;80;23;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;130.8856661
5570906;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570907;1;1;1;80;23;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;152.27814225
5570908;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;129.17610415
5570908;1;4;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;129.17610415
5570909;1;3;1;80;23;2;;800000;1;4;;2;;;9;;2;2;;2;;1;10;1.4;23;373.23740826
5570910;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;108.31467186
5570910;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570913;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.12334946
5570915;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.59085296
5570916;1;1;1;80;23;;;;1;7;;2;;;8;;2;2;;2;;1;10;4;23;150.34862174
5570916;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;150.34862174
5570917;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.71855405
5570917;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.71855405
5570919;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;274.35874603
5570921;1;2;1;80;23;;;;1;4;;2;;;10;;3;3;;2;;1;10;4;23;108.31467186
5570922;1;1;1;80;23;;;;1;3;;2;;;9;;3;3;;2;;1;10;4;23;98.275169081
5570922;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;98.275169081
5570922;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;98.275169081
5570923;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;202.58011625
5570924;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;133.93557114
5570925;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;158.30556055
5570925;1;5;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;158.30556055
5570926;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;93.309352064
5570926;1;2;1;80;23;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;23;93.309352064
5570960;1;1;1;80;76;1;45;908526;1;7;;2;;;7;;2;2;;2;;1;10;1.4;76;1028.8896163
5571757;1;1;1;80;05;;;;1;5;;2;;;4;;3;3;;2;;1;10;2;05;1318.9221356
5571757;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;1318.9221356
5571758;1;1;1;80;05;;;;1;8;;2;;;9;;2;2;;2;;1;10;3;05;1117.305358
5571758;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1117.305358
5571759;1;2;1;80;05;;;;1;3;;2;;;9;;1;1;1;2;;1;10;1.3;05;1432.2857711
5571759;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1432.2857711
5571760;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1168.3406845
5571760;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1168.3406845
5571761;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;957.23590113
5571762;1;1;1;80;05;;;;1;5;;2;;;10;;2;2;;2;;1;10;4;05;1405.9372884
5571762;1;2;1;80;05;;;;2;;;;2;;;.;1;1;1;2;;1;10;;05;1405.9372884
5571762;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1405.9372884
5571763;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;820.74765712
5571763;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;820.74765712
5571763;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;820.74765712
5571765;1;1;1;80;05;;;;1;8;;2;;;9;;2;2;;2;;1;10;4;05;1180.58449
5571767;1;2;1;80;05;;;;1;5;;2;;;10;;2;2;;2;;1;10;2;05;914.30086339
5571767;1;7;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;914.30086339
5571768;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;985.02206633
5571774;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;1.2;05;881.86777159
5571775;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1046.1421808
5571777;1;1;1;80;05;;;;1;9;PANDEMIA;2;;;4;;2;2;;2;;1;10;2;05;1458.3642439
5571778;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;987.06800115
5571779;1;2;1;80;05;1;24;908526;1;7;;2;;;2;;2;2;;2;;1;10;2;05;2017.530564
5571779;1;7;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;2017.530564
5571780;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1404.6059268
5571780;1;5;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;1404.6059268
5571781;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1058.2311783
5571781;1;2;1;80;05;;;;1;1;;2;;;12;PLANES DE IRSE DE COLOMBIA;2;2;;2;;1;10;1.3;05;1058.2311783
5571782;1;1;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;05;1330.7239669
5571783;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;987.4890712
5571783;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;987.4890712
5571784;1;1;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;05;1105.2163605
5571788;1;2;1;80;05;;;;1;3;;2;;;11;;2;1;1;2;;1;10;4;05;1060.2353879
5571788;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1060.2353879
5571789;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;983.45983095
5571789;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;983.45983095
5571789;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;983.45983095
5571796;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;2153.4220259
5571801;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1527.4388246
5571801;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;1527.4388246
5571802;1;2;1;80;05;1;24;350000;1;4;;2;;;4;;2;2;;2;;1;10;1.2;05;1117.305358
5571804;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;2096.2927808
5571805;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;05;2544.1835229
5571805;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;2544.1835229
5571805;1;4;1;80;05;;;;1;8;;2;;;1;;2;2;;2;;1;10;2;05;2544.1835229
5571805;1;5;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;2544.1835229
5571808;1;1;1;80;05;;;;1;7;;2;;;8;;3;3;;2;;1;10;4;05;2369.2692688
5571808;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;2369.2692688
5571809;1;3;1;80;05;1;48;908526;1;8;;2;;;9;;2;2;;2;;1;10;4;05;2360.859364
5571810;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;05;2637.009789
5571811;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;967.16588106
5571811;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;967.16588106
5571813;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;1438.2363933
5571815;1;2;1;80;05;;;;1;2;;2;;;2;;2;2;;2;;1;10;1.2;05;1330.5691589
5571818;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1180.58449
5571818;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1180.58449
5571820;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1581.8284658
5571820;1;2;1;80;05;;;;1;1;;1;;4;8;;2;2;;2;;1;10;4;05;1581.8284658
5571821;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;1599.9926384
5571822;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1521.488568
5571822;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1521.488568
5571822;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1521.488568
5571826;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;985.02206633
5571828;1;1;1;80;05;;;;1;4;;2;;;4;;3;3;;2;;1;10;4;05;1062.4361307
5571828;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;05;1062.4361307
5571830;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1180.58449
5571830;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1180.58449
5571832;1;1;1;80;05;;;1000000;1;3;;1;;1;9;;2;2;;2;;1;10;4;05;1434.1862489
5571833;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;1.3;05;1541.8534834
5571836;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1180.58449
5571837;2;1;2;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;05;1446.2752464
5571838;1;1;1;80;05;;;;1;9;PANDEMIA;2;;;9;;2;2;;2;;1;10;2;05;955.07688357
5571838;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;955.07688357
5571839;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;1180.58449
5571840;1;2;1;80;05;1;48;908000;1;1;;1;;2;4;;2;2;;2;;1;10;2;05;1220.4596527
5571845;1;1;1;80;05;;;;1;9;CAMBIO DE LUGAR DE RESIDENCIA;2;;;9;;2;2;;2;;1;10;4;05;1172.3908289
5571845;1;4;1;80;05;2;;500000;2;;;;2;;;.;2;2;;2;;1;10;;05;1172.3908289
5571852;1;2;1;80;05;1;20;900000;2;;;;1;1;8;;;;;2;;1;10;;05;1346.2360715
5571852;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1346.2360715
5571854;1;1;1;80;05;1;20;500000;1;8;;2;;;9;;2;2;;2;;1;10;4;05;908.09170141
5571854;1;4;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;908.09170141
5571856;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;743.8172922
5571856;1;4;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;743.8172922
5571857;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;2;05;1545.9036278
5571857;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1545.9036278
5571859;1;1;1;80;05;;;;1;8;;2;;;1;;2;2;;2;;1;10;3;05;1095.1315726
5571860;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1873.4415291
5571861;1;1;1;80;05;;;;1;3;;2;;;1;;2;2;;2;;1;10;4;05;1635.8030266
5571861;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1635.8030266
5571863;1;1;1;80;05;;;;1;1;;2;;;8;;2;2;;2;;1;10;4;05;1180.58449
5571863;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;1180.58449
5571864;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1180.58449
5571864;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1180.58449
5571867;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1255.9526195
5571867;1;2;1;80;05;;;;1;4;;2;;;4;;3;3;;2;;1;10;4;05;1255.9526195
5571867;1;3;1;80;05;;;;1;7;;2;;;9;;2;2;;2;;1;10;4;05;1255.9526195
5571869;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1046.1421808
5571873;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;969.32489863
5571873;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;969.32489863
5571875;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1642.5105181
5571876;1;3;1;80;05;;;;1;8;;2;;;8;;2;2;;2;;1;10;2;05;1109.2665049
5571879;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;955.07688357
5571880;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;05;1375.1120693
5571881;1;3;1;80;05;1;48;908526;2;;;;2;;;.;2;2;;2;;1;10;;05;1151.7634804
5571882;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;2;05;1405.9372884
5571882;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1405.9372884
5571883;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1046.1421808
5571883;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1046.1421808
5571887;1;1;1;80;05;;;;1;9;PANDEMIA;2;;;12;PANDEMIA;2;2;;2;;1;10;2;05;1199.0358288
5571887;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;1199.0358288
5571887;2;2;2;80;05;;;;1;8;;2;;;2;;2;2;;2;;1;10;2;05;1199.0358288
5571890;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;834.88258944
5571890;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;834.88258944
5571891;1;2;1;80;05;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;05;1032.4492227
5571891;1;4;1;80;05;2;;580000;1;8;;2;;;2;;2;2;;2;;1;10;1.4;05;1032.4492227
5571891;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1032.4492227
5571893;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;3;05;898.16172147
5571894;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1422.5392256
5571894;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;1422.5392256
5571895;1;1;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;05;987.06800115
