DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5572049;1;2;1;70;08;12;24;900000;1;;2;12;4;;4;2;2;;2;;;;;;;;;;;1;2;;14;55;79;1;1;1410;10;08;669.77027942
5572052;1;4;1;70;08;6;48;1500000;2;;2;6;2;;9;2;3;;2;;;;;;1;;;;;;2;;84;12;12;1;1;8424;10;08;751.7583543
5572053;1;2;1;70;08;12;48;1500000;1;;2;8;1;;6;2;1;;2;;;;;;;;;;;1;2;;49;11;11;1;1;4923;10;08;752.65265969
5572077;1;5;1;70;08;52;48;1300000;1;;2;52;1;;4;2;2;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8512;10;08;706.65018471
5572082;1;4;1;70;08;12;48;908000;1;;2;12;1;;4;2;8;;2;;;;;;;;;;;1;2;;31;81;81;1;1;3110;10;08;539.44591198
5572084;1;3;1;70;08;8;40;2000000;1;;2;20;4;;1;2;4;;2;;;;;;;;;;;1;2;;85;12;13;1;1;8559;10;08;636.12367288
5572120;1;3;1;70;08;48;48;900000;4;;2;48;4;;1;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4921;10;08;837.61555311
5572126;1;2;1;70;08;4;48;1500000;1;;2;6;1;;9;2;2;;2;;;;;;;;;;;1;2;;53;37;45;1;1;5320;10;08;711.21146955
5572127;1;2;1;70;08;4;48;300000;4;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;;10;08;694.71366937
5572131;1;2;1;70;08;40;48;400000;2;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;2;;10;08;465.39483307
5572135;1;2;1;70;08;1;48;908000;1;;2;53;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;45;97;1;1;6190;10;08;727.84617126
5572139;1;2;1;70;08;259;40;900000;1;;2;52;1;;9;2;2;;2;;;;;;;;;;;1;2;;21;97;97;1;2;2100;10;08;770.70876874
5572146;1;4;1;70;08;20;72;908526;1;;2;24;1;;6;2;1;;2;;;;;;;;;;;1;2;;47;39;39;1;2;4771;10;08;399.13142284
5572162;1;2;1;70;08;8;48;1200000;2;;2;4;1;;2;2;1;;2;;;;;;;;;;;1;2;;42;58;87;1;1;4290;10;08;532.5509771
5572168;1;1;1;70;08;52;48;908526;1;;2;52;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;2;9700;10;08;774.97994802
5572170;1;1;1;70;08;3;48;1600000;1;;2;3;1;;9;2;2;;2;;;;;;;;;;;1;1;1900000;35;03;02;1;1;3512;10;08;723.68316453
5572174;1;1;1;70;08;68;48;1500000;1;;2;68;1;;9;2;2;;2;;;;;;;;;1;;;2;;05;02;21;1;2;0510;10;08;771.88238802
5572178;1;2;1;70;08;99;48;906000;3;;2;8;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;10;08;333.22554481
5572178;1;4;1;70;08;8;48;906000;1;;2;8;4;;1;2;2;;2;;;;;;;;;;;1;2;;10;45;45;1;1;1081;10;08;333.22554481
5572190;1;3;1;70;11;45;48;99;1;;2;50;1;;9;2;4;;2;;;;;;;;;;;1;2;;82;38;38;1;2;8220;10;11;3400.1037468
5572191;1;3;1;70;11;2;48;908526;1;;2;2;1;;4;2;4;;1;1;;;1;;;;;;;;2;;69;39;39;1;1;6910;10;11;4219.4787314
5572193;1;2;1;70;11;16;48;5000000;1;;2;16;4;;4;2;1;;1;1;;;1;;;;;;;;2;;69;12;12;1;2;6910;10;11;2953.0444002
5572193;1;3;1;70;11;56;48;6000000;1;;2;56;4;;5;2;2;;2;;;;1;;;;;;;;2;;70;44;44;1;2;7020;10;11;2953.0444002
5572202;1;3;1;70;11;84;48;908526;1;;2;24;1;;5;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;10;11;4383.2069823
5572211;1;2;1;70;11;90;48;908526;1;;2;90;1;;6;2;1;;2;;;;;;;;;;;1;2;;14;39;79;1;2;1410;10;11;2831.2999157
5572214;1;2;1;70;11;120;120;908526;1;;2;120;1;;4;2;8;;2;;;;;;;;;;;1;2;;73;45;97;1;2;7310;10;11;5194.1030378
5572219;1;2;1;70;11;96;48;908526;4;;2;96;4;;1;2;8;;2;;;;;;;;;;;1;2;;81;55;55;1;2;8121;10;11;4297.301631
5572226;1;1;1;70;11;12;48;7000000;1;;2;8;1;;7;2;2;;2;;;;;;1;;;;;;2;;95;08;08;1;1;9511;10;11;3287.895759
5572227;1;1;1;70;11;24;48;1800000;1;;2;72;1;;2;2;2;;2;;;;;;;;;;;1;2;;96;57;57;1;2;9602;10;11;3696.210582
5572227;1;4;1;70;11;24;48;908000;4;;2;72;1;;9;2;4;;2;;;;;;;;;;;1;2;;53;98;98;1;2;5320;10;11;3696.210582
5572251;1;2;1;70;11;192;48;1200000;1;;2;192;1;;7;2;2;;2;;;;;;;;;;;1;2;;14;79;79;1;2;1410;10;11;4234.7783361
5572253;1;1;1;70;11;12;48;908526;1;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;4111;10;11;3939.1887087
5572263;1;3;1;70;11;3;48;1500000;1;;2;3;1;;9;2;1;;2;;;;;;;;;;;1;2;;90;15;15;1;1;9001;10;11;2806.7974293
5572263;1;4;1;70;11;18;48;1500000;1;;2;18;1;;3;2;8;;2;;;;;;;;;;;1;2;;52;59;59;1;2;5221;10;11;2806.7974293
5572266;1;2;1;70;11;12;48;1000000;1;;2;7;4;;1;2;8;;2;;;;;;;;;;;1;2;;47;33;45;1;1;4781;10;11;4989.472632
5572267;1;2;1;70;11;259;48;908526;1;;2;256;1;;8;2;1;;2;;;;;;;;;;;1;2;;82;38;38;1;2;8220;10;11;3790.6246174
5572280;1;2;1;70;11;12;48;908526;1;;2;12;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;45;54;1;1;9700;10;11;3065.0751608
5572282;1;1;1;70;11;4;60;908526;1;;2;4;1;;2;2;8;;2;;;;;;;;;;;1;2;;56;45;53;1;1;5611;10;11;3669.7178876
5572282;1;2;1;70;11;4;60;900000;1;;2;20;4;;2;2;8;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4771;10;11;3669.7178876
5572283;1;2;1;70;11;40;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;2;;10;11;3323.911882
5572290;1;3;1;70;11;104;48;908526;1;;2;24;1;;2;2;1;;2;;;;;;;;;;;1;2;;61;97;44;1;2;6120;10;11;3991.9919142
5572293;1;1;1;70;11;8;48;908600;1;;2;8;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;97;45;1;1;4771;10;11;3904.9806104
5572295;1;2;1;70;11;48;48;908526;1;;2;3;4;;2;2;4;;2;;;;;;;;;;;1;2;;47;45;79;1;2;4751;10;11;4481.1874104
5572308;1;2;1;70;11;70;48;1100000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;10;11;3187.9253603
5572315;1;2;1;70;11;13;48;908526;1;;2;24;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;55;54;1;1;9700;10;11;3864.102559
5572315;1;4;1;70;11;12;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;10;11;3864.102559
5572321;1;2;1;70;11;6;48;2500000;2;;2;40;2;;9;2;1;;2;;;;;;;;;;;1;2;;69;19;19;1;1;6910;10;11;2793.6611072
5572325;1;2;1;70;11;180;48;908600;1;;2;180;1;;6;2;1;;2;;;;;;;;;;;1;2;;64;39;39;1;2;6412;10;11;5206.5451623
5572332;1;1;1;70;11;252;48;1500000;1;;2;252;1;;7;2;4;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;10;11;3518.8135238
5572335;1;3;1;70;11;20;48;1100000;1;;2;12;1;;4;2;1;;2;;;;;;;;;;;1;2;;82;13;34;1;2;8219;10;11;2670.8109076
5572352;1;4;1;70;11;52;48;1300000;1;;2;52;1;;7;2;1;;2;;;;;;;;;;;1;2;;65;39;03;1;2;6511;10;11;1966.8919797
5572353;1;3;1;70;11;96;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;11;3201.0616825
5572355;1;1;1;70;11;20;48;908526;1;;2;20;1;;2;2;1;;2;;;;;;;;;;;1;2;;43;95;95;1;2;4330;10;11;3213.503807
5572368;1;1;1;70;11;16;48;908526;4;;2;16;4;;4;2;1;;2;;;;;;;;;;;1;1;100000;47;95;95;1;2;4754;10;11;3459.7211765
5572373;1;3;1;70;11;10;48;908528;1;;2;3;1;;5;2;1;;2;;;;;;;;;;;1;2;;41;95;58;1;1;4111;10;11;3412.5458713
5572384;1;1;1;70;11;20;48;908526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;80;58;58;1;2;8010;10;11;3964.0729577
5572405;1;1;1;70;11;75;48;908526;1;;2;75;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;55;54;1;2;9700;10;11;3287.895759
5572409;1;4;1;70;11;48;48;1300000;1;;2;48;1;;7;2;1;;2;;;;;;;;;;;1;2;;91;21;39;1;2;9101;10;11;3418.5081007
5572409;1;7;1;70;11;8;48;1500000;1;;2;8;1;;6;2;1;;2;;;;1;;;;;;;;2;;47;39;33;1;1;4711;10;11;3418.5081007
5572416;1;1;1;70;11;12;48;908526;1;;2;18;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;1;5611;10;11;4209.7733569
5572416;1;2;1;70;11;24;48;908526;1;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;200000;53;39;37;1;2;5320;10;11;4209.7733569
5572417;1;2;1;70;11;24;30;600000;1;;2;36;1;;9;2;1;;2;;;;;;;;;;;1;2;;49;33;33;1;2;4923;10;11;6005.5725606
5572418;1;2;1;70;11;52;48;1300000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;2;;10;11;2831.2999157
5572445;1;1;1;70;13;8;48;908526;1;;2;8;1;;3;2;7;;2;;;;;;;;;;;1;2;;47;41;45;1;1;4774;10;13;401.83649894
5572446;1;3;1;70;13;48;48;908526;1;;2;288;1;;5;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;8622;10;13;252.40760513
5572446;1;4;1;70;13;12;48;1200000;1;;2;12;1;;6;2;2;;2;;;;;;;;;;;1;2;;88;19;19;1;1;8899;10;13;252.40760513
5572457;1;2;1;70;13;48;48;908526;1;;2;44;1;;9;2;2;;2;;;;;;;;;;;1;2;;47;33;39;1;2;4771;10;13;498.72634728
5572460;1;1;1;70;13;6;48;800000;4;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;4111;10;13;482.32341576
5572489;1;3;1;70;13;8;40;908526;1;;2;8;1;;8;2;1;;2;;;;;;;;;;;1;2;;19;32;59;1;1;1921;10;13;481.39320087
5572489;1;5;1;70;13;20;48;908526;1;;2;20;4;;4;2;1;;2;;;;;;;;;;;1;2;;56;33;53;1;2;5619;10;13;481.39320087
5572494;1;3;1;70;13;104;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;10;13;532.61774901
5572494;1;4;1;70;13;44;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;2;;10;13;532.61774901
5572497;1;2;1;70;13;33;48;600000;1;;2;58;1;;1;2;1;;2;;;;;;;;;;;1;2;;96;57;57;1;2;9602;10;13;399.58543356
5572497;1;4;1;70;13;24;48;400000;3;;1;;;;;;;;;;.;.;;;;;;;;;;.;;54;;1;2;;10;13;399.58543356
5572502;1;2;1;70;13;78;48;1500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;15;;1;2;;10;13;511.38079942
5572514;1;1;1;70;13;24;48;600000;3;;2;144;3;;2;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;10;13;511.38079942
5572517;1;2;1;70;13;16;16;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;13;435.72790067
5572519;1;3;1;70;13;52;52;908526;1;;2;52;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;33;45;1;2;4731;10;13;516.2148175
5572526;1;2;1;70;13;8;48;908526;1;;2;36;1;;9;2;1;;2;;;;;;;;;;;1;2;;56;45;39;1;1;5611;10;13;488.10787248
5572529;1;4;1;70;13;32;40;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;2;;10;13;334.5805609
5572539;1;2;1;70;13;48;48;1000000;1;;2;60;1;;6;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8544;10;13;471.85570301
5572565;1;2;1;70;13;56;48;1000000;1;;2;56;1;;5;2;2;;2;;;;;;;;;;;1;2;;46;39;39;1;2;4661;10;13;484.18543294
5572568;1;3;1;70;13;40;48;1200000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;10;13;429.94344395
5572579;1;3;1;70;13;4;48;900000;1;;2;8;1;;7;2;4;;2;;;;;;;;;;;1;2;;85;33;33;1;1;8551;10;13;591.3374645
5572713;1;2;1;70;17;48;48;908526;1;;2;48;1;;2;2;1;;2;;;;;;;;;;;1;2;;43;03;03;1;2;4321;10;17;127.05743175
5572713;1;3;1;70;17;16;48;908526;1;;2;16;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;10;17;127.05743175
5572714;1;3;1;70;17;48;48;908526;1;;2;48;1;;9;2;2;;2;;;;;;;;;;;1;2;;46;34;03;1;2;4631;10;17;233.75192367
5572726;1;3;1;70;17;8;48;908526;1;;2;8;1;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;4111;10;17;225.97577825
5572740;1;1;1;70;17;4;48;908526;1;;2;4;1;;3;2;1;;2;;;;;;;;;;;1;1;908526;56;53;53;1;1;5611;10;17;253.11921426
5572792;1;2;1;70;17;48;48;1500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;2;;10;17;155.86584461
5572792;1;3;1;70;17;48;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;2;;10;17;155.86584461
5572843;1;4;1;70;17;4;48;908526;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;1;8610;10;17;232.11111792
5572843;1;5;1;70;17;16;48;908526;1;;2;16;1;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;2;4111;10;17;232.11111792
5572862;1;5;1;70;17;8;48;1500000;1;;2;8;1;;3;2;1;;2;;;;;;;;;;;1;2;;62;16;16;1;1;6201;10;17;152.7414799
5572863;1;2;1;70;17;48;48;908526;1;;2;48;1;;6;2;2;;2;;;;;;1;;;;;;2;;86;07;59;1;2;8621;10;17;233.75192367
5572875;1;2;1;70;17;4;48;908526;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;45;38;1;1;6110;10;17;243.04321104
5573251;1;3;1;70;23;3;48;400000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;10;23;276.06830798
5573252;1;6;1;70;23;24;48;1200000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;23;127.43566998
5573262;1;1;1;70;23;8;42;500000;3;;2;110;3;;2;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;9700;10;23;250.50156865
5573262;1;3;1;70;23;25;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;2;;10;23;250.50156865
5573262;1;4;1;70;23;28;60;908526;1;;2;26;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;41;45;1;2;4711;10;23;250.50156865
5573266;1;4;1;70;23;24;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;23;93.309352064
5573274;1;1;1;70;23;25;40;908000;1;;2;25;1;;9;2;2;;2;;;;;;;;;1;;;2;;53;45;97;1;2;5320;10;23;251.60366386
5573285;1;2;1;70;23;8;40;908000;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4771;10;23;127.95895708
5573285;1;3;1;70;23;18;40;908000;1;;2;10;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;97;97;1;2;4773;10;23;127.95895708
5573970;1;4;1;70;50;30;48;1200000;1;;2;30;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;10;50;479.80130238
5573970;1;7;1;70;50;30;48;1200000;3;;2;30;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;10;50;479.80130238
