DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,FEX_C,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2731641,1,2,1,80,140.878.415.701.896,1,1,4,3,,2,,2,,,,,8,2,1,7,17,17,139.533.367.881.283
2731645,1,2,1,80,291.156.027.059.114,1,2,,,,2,,2,,2,,.,,,1,7,17,17,29.151.342.635.393
2731648,1,1,1,80,144.820.760.981.341,1,2,,,,2,,2,,2,,.,,,1,7,17,17,143.335.905.802.899
2731654,1,1,1,80,276.296.607.318.938,1,1,4,7,,2,,2,,,,,8,2,1,7,17,17,277.485.834.510.912
2731657,1,3,1,80,172.076.495.576.492,1,2,,,,2,,2,,2,,.,,,1,7,17,17,170.091.029.429.381
2731659,1,2,1,80,237.361.810.351.428,1,1,1,7,,2,,2,,,,,6,2,1,7,73,73,237.019.672.668.521
2731660,1,2,1,80,213.777.101.812.275,1,1,4,7,,2,,2,,,,,8,2,1,7,73,73,214.872.690.541.838
2731662,1,6,1,80,337.945.290.250.867,1,1,4,3,,2,,2,,,,,9,2,1,7,73,73,332.701.251.349.609
2731666,1,2,1,80,234.166.916.251.712,1,1,3,3,,2,,2,,,,,9,2,1,7,73,73,233.196.577.071.559
2731669,1,1,1,80,16.433.899.815.107,1,1,4,5,,3,,2,,,,,10,2,1,7,73,73,165.494.002.465.448
2731670,1,2,1,80,240.508.940.803.183,1,1,4,4,,2,,2,,,,,4,2,1,7,73,73,237.815.726.183.628
2731670,1,3,1,80,240.508.940.803.183,1,2,,,,2,,2,,2,,.,,,1,7,73,73,237.815.726.183.628
2731671,1,2,1,80,166.637.496.366.534,1,2,,,,2,,2,,2,,.,,,1,7,73,73,164.997.931.252.037
2731671,1,4,1,80,166.637.496.366.534,1,2,,,,2,,2,,2,,.,,,1,7,73,73,164.997.931.252.037
2731672,1,1,1,80,138.387.747.545.578,1,2,,,,2,,2,,2,,.,,,1,7,73,73,136.855.905.671.839
2731673,1,1,1,80,143.444.599.178.458,1,1,4,3,,3,,2,,,,,9,2,1,7,73,73,141.684.956.105.325
2731673,1,2,1,80,143.444.599.178.458,1,1,4,6,,2,,2,,,,,9,2,1,7,73,73,141.684.956.105.325
2731675,1,4,1,80,230.595.707.959.463,1,1,4,4,,2,,2,,,,,8,2,1,7,73,73,227.684.651.073.947
2731676,1,2,1,80,239.744.495.385.297,1,2,,,,2,,2,,2,,.,,,1,7,73,73,239.370.501.560.116
2731681,1,2,1,80,236.549.601.285.582,1,2,,,,2,,2,,2,,.,,,1,7,73,73,235.547.405.963.154
2731682,1,1,1,80,181.234.946.776.326,1,1,4,5,,3,,2,,,,,10,2,1,7,73,73,180.346.839.151.665
2731683,1,3,1,80,174.928.352.928.883,1,2,,,,2,,2,,2,,.,,,1,7,73,73,180.337.966.735.918
2731683,1,4,1,80,174.928.352.928.883,1,2,,,,2,,2,,2,,.,,,1,7,73,73,180.337.966.735.918
2731687,1,1,1,80,176.942.540.561.331,1,2,,,,2,,2,,2,,.,,,1,7,73,73,17.396.301.334.169
2731687,1,2,1,80,176.942.540.561.331,1,1,4,4,,2,,2,,,,,4,2,1,7,73,73,17.396.301.334.169
2731688,1,3,1,80,290.744.301.707.675,1,2,,,,2,,2,,2,,.,,,1,7,66,66,287.610.777.341.229
2731689,1,2,1,80,268.037.529.642.389,1,1,3,3,,2,,2,,,,,9,2,1,7,66,66,262.083.411.609.375
2731691,1,1,1,80,253.224.374.008.047,1,1,4,5,,3,,2,,,,,10,2,1,7,66,66,248.529.022.549.253
2731691,1,2,1,80,253.224.374.008.047,1,1,4,3,,2,,2,,,,,9,2,1,7,66,66,248.529.022.549.253
2731694,1,2,1,80,218.495.467.367.016,1,1,4,4,,2,,2,,,,,4,2,1,7,66,66,211.615.829.741.031
2731694,1,3,1,80,218.495.467.367.016,1,2,,,,2,,2,,2,,.,,,1,7,66,66,211.615.829.741.031
2731695,1,1,1,80,236.061.772.257.144,1,1,3,5,,3,,2,,,,,10,2,1,7,66,66,232.941.728.436.336
2731697,1,3,1,80,326.483.214.540.068,1,1,1,8,,2,,2,,,,,4,2,1,7,66,66,329.346.147.192.404
2731698,1,1,1,80,224.062.736.659.547,1,1,4,5,,3,,2,,,,,10,2,1,7,66,66,218.349.167.247.575
2731698,1,2,1,80,224.062.736.659.547,1,1,4,3,,2,,2,,,,,9,2,1,7,66,66,218.349.167.247.575
2731698,1,3,1,80,224.062.736.659.547,1,2,,,,2,,2,,2,,.,,,1,7,66,66,218.349.167.247.575
2731703,1,1,1,80,264.263.258.924.623,1,1,3,5,,3,,2,,,2,,8,1,1,7,66,66,257.818.072.926.912
2731703,1,2,1,80,264.263.258.924.623,1,1,3,8,,1,2,2,,,2,,8,1,1,7,66,66,257.818.072.926.912
2731705,1,1,1,80,29.300.356.412.626,1,1,4,4,,2,,2,,,,,4,2,1,7,66,66,292.960.977.736.066
2731706,1,3,1,80,342.674.550.339.331,1,2,,,,2,,2,,2,,.,,,1,7,66,66,347.958.278.489.892
2731709,1,1,1,80,279.728.515.769.246,1,1,1,4,,2,,2,,,,,4,2,1,7,66,66,275.114.992.851.177
2731709,1,2,1,80,279.728.515.769.246,1,2,,,,2,,2,,2,,.,,,1,7,66,66,275.114.992.851.177
2731709,1,4,1,80,279.728.515.769.246,1,2,,,,2,,2,,2,,.,,,1,7,66,66,275.114.992.851.177
2731712,1,2,1,80,370.036.675.376.047,1,2,,,,2,,2,,2,,.,,,1,7,66,66,37.804.344.106.168
2731712,1,3,1,80,370.036.675.376.047,1,2,,,,2,,2,,2,,.,,,1,7,66,66,37.804.344.106.168
2731712,1,5,1,80,370.036.675.376.047,1,2,,,,2,,2,,2,,.,,,1,7,66,66,37.804.344.106.168
2731714,1,2,1,80,221.286.488.425.613,1,1,4,3,,2,,2,,,,,9,2,1,7,66,66,213.784.391.724.786
2731714,1,4,1,80,221.286.488.425.613,1,2,,,,2,,2,,2,,.,,,1,7,66,66,213.784.391.724.786
2731714,1,5,1,80,221.286.488.425.613,1,1,4,3,,2,,2,,,,,4,2,1,7,66,66,213.784.391.724.786
2731715,1,2,1,80,348.549.869.102.602,1,1,4,3,,2,,2,,,,,9,2,1,7,66,66,356.252.595.943.395
2731718,1,3,1,80,274.564.949.615.941,1,2,,,,2,,2,,2,,.,,,1,7,66,66,27.412.025.992.702
