DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5367150;1;1;1;70;13;20;48;1; ;2;24;1; ;4;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;5619;02;13;325,404198458937
5367156;1;2;1;70;13;40;48;1; ;2;40;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;55;55;1;2;5511;02;13;427,095505223649
5367230;1;1;1;70;17;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;908526;908526;2; ;80;58;58;1;1;8010;02;17;216,396723570117
5367233;1;2;1;70;17;8;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;1;4111;02;17;186,76523762729
5367235;1;1;1;70;17;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;82;38;38;1;1;8220;02;17;232,068139104146
5367243;1;2;1;70;17;48;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;4111;02;17;153,581747287535
5367243;1;3;1;70;17;4;48;8; ;2;4;8; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;908526;2; ;01;62;62;1;1;0123;02;17;153,581747287535
5367247;1;1;1;70;17;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;5611;02;17;227,034182057957
5367249;1;2;1;70;17;4;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;85;32;32;1;1;8551;02;17;216,396723570117
5367340;1;1;1;70;23;12;48;1; ;2;46;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;86;19;19;1;1;8610;02;23;158,148950025932
5367346;1;1;1;70;23;40;48;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;2;9700;02;23;99,4383870389209
5367346;1;3;1;70;23;20;42;1; ;2;40;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;59;45;1;2;4771;02;23;99,4383870389209
5367347;1;2;1;70;23;48;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;82;38;38;1;2;8220;02;23;115,61215833911
5367348;1;2;1;70;23;52;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;908526;2; ;47;45;45;1;2;4719;02;23;178,459022041291
5367352;1;2;1;70;23;8;30;1; ;2;20;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;40;40;1;1;4772;02;23;120,428923668717
5367355;1;1;1;70;23;28;48;1; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;41;1;2;4773;02;23;118,898094959267
5367517;1;3;1;70;50;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2500000; ; ; ;13; ;1;2;.;02;50;250,301626794684
5367520;1;1;1;70;50;8;48;1; ;2;8;4; ;9;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;1200000;1;1;88;13;13;1;1;8890;02;50;277,456319548441
5367522;1;2;1;70;50;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ; ;18; ;1;2;.;02;50;191,151264637992
5367523;1;1;1;70;50;50;48;1; ;2;50;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;49;98;98;1;2;4921;02;50;343,463698540231
5367530;1;3;1;70;50;32;40;1; ;2;9;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;55;1;2;4722;02;50;250,301626794684
5367536;1;2;1;70;50;50;48;1; ;2;50;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;52;39;39;1;2;5221;02;50;251,470418095416
5367538;1;1;1;70;50;24;48;1; ;2;3;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;500000;1000000;2; ;47;98;97;1;2;4752;02;50;343,463698540231
5367539;1;1;1;70;50;2;48;4; ;2;2;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;400000;906000;2; ;25;83;83;1;1;2511;02;50;318,555017521583
5367542;1;2;1;70;50;3;48;1; ;2;3;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1500000;1000000;2; ;86;45;59;1;1;8621;02;50;419,81416866608
5367548;1;2;1;70;50;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;1;4771;02;50;333,509113755632
5367549;1;1;1;70;50;45;48;1; ;2;45;1; ;4;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1200000;3; ;47;45;45;1;2;4752;02;50;277,456319548441
5367550;1;2;1;70;50;30;48;1; ;2;35;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;69;12;12;1;2;6910;02;50;452,245311684731
5367551;1;1;1;70;50;5;48;1; ;2;5;1; ;2;2;1; ; ; ; ;1; ; ; ; ; ; ;1;400000;900000;2; ;41;95;95;1;1;4111;02;50;230,848488156104
5367567;1;3;1;70;52;24;48;1; ;2;24;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;84;12;12;1;2;8412;02;52;107,423470677922
5367567;1;4;1;70;52;12;48;1; ;2;30;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;19;13;1;1;8551;02;52;107,423470677922
5367571;1;2;1;70;52;5;48;3; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;10;54;45;1;1;1011;02;52;243,887916780012
5367576;1;3;1;70;52;104;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;32; ;1;2;.;02;52;125,882420154893
5367600;1;2;1;70;52;25;40;1; ;2;3;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1500000;1500000;2; ;51;21;21;1;2;5111;02;52;164,674367580388
5367605;1;2;1;70;52;52;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ; ;54; ;1;2;.;02;52;107,423470677922
5367605;1;3;1;70;52;12;25;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;100000; ; ; ;45; ;1;1;.;02;52;107,423470677922
5367607;1;2;1;70;52;9;48;1; ;2;9;1; ;2;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;58;45;1;1;4752;02;52;269,064129401505
5367612;1;2;1;70;52;21;48;1; ;2;21;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;45;53;87;1;2;4520;02;52;184,0672830546
5367619;1;2;1;70;52;16;40;4; ;2;8;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;45;45;1;2;4772;02;52;269,064129401505
5367624;1;1;1;70;52;6;40;1; ;2;12;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;1;4719;02;52;242,706562256813
5367627;1;1;1;70;52;40;48;3; ;2;42;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;97;54;54;1;2;9700;02;52;164,674367580388
5367627;1;2;1;70;52;36;16;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;85;45;59;1;2;8559;02;52;164,674367580388
5367629;1;3;1;70;52;26;20;1; ;2;84;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;47;33;45;1;2;4771;02;52;162,236832995394
5367630;1;1;1;70;52;56;48;1; ;2;56;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;84;37;58;1;2;8412;02;52;207,913324419057
5367630;1;3;1;70;52;156;40;2; ;2;156;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;69;12;12;1;2;6910;02;52;207,913324419057
5367633;1;1;1;70;52;52;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADO; ;2; ;2000000;3; ;85;13;13;1;2;8559;02;52;182,371356099746
5367637;1;2;1;70;52;5;25;4; ;2;40;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;90;17;17;1;1;9008;02;52;152,663368868398
5367651;1;1;1;70;52;40;40;3; ;2;44;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;40000;400000;2; ;97;54;59;1;2;9700;02;52;155,540650346451
5367666;1;1;1;70;54;52;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;46;97;97;1;2;4631;02;54;299,420772254448
5367669;1;1;1;70;54;8;48;1; ;2;156;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;86;33;32;1;1;8610;02;54;344,938759963042
5367671;1;2;1;70;54;2;48;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;56;53;53;1;1;5611;02;54;403,015024037628
5367678;1;1;1;70;54;5;48;4; ;2;5;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;930000;2; ;84;18;18;1;1;8413;02;54;447,727381557997
5367762;1;2;1;70;68;44;40;1; ;2;44;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;56;53;53;1;2;5611;02;68;480,958895022833
5367763;1;1;1;70;68;36;40;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;51;39;58;1;2;5111;02;68;585,76529217857
5367763;1;2;1;70;68;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;06;02;97;1;1;0610;02;68;585,76529217857
5367765;1;3;1;70;68;40;56;1; ;2;40;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;4111;02;68;626,813246952671
5367769;2;5;2;70;68;1;48;3; ;2;8;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;54;53;1;1;5611;02;68;631,174154402034
5367773;1;3;1;70;68;5;48;1; ;2;40;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;39;40;1;1;4761;02;68;374,606794974489
5367776;1;3;1;70;68;17;48;1; ;2;17;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2500000;1;1;55;50;50;1;2;5511;02;68;387,249349273318
5367787;1;2;1;70;68;4;48;1; ;2;68;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;14;99;79;1;1;1410;02;68;704,427643854155
5367797;1;2;1;70;68;8;48;1; ;2;6;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;1;4111;02;68;624,271597073612
5367797;1;4;1;70;68;16;48;1; ;2;16;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;85;53;13;1;2;8559;02;68;624,271597073612
5367797;1;7;1;70;68;4;48;1; ;2;4;1; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;45;95;93;1;1;4520;02;68;624,271597073612
5367810;1;2;1;70;68;36;24;4; ;2;70;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;41;45;1;2;4721;02;68;686,806271395596
5367812;1;1;1;70;68;32;48;1; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;47;95;41;1;2;4752;02;68;294,252276606318
5367812;1;4;1;70;68;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;909000; ; ; ;44; ;1;1;.;02;68;294,252276606318
5367813;1;2;1;70;68;28;48;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;69;39;33;1;2;6920;02;68;487,30132257348
5367816;1;1;1;70;68;24;48;1; ;2;24;4; ;1;2;1; ; ;1; ;1; ; ; ; ; ; ;2; ;3000000;1;2;86;08;08;1;2;8621;02;68;660,623538285253
5367816;1;2;1;70;68;32;48;1; ;2;250;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;86;05;05;1;2;8610;02;68;660,623538285253
5367818;1;4;1;70;68;36;48;3; ;2;36;3; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;97;54;54;1;2;9700;02;68;280,096347057105
5367827;1;4;1;70;68;20;48;1; ;2;20;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;10;95;97;1;2;1040;02;68;408,237945124206
5367831;1;4;1;70;68;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;1;4111;02;68;453,113475448021
5367832;1;3;1;70;68;36;48;1; ;2;56;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;25;05;02;1;2;2599;02;68;505,410773810399
5367832;1;4;1;70;68;52;48;1; ;2;52;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;82;38;44;1;2;8291;02;68;505,410773810399
5367832;1;5;1;70;68;16;48;1; ;2;20;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;46;45;45;1;2;4649;02;68;505,410773810399
5367834;1;3;1;70;68;12;48;1; ;2;12;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;1;4773;02;68;597,513402932682
5367850;1;2;1;70;68;32;24;1; ;2;32;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;25;30;30;1;2;2599;02;68;629,068470608968
5367894;1;4;1;70;73;8;40;4; ;2;8;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;13;13;1;1;8544;02;73;314,959809415393
5367910;1;2;1;70;73;2;48;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;908526;908526;2; ;14;45;79;1;1;1410;02;73;326,939772908594
5367913;1;2;1;70;73;12;48;1; ;2;680;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;61;45;45;1;1;6110;02;73;341,715718591272
5367917;1;1;1;70;73;16;48;1; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;97;59;59;1;2;9700;02;73;326,202467935483
5367917;1;2;1;70;73;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;93;18;18;1;1;9311;02;73;326,202467935483
5367923;1;1;1;70;73;8;60;5; ;2;8;5; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;41;95;95;1;1;4111;02;73;281,23639935975
5367931;1;1;1;70;73;8;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;56;53;53;1;1;5611;02;73;254,246134567405
5367931;1;2;1;70;73;56;48;1; ;2;56;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908800;2; ;56;95;53;1;2;5611;02;73;254,246134567405
5367950;1;3;1;70;73;5;48;1; ;2;5;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;47;45;45;1;1;4723;02;73;516,541074775095
5367951;1;1;1;70;73;6;48;4; ;2;6;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;49;98;98;1;1;4921;02;73;166,426213327625
5367953;1;3;1;70;73;44;48;1; ;2;44;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;82;53;95;1;2;8230;02;73;329,327377224447
5367954;1;3;1;70;73;8;48;1; ;2;8;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;95;53;1;1;5611;02;73;371,05424995088
5367956;1;2;1;70;73;11;48;1; ;2;49;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;55;54;1;1;9700;02;73;155,375828527474
5367957;1;3;1;70;73;80;48;1; ;2;80;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;86;59;59;1;2;8610;02;73;310,438428205619
5367958;1;3;1;70;73;60;48;1; ;2;60;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;5611;02;73;409,01961959108
5367963;1;2;1;70;73;108;44;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1400000;2; ;47;45;41;1;2;4772;02;73;309,335716457547
5367971;1;1;1;70;73;44;60;4; ;2;44;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;96;57;57;1;2;9602;02;73;277,184618585044
5367978;1;2;1;70;73;26;48;1; ;2;44;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;86;55;55;1;2;8610;02;73;194,525530425422
5367996;1;3;1;70;73;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;10;33;33;1;1;1081;02;73;154,957478967342
5368012;1;1;1;70;76;12;112;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;1;2;49;98;98;1;1;4921;02;76;1223,52361671351
5368012;1;3;1;70;76;24;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;39; ;1;2;.;02;76;1223,52361671351
5368037;1;3;1;70;76;2;48;1; ;2;104;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;86;19;19;1;1;8621;02;76;737,714981678904
5368039;1;2;1;70;76;12;48;1; ;2;52;4; ;1;2;6; ; ; ; ;1; ; ; ; ; ; ;2; ;908526;2; ;53;39;37;1;1;5320;02;76;890,213213863828
5368042;1;1;1;70;76;10;50;5; ;2;10;5; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;41;95;95;1;1;4111;02;76;752,697355581344
5368043;1;2;1;70;76;12;48;1; ;2;44;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;79;79;1;1;1410;02;76;1084,42842174309
5368048;1;3;1;70;76;104;48;1; ;2;156;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;10;45;45;1;2;1084;02;76;764,449583470803
5368048;1;4;1;70;76;46;48;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;32;53;1;2;5613;02;76;764,449583470803
5368049;1;1;1;70;76;52;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;13;79;1;2;1410;02;76;882,858540996161
5368053;1;3;1;70;76;4;48;1; ;2;53;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;1;4723;02;76;1062,03084232724
5368055;1;3;1;70;76;4;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;1;4771;02;76;798,610330767483
5368058;1;1;1;70;76;1;15;4; ;2;56;7; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;47;55;45;1;1;4711;02;76;764,936972854293
5368058;1;2;1;70;76;6;48;1; ;2;7;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;37;03;03;1;1;3700;02;76;764,936972854293
5368058;1;4;1;70;76;2;18;4; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;97;55;54;1;1;9700;02;76;764,936972854293
5368058;1;5;1;70;76;5;40;1; ;2;40;4; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;47;45;45;1;1;4791;02;76;764,936972854293
5368060;1;1;1;70;76;2;48;1; ;2;3;1; ;9;2;9;EL DINERO DE LA LIQUIDACION; ; ; ; ; ; ; ; ; ;1;1;976000;2200000;2; ;86;07;07;1;1;8621;02;76;1205,428008433
5368062;1;2;1;70;76;25;20;1; ;2;100;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;82;38;39;1;2;8230;02;76;1317,44881779959
5368065;1;1;1;70;76;48;48;4; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;54;54;1;2;9700;02;76;979,740859928119
5368068;1;2;1;70;76;3;40;4; ;2;3;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;95;79;79;1;1;9529;02;76;1160,55303059287
5368069;1;3;1;70;76;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;59; ;1;1;.;02;76;1368,60664338502
