DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2854383,1,4,2,1,1,1,1,1,3,3,,,,,320000,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,63,1,63,13.778.865.775.009
2854384,1,3,1,1,1,1,1,1,4,3,,,,,100000,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,3,1,1,1,12,63,1,63,172.391.589.972.282
2854385,1,4,1,1,1,1,1,1,3,3,,,,,560000,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,,2,2,,1,1,2,1,4,1,1,1,1,1,5,2,1,1,1,12,66,1,66,233.058.937.085.839
2854386,1,10,4,1,1,1,1,1,3,3,,,,,600000,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,6,2,2,,6,1,2,1,4,1,1,1,1,1,3,2,1,1,1,12,66,1,66,177.056.224.178.656
2854387,1,3,2,1,1,1,1,1,3,3,,,,,280000,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,1,2,1,1,1,12,66,1,66,196.554.495.303.787
2854388,1,5,1,1,1,1,1,1,3,1,,,110000000,600000,,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,1,12,66,1,66,288.867.186.343.367
2854389,1,5,1,1,1,1,1,1,4,1,,,120000000,350000,,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,2,2,1,1,1,12,66,1,66,222.257.008.993.558
2854390,1,5,4,1,1,1,1,1,3,4,,,,250000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,7,1,1,1,4,1,1,1,1,1,3,2,1,1,1,12,66,1,66,295.162.131.016.525
2854391,1,1,1,1,1,1,1,6,,1,,,60000000,400000,,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,,2,2,,1,1,2,1,4,1,1,1,1,1,2,2,1,1,1,12,66,1,66,222.257.008.993.558
2854393,1,3,2,1,1,1,1,1,3,1,,,150000000,500000,,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,2,2,1,1,1,12,66,1,66,196.487.103.019.095
2854394,1,5,2,1,1,1,1,1,3,1,,,70000000,150000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,12,66,1,66,192.327.955.569.574
2854395,1,3,2,1,1,1,1,1,3,3,,,,,240000,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,2,1,4,1,1,1,1,1,1,2,1,1,1,12,66,1,66,25.316.103.201.646
2854396,1,3,2,1,1,1,1,1,3,3,,,,,250000,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,2,1,4,1,1,1,1,1,2,2,1,1,1,12,66,1,66,197.202.201.231.535
2854397,1,3,2,1,1,1,1,1,4,3,,,,,250000,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,5,2,2,,5,1,1,1,2,1,2,1,1,1,1,2,1,1,1,12,66,1,66,187.704.628.283.892
2854398,1,5,1,1,1,1,1,1,3,3,,,,,600000,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,1,12,66,1,66,181.526.027.477.294
