Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2861992;1;2;1;70;23;103;48;1; ;2;103;1; ;9;2; ; ; ;1; ; ; ; ; ; ; ;2; ;2;21;30;66;1;2;6601;01;23;113,789962136199
2861994;1;1;1;70;23;48;40;2; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;20;02;64;1;2;6421;01;23;150,730819411898
2862000;1;5;1;70;17;28;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;2; ;01;17;117,778080724693
2862010;1;1;1;70;17;4;60;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;2500000;2;54;54;55;1;1;5519;01;17;116,15967463783
2862046;1;3;1;70;66;4;60;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;01;66;274,347771435813
2862048;1;3;1;70;66;3;48;1; ;2;3;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;535600;2;45;45;52;1;1;5233;01;66;267,435324858426
2862056;1;1;1;70;17;150;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;58;94;36;1;2;3699;01;17;146,509526409612
2862059;1;7;1;70;17;52;48;1; ;2;20;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8512;01;17;125,944731782374
2862060;1;3;1;70;17;2;48;2; ;2;2;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1300000;2;32;91;15;1;1;1591;01;17;117,359023727016
2862065;1;1;1;70;66;10;48;1; ;2;10;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;91;1;1;9192;01;66;257,454383733493
