DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2403172;1;4;3;1;1;1;1;1;3;1; ; ;30000000;300000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;1;2;1;01;1;06;05;1;05;1031,2016635598
2403173;1;4;3;1;1;1;1;1;1;1; ; ;550000000;280000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;830,268947202912
2403174;1;5;4;1;1;1;1;1;4;3; ; ; ; ;408000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1016,73252197337
2403175;1;5;3;1;1;1;1;1;3;1; ; ;90000000;450000; ;1;2;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1065,26159875519
2403176;1;4;2;1;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;3;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1085,52557051245
2403177;1;5;3;1;1;1;1;1;3;4; ; ; ;800000; ;1;1;1;1;2;1;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1043,24490621214
2403178;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1093,34614724167
2403179;1;4;3;1;1;1;1;1;4;3; ; ; ; ;340000;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;5;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;861,043482307361
2403183;1;5;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;2;2;1;1;2;2;2;1;2;1;2;2;1;1;2;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1106,7085613645
2403184;1;4;3;1;1;1;1;1;1;1; ; ;35000000;250000; ;1;2;1;2;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1003,83342893964
2403185;1;2;1;1;1;1;1;1;4;3; ; ; ; ;160000;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;2;2; ;1;1;1;1;2;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1112,03795475123
2403186;1;4;3;1;1;1;1;1;4;1; ; ;15000000;150000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2; ;6;1;1;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;957,641422394024
2403187;1;5;3;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;1;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1065,26159875519
2403188;1;4;3;1;1;1;1;1;3;1; ; ;100000000;300000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;7;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;951,295434353332
2403189;1;3;2;1;1;1;1;1;3;3; ; ; ; ;350000;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;6;2;2; ;7;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;658,272779777383
