DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5372934;1;2;1;10;2;2;9;1988;32;3;6; ;2;3; ;1;1;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2;1;12; ; ; ;2;1;2; ;5;11;2; ;2;11;02;68;644,512440169138
5372934;1;3;1;10;2;2;8;2008;12;4;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2;1;24; ; ; ;2;1;2; ;4;8; ; ;2;8;02;68;644,512440169138
5372934;1;4;1;10;2;2;3;2017;3;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;12; ; ; ;2;2;1;1;1;0; ; ;2;0;02;68;644,512440169138
5372935;1;1;1;10;1;2;9;1960;60;1;6; ;5;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;2;72682;2;1;2; ;3;3; ; ;2;3;02;68;995,584919631381
5372935;1;2;1;10;2;1;5;1985;35;3;6; ;6;3; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;2;11;02;68;995,584919631381
5372935;1;3;1;10;3;1;9;1991;29;3;6; ;6;3; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;2;1;48; ; ; ;2;1;2; ;5;11;2; ;2;11;02;68;995,584919631381
5372936;1;1;1;10;1;1;8;1951;69;1;6; ;4;3; ;3; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ;1;5; ;1;1;2; ;3;2; ; ;2;2;02;68;1228,66199291754
5372937;1;1;1;10;1;1;10;1993;27;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;68;1924,60903034959
5372937;1;2;1;10;2;2;6;1995;25;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;48000;2;1;2; ;6;3;3; ;2;14;02;68;1924,60903034959
5372937;2;1;2;10;1;1;8;1990;30;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;68;1924,60903034959
5372937;2;2;2;10;2;2;10;1996;24;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;68;1924,60903034959
5372937;2;3;2;10;2;2;9;2012;8;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;02;68;1924,60903034959
5372937;2;4;2;10;2;2;9;2020;0;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;02;68;1924,60903034959
5372938;1;1;1;10;1;1;9;1975;45;1;6; ;2;3; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;18;980,057392095764
5372938;1;2;1;10;2;2;9;1978;42;2;6; ;2;2; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;18;980,057392095764
5372938;1;3;1;10;3;1;9;2000;20;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;02;18;980,057392095764
5372938;1;4;1;10;4;2;5;2007;13;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;02;18;980,057392095764
5372939;1;1;1;10;1;1;5;1971;49;1;6; ;3;3; ;2; ;1;2; ; ; ;1; ; ;1; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;18;2957,20166268778
5372939;1;2;1;10;2;2;3;1987;33;2;6; ;3;3; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;1;02;18;2957,20166268778
5372939;1;3;1;10;3;2;7;2001;19;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;02;18;2957,20166268778
5372939;1;4;1;10;4;1;7;2005;15;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;02;18;2957,20166268778
5372939;1;5;1;10;5;1;10;2006;14;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;02;18;2957,20166268778
5372939;1;6;1;10;6;1;12;2009;11;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;02;18;2957,20166268778
5372939;1;7;1;10;7;2;3;2012;8;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;02;18;2957,20166268778
5372939;1;8;1;10;2;1;2;2015;6;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;02;18;2957,20166268778
5372940;1;1;1;10;1;2;6;1972;48;1;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;18;1170,95514233094
5372940;1;2;1;10;2;1;11;1996;24;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;40000;2;1;1;1;6;3;2;2;2;14;02;18;1170,95514233094
5372940;1;3;1;10;3;1;2;2004;16;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;02;18;1170,95514233094
5372941;1;1;1;10;1;1;12;1969;51;1;6; ;2;3; ;3; ;1;2; ; ; ;1; ; ;1; ; ; ; ; ;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;18;1589,25564301912
5372941;1;2;1;10;2;2;10;1971;49;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;18;1589,25564301912
5372941;1;3;1;10;3;2;4;2003;17;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;02;18;1589,25564301912
5372941;1;4;1;10;4;2;4;2012;8;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;2;2;02;18;1589,25564301912
5372942;1;1;1;10;1;1;5;1978;42;1;6; ;2;2; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;39200;2;1;2; ;4;9; ; ;2;9;02;18;739,300415671945
5372942;1;2;1;10;2;2;2;1977;44;2;6; ;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;02;18;739,300415671945
5372942;1;3;1;10;3;2;11;2001;19;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;18;739,300415671945
5372942;1;4;1;10;4;2;6;2005;15;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;02;18;739,300415671945
5372943;1;1;1;10;1;2;6;1965;55;1;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;02;18;1266,08093471964
5372944;1;1;1;10;1;1;11;1959;61;1;6; ;2;3; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;38400;2;1;2; ;3;4; ; ;2;4;02;18;772,784063338767
5372944;1;2;1;10;2;2;12;1964;56;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;4; ; ;2;4;02;18;772,784063338767
5372944;1;3;1;10;3;2;12;2006;14;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;02;18;772,784063338767
5372945;1;1;1;10;1;1;4;1970;50;1;6; ;2;3; ;2; ;1;2; ; ; ;1; ; ;1; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;02;18;739,300415671945
5372945;1;2;1;10;2;2;2;1974;47;2;6; ;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;18;739,300415671945
5372945;1;3;1;10;3;2;12;1999;21;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;6;3;2;2;2;14;02;18;739,300415671945
5372945;1;4;1;10;4;2;4;2006;14;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;02;18;739,300415671945
5372945;1;5;1;10;5;2;8;2007;13;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;02;18;739,300415671945
5372946;1;1;1;10;1;2;11;1988;32;1;6; ;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;18;868,048251215418
5372946;1;2;1;10;2;1;3;2005;15;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;02;18;868,048251215418
5372946;1;3;1;10;3;2;2;2007;13;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;02;18;868,048251215418
5372947;1;1;1;10;1;1;9;1947;73;1;6; ;3;3; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;18;1684,88920537764
5372947;1;2;1;10;2;2;2;1965;55;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;18;1684,88920537764
5372947;1;3;1;10;2;2;3;2015;5;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;02;18;1684,88920537764
5372948;1;1;1;10;1;1;7;1972;48;1;6; ;2;3; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;18;1394,97342409163
5372948;1;2;1;10;2;2;2;1979;42;2;6; ;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;6;1;3; ;2;12;02;18;1394,97342409163
5372948;1;3;1;10;3;1;3;1995;25;3;6; ;6;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;6;4;2;2;2;15;02;18;1394,97342409163
5372948;1;4;1;10;4;1;7;2001;19;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;02;18;1394,97342409163
5372948;1;5;1;10;5;1;7;2004;16;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;02;18;1394,97342409163
5372949;1;1;1;10;1;1;5;1980;40;1;6; ;2;3; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;02;18;1437,18546604725
5372949;1;2;1;10;2;2;11;1999;21;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;18;1437,18546604725
5373383;1;1;1;10;1;2;7;1985;35;1;5; ;4;2; ;2; ; ; ;1;1;1;1;1; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;1;1;6;5;3; ;2;16;02;44;1375,23124152189
5373383;1;2;1;10;2;1;11;2004;16;3;5; ;6;2; ;1;1; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;02;44;1375,23124152189
5373383;1;3;1;10;1;1;4;2007;13;3;5; ;6;2; ;1;1; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;44;1375,23124152189
5373383;1;4;1;10;1;1;10;2013;7;3;5; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;1; ; ;2;1;02;44;1375,23124152189
5373384;1;1;1;10;1;2;12;1986;34;1;6; ;4;2; ;2; ; ; ; ;1;1;1;1; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;02;44;1701,29099678382
5373384;1;2;1;10;1;1;5;2005;15;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;02;44;1701,29099678382
5373384;1;3;1;10;1;1;12;2007;13;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;02;44;1701,29099678382
5373384;1;4;1;10;1;2;3;2011;9;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;2;3;4; ; ;2;4;02;44;1701,29099678382
5373384;1;5;1;10;5;2;3;2002;18;3;1;720_01;4;2; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;02;44;1701,29099678382
5373384;1;6;1;10;5;1;9;2018;2;4;6; ; ;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;02;44;1701,29099678382
5373385;1;1;1;10;1;2;2;1961;60;1;6; ;3;2; ;2; ;1;2; ;1;1;1; ; ; ; ;1; ; ; ;1;1; ; ;1;5; ;2;1;2; ;3;4; ; ;2;4;02;44;1057,50062737868
5373385;1;2;1;10;2;1;10;1960;60;2;1;720_01;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;2;105400;2;1;2; ;3;4; ; ;2;4;02;44;1057,50062737868
5373385;1;3;1;10;3;2;2;1983;38;3;6; ;2;1;2;1;1;1;4; ;1;1;1;1; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;02;44;1057,50062737868
5373385;1;4;1;10;4;1;4;1982;38;5;5; ;2;2; ;2; ;1;3; ;1;1;1; ; ; ; ;1; ; ; ; ;2;1;12; ; ; ;1;1;2; ;3;4; ; ;2;4;02;44;1057,50062737868
5373385;1;5;1;10;3;1;11;2002;18;4;6; ;6;2; ;1;3; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;02;44;1057,50062737868
5373385;1;6;1;10;3;1;4;2005;15;4;6; ;6;2; ;1;3; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;02;44;1057,50062737868
5373385;1;7;1;10;7;2;5;2008;12;4;6; ;6;2; ;1;3; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;02;44;1057,50062737868
5373385;1;8;1;10;3;1;12;2013;7;4;6; ; ;1;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;02;44;1057,50062737868
5373385;1;9;1;10;3;1;3;2002;18;5;6; ;6;2; ;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;2;2; ; ; ; ;1;1;1;1;4;9; ; ;2;9;02;44;1057,50062737868
5373386;1;1;1;10;1;2;11;1946;74;1;5; ;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;44;1175,01665444818
5373386;1;2;1;10;2;1;12;2004;16;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;02;44;1175,01665444818
5373387;1;1;1;10;1;1;10;1949;71;1;6; ;4;3; ;3; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1;1; ; ;2;5; ;2;2;2; ;1;0; ; ;2;0;02;44;1033,29593701991
5373387;1;2;1;10;2;1;7;1990;30;3;6; ;4;1;1;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1;56000;2;1;2; ;6;5;4; ;2;16;02;44;1033,29593701991
5373388;1;1;1;10;1;2;2;1983;38;1;6; ;2;2; ;2; ;1;2; ;1; ;1; ; ; ; ;1; ; ; ;2;1; ; ;3; ; ;2;1;2; ;6;4;3; ;2;15;02;44;847,661775517279
5373388;1;2;1;10;1;1;4;1979;41;2;6; ;2;2; ;2; ;1;1; ; ; ;1; ; ;1; ; ; ; ; ; ;9; ; ; ; ; ;2;1;2; ;5;11;2; ;2;11;02;44;847,661775517279
5373388;1;3;1;10;3;2;2;2005;15;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;02;44;847,661775517279
5373388;1;4;1;10;1;1;2;2007;14;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;02;44;847,661775517279
5373389;1;1;1;10;1;1;8;1959;61;1;5; ;4;2; ;3; ; ; ; ;1;1;1; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;02;44;1040,97784548233
5373390;1;1;1;10;1;2;3;1968;52;1;6; ;4;3; ;3; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;02;44;847,661775517279
5373390;1;2;1;10;2;1;12;2001;19;3;6; ;6;2; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;02;44;847,661775517279
5373390;1;3;1;10;1;2;10;2009;11;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;02;44;847,661775517279
5373390;1;4;1;10;4;1;10;1990;30;3;6; ;4;2; ;1;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1;35000;2;1;2; ;5;11;2; ;2;11;02;44;847,661775517279
