Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
392396;1;1;70;4;24;8; ;1;1;2;4;8; ;5;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;1152000;2;62;62;0140;01;23;1873,07653274681
392396;1;5;70;4;24;8; ;1;1;2;4;8; ;2;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1152000;2;62;62;0140;01;23;1873,07653274681
392397;1;4;70;4;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;23;1518,93629067453
392398;1;1;70;4;24;8; ;1;1;2;4;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1152000;2;62;62;0140;01;23;1496,36233306809
392398;1;3;70;4;40;8; ;1;1;2;4;8; ;4;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;864000;2;62;62;0140;01;23;1496,36233306809
392398;1;4;70;4;40;8; ;1;1;2;4;8; ;4;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;740000;2;62;62;0140;01;23;1496,36233306809
392403;1;1;70;4;30;8; ;1;1;2;4;8; ;4;2;7; ;6; ;2;11;NO SABE QUE ES UN FONDO DE PENSIONES; ; ; ; ; ; ;1; ; ; ;2; ;1;800000;2;62;62;0140;01;23;2032,86055982785
392404;1;5;70;12;56;1; ;1;1;2;12;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;97;62;0140;01;23;3269,03438137286
392405;1;1;70;5;48;1; ;1;1;2;5;8; ;3;2;7; ;6; ;2;11;NO SABE QUE ES UN FONDO DE PENSIONES; ; ; ; ; ; ; ; ;1; ;2; ;1;1848000;2;58;62;0140;01;23;2452,33338114118
392407;1;1;70;6;40;1; ;2;2;2;6;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1968000;2;45;45;2212;22;23;1422,542492873
392409;1;4;70;8;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;23;2455,46949034705
