DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6037239;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1113.822416
6037241;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1063.332643
6037241;1;5;1;80;05;1;48;908526;1;1;;2;;;1;;2;2;;2;;1;12;2;05;1063.332643
6037241;1;6;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1063.332643
6037242;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1410.9181416
6037243;1;2;1;80;05;;;;1;7;;2;;;9;;2;2;;2;;1;12;2;05;1211.9829563
6037243;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1211.9829563
6037244;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1750.4222404
6037244;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1750.4222404
6037245;1;2;1;80;05;1;24;450000;2;;;;2;;;.;2;2;;2;;1;12;;05;1136.5227312
6037247;1;1;1;80;05;;;;1;4;;2;;;10;;3;3;;2;;1;12;3;05;1314.9715231
6037247;1;2;1;80;05;1;24;908526;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1314.9715231
6037248;1;5;1;80;05;;;;1;1;;2;;;2;;2;2;;2;;1;12;2;05;1652.4051566
6037251;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1113.822416
6037253;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;2017.2603313
6037253;1;6;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;2017.2603313
6037256;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1238.1586259
6037256;1;4;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1238.1586259
6037257;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1225.7209745
6037258;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1432.1223282
6037258;2;1;2;80;05;2;;908526;1;3;;2;;;9;;2;2;;1;250000;1;12;2;05;1432.1223282
6037259;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1155.4021972
6037263;1;1;1;80;05;1;48;2000000;1;8;;2;;;12;PANDEMIA;3;3;;2;;1;12;3;05;1399.2280787
6037263;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1399.2280787
6037264;1;2;1;80;05;;;;1;3;;2;;;4;;2;2;;2;;1;12;4;05;1142.6137173
6037266;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1352.7304552
6037269;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1293.6238801
6037270;1;2;1;80;05;;;;1;1;;2;;;6;;2;2;;2;;1;12;1.4;05;1253.5627375
6037272;1;1;1;80;05;;;;1;3;;1;;3;8;;2;2;;2;;1;12;4;05;1269.7689328
6037273;1;1;1;80;05;;;;1;9;POR LA EDAD;2;;;8;;2;2;;2;;1;12;4;05;1261.0063958
6037274;1;1;1;80;05;;;;2;;;;1;4;1;;2;2;;2;;1;12;;05;1296.0920571
6037280;1;4;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1598.185774
6037282;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1135.170059
6037282;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1135.170059
6037287;1;2;1;80;05;;;;1;5;;2;;;8;;3;3;;2;;1;12;2;05;1157.8703742
6037288;1;1;1;80;05;;;;1;9;DETENCION DOMICILIARIA;2;;;1;;2;2;;2;;1;12;3;05;1571.8626497
6037289;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1274.7444141
6037291;1;1;1;80;05;;;;1;3;;2;;;1;;2;2;;2;;1;12;4;05;1372.9049543
6037292;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1331.3251731
6037293;1;2;1;80;05;;;;1;9;PANDEMIA;2;;;9;;2;2;;2;;1;12;3;05;1571.8626497
6037297;1;1;1;80;05;;;;1;5;;2;;;8;;3;3;;2;;1;12;4;05;1372.9049543
6037302;1;3;1;80;05;;;;1;7;;2;;;10;;3;3;;2;;1;12;4;05;1316.0685162
6037304;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1372.9049543
6037305;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1091.9764897
6037305;1;2;1;80;05;;;;1;4;;2;;;10;;3;3;;2;;1;12;4;05;1091.9764897
6037305;1;3;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1091.9764897
6037305;1;5;1;80;05;;;;1;3;;2;;;8;;1;1;2;2;;1;12;4;05;1091.9764897
6037306;1;1;1;80;05;;;;1;5;;2;;;10;;2;2;;2;;1;12;4;05;1399.2280787
6037306;1;2;1;80;05;;;;1;4;;2;;;9;;2;2;;2;;1;12;4;05;1399.2280787
6037310;1;2;1;80;05;;;;1;3;;2;;;4;;2;2;;2;;1;12;4;05;1135.170059
6037310;1;4;1;80;05;;;;1;8;;2;;;12;POR ENTRENAMIENTOS DE FUTBOL;2;2;;2;;1;12;2;05;1135.170059
6037315;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;2;05;1529.1284293
6037315;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1529.1284293
6037315;1;5;1;80;05;;;;1;2;;2;;;2;;2;2;;2;;1;12;2;05;1529.1284293
6037316;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1088.706229
6037316;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1088.706229
6037316;1;6;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1088.706229
6037317;1;2;1;80;05;;;;1;6;;2;;;5;;2;2;;2;;1;12;1.4;05;1057.2416569
6037317;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1057.2416569
6037321;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1109.9439278
6037323;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1530.5722527
6037323;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1530.5722527
6037325;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1432.1223282
6037326;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1497.7005132
6037329;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1289.7453919
6037330;1;1;1;80;05;;;;1;6;;2;;;7;;2;2;;2;;1;12;1.2;05;1365.4612961
6037333;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1268.7619483
6037333;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1268.7619483
6037334;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1094.94295
6037334;1;2;1;80;05;;;;1;1;;2;;;1;;2;2;;2;;1;12;1.4;05;1094.94295
6037334;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1094.94295
6037336;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;3;05;1451.0017942
6037336;1;2;1;80;05;;;;1;4;;2;;;4;;1;2;;2;;1;12;3;05;1451.0017942
6037336;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1451.0017942
6037336;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1451.0017942
6037337;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1500.4805845
6037338;1;1;1;80;05;;;;1;8;;2;;;9;;2;2;;2;;1;12;2;05;1448.8401777
6037339;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;3;05;1155.4021972
6037339;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1155.4021972
6037340;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1001.9238574
6037341;1;1;1;80;05;;;;1;2;;2;;;9;;2;2;;2;;1;12;4;05;1372.9049543
6037342;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;3;05;1372.9049543
6037344;1;1;1;80;05;;;;1;5;;2;;;8;;3;3;;2;;1;12;4;05;1219.4266146
6037344;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1219.4266146
6037346;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1317.8990491
6037348;1;2;1;80;05;;;;1;6;;2;;;1;;2;2;;2;;1;12;1.3;05;1253.5627375
6037349;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1429.7976077
6037350;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1053.3631687
6037351;1;4;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;3;05;1740.5964155
6037351;1;7;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1740.5964155
6037351;1;8;1;80;05;;;;1;3;;2;;;8;;2;2;;2;;1;12;4;05;1740.5964155
6037354;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1170.403175
6037354;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1170.403175
6037354;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1170.403175
6037355;1;2;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;12;4;05;868.53020111
6037355;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;868.53020111
6037355;1;6;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;868.53020111
6037356;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1157.8703742
6037357;1;1;1;80;05;;;;1;8;;2;;;1;;2;2;;2;;1;12;3;05;1254.5122759
6037358;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1572.152034
6037358;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1572.152034
6037361;1;1;1;80;05;1;48;908526;1;7;;1;;4;9;;2;2;;2;;1;12;4;05;1858.552255
6037361;1;7;1;80;05;;;;1;1;;2;;;11;;2;2;;2;;1;12;4;05;1858.552255
6037362;1;4;1;80;05;;;;1;1;;1;;4;9;;2;2;;2;;1;12;4;05;1459.9640912
6037363;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1265.9480836
6037364;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1282.4999666
6037364;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1282.4999666
6037364;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1282.4999666
6037366;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1306.2089861
6037366;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1306.2089861
6037367;1;1;1;80;05;;;;1;3;;2;;;4;;2;2;;2;;1;12;4;05;1391.7844204
6037369;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1269.7689328
6037372;1;1;1;80;05;;;;1;5;;2;;;8;;3;3;;2;;1;12;4;05;1372.9049543
6037373;1;2;1;80;05;;;;1;6;;2;;;9;;2;2;;2;;1;12;4;05;1170.403175
6037373;1;4;1;80;05;1;48;908526;1;8;;2;;;2;;2;2;;2;;1;12;1.4;05;1170.403175
6037374;1;2;1;80;05;;;;1;7;;2;;;9;;1;2;;2;;1;12;4;05;1197.9315168
6037375;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1193.1034902
6037376;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1410.6638864
6037383;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1155.4021972
6037384;1;1;1;80;05;;;;1;3;;2;;;11;;2;2;;2;;1;12;4;05;1140.1455403
6037384;1;2;1;80;05;1;48;908526;1;8;;2;;;12;PANDEMIA;2;2;;2;;1;12;1.2;05;1140.1455403
6037384;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1140.1455403
6037385;1;1;1;80;05;;;;1;8;;2;;;12;PANDEMIQ;2;2;;2;;1;12;3;05;1094.94295
6037385;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1094.94295
6037386;1;1;1;80;05;;;;1;8;;2;;;12;PANDEMIA;2;2;;2;;1;12;1.4;05;1320.2588986
6037389;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1890.4519462
6037390;1;2;1;80;05;1;48;1800000;1;3;;2;;;9;;1;2;;2;;1;12;4;05;1254.5122759
6037390;1;3;1;80;05;2;;99;1;2;;1;;1;2;;2;2;;2;;1;12;3;05;1254.5122759
6037391;1;1;1;80;05;;;;1;8;;2;;;12;AUTOCONSTRUCCION;2;2;;1;140000;1;12;1.1;05;1269.7689328
6037393;1;2;1;80;05;2;;908526;1;6;;2;;;4;;2;2;;2;;1;12;3;05;1792.0020216
6037394;1;1;1;80;05;;;;1;7;;2;;;1;;2;2;;2;;1;12;2;05;1269.7689328
6037395;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037395;1;2;1;80;05;;;;1;6;;2;;;8;;2;2;;2;;1;12;2;05;1296.0920571
6037397;1;1;1;80;05;;;;1;3;;2;;;4;;2;2;;2;;1;12;4;05;1391.7844204
6037400;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037402;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1372.9049543
6037403;1;1;1;80;05;;;;1;7;;2;;;8;;2;2;;2;;1;12;4;05;1314.9715231
6037403;1;2;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1314.9715231
6037408;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1444.7074342
6037408;3;2;3;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1444.7074342
6037409;1;1;1;80;05;;;;1;3;;2;;;11;;2;2;;2;;1;12;4;05;1269.7689328
6037410;1;1;1;80;05;;;;1;9;PANDEMIA;2;;;4;;3;3;;2;;1;12;2;05;1314.9715231
6037410;1;2;1;80;05;;;;1;9;PANDEMIA;2;;;9;;2;2;;2;;1;12;2;05;1314.9715231
6037411;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1418.3843099
6037415;1;1;1;80;05;1;48;908526;1;8;;1;;3;4;;2;2;;2;;1;12;4;05;1279.8858618
6037415;1;3;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1279.8858618
6037417;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037417;1;2;1;80;05;;;;1;5;;2;;;9;;3;3;;2;;1;12;4;05;1296.0920571
6037423;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1587.9590936
6037423;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1587.9590936
6037423;1;5;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1587.9590936
6037423;1;6;1;80;05;;;;2;;;;1;1;1;;;;;2;;1;12;;05;1587.9590936
6037424;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1018.1300527
6037425;1;2;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1331.3251731
6037426;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1485.1154071
6037428;1;2;1;80;05;1;48;908526;1;9;RECORTE PANDEMIA;1;;1;9;;2;2;;2;;1;12;2;05;2007.4919525
6037429;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;996.78240965
6037432;1;2;1;80;05;;;;1;9;CAMBIO DE SITIO DE RESIDENCIA;2;;;8;;2;2;;2;;1;12;1.3;05;1253.5627375
6037434;1;2;1;80;05;2;;908526;1;9;LO DESPUDERON POR EDAD Y NO PODIAN AFILIAR;2;;;2;;2;2;;2;;1;12;1.3;05;996.78240965
6037434;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;996.78240965
6037434;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;996.78240965
6037439;1;2;1;80;05;;;;1;6;;2;;;11;;2;2;;2;;1;12;4;05;1197.9315168
6037439;1;3;1;80;05;1;48;1000000;2;;;;2;;;.;2;2;;2;;1;12;;05;1197.9315168
6037442;1;2;1;80;05;2;;908526;1;2;;2;;;2;;2;2;;2;;1;12;2;05;1151.523709
6037445;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1151.523709
6037448;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;1;1400000;1;12;1.1;05;1261.31829
6037449;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1039.6251505
6037450;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1748.0975199
6037450;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1748.0975199
6037451;1;3;1;80;05;;;;1;1;;2;;;9;;2;2;;2;;1;12;1.4;05;1380.6605069
6037452;1;1;1;80;05;;;;1;6;;2;;;4;;2;2;;2;;1;12;4;05;1459.9640912
6037453;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1296.0920571
6037454;1;1;1;80;05;;;;1;4;;2;;;12;SE SEPARO DE LA MUJER Y SE DEDICO AL ALCOHOLISMO;2;2;;2;;1;12;4;05;1269.7689328
6037455;1;1;1;80;05;;;;1;6;;2;;;9;;2;2;;1;500000;1;12;1.1;05;983.0443914
6037455;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;983.0443914
6037455;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;983.0443914
6037456;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1155.4021972
6037459;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1296.0920571
6037459;1;2;1;80;05;;;;1;5;;2;;;11;;3;3;;2;;1;12;4;05;1296.0920571
6037463;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1485.1154071
6037464;1;1;1;80;05;;;;1;8;;2;;;8;;2;2;;2;;1;12;3;05;1121.2660743
6037464;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1121.2660743
6037466;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1350.2046391
6037466;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1350.2046391
6037468;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1372.9049543
6037469;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1219.2791599
6037469;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1219.2791599
6037469;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1219.2791599
6037470;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1059.7098339
6037471;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;3;05;1372.9049543
6037472;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1611.0827743
6037473;1;1;1;80;05;;;;1;1;;2;;;8;;2;2;;2;;1;12;4;05;1322.7270757
6037473;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1322.7270757
6037475;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1331.3251731
6037475;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1331.3251731
6037476;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1216.8109828
6037476;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1216.8109828
6037477;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1322.4151814
6037477;1;2;1;80;05;;;;1;3;;2;;;9;;1;2;;2;;1;12;4;05;1322.4151814
6037479;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;12;4;05;1418.1075447
6037479;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1418.1075447
6037480;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1372.9049543
6037481;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1333.8509891
6037482;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1142.4662626
6037482;1;2;1;80;05;;;;1;1;;2;;;1;;2;2;;2;;1;12;4;05;1142.4662626
6037482;1;4;1;80;05;;;;1;7;;2;;;9;;2;2;;2;;1;12;3;05;1142.4662626
6037483;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1254.5122759
6037483;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1254.5122759
6037483;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1254.5122759
6037486;1;1;1;80;05;1;24;908526;1;9;POR CAMBIO DE PAIS;2;;;12;POR FALTA DE DOCUMENTACION;2;2;;2;;1;12;3;05;1549.1623345
6037486;1;2;1;80;05;1;48;908526;1;8;;2;;;1;;2;2;;2;;1;12;1.3;05;1549.1623345
6037489;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1314.9715231
6037489;1;3;1;80;05;2;;1100000;1;4;;2;;;4;;2;2;;2;;1;12;1.4;05;1314.9715231
6037491;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1155.4021972
6037497;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1372.9049543
6037502;1;2;1;80;05;;;;1;3;;2;;;11;;2;2;;2;;1;12;4;05;1184.1934986
6037504;1;1;1;80;05;;;;1;7;;2;;;9;;2;2;;2;;1;12;4;05;1116.1431383
6037507;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;12;4;05;1314.9715231
6037507;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1314.9715231
6037507;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1314.9715231
6037509;1;1;1;80;05;;;;1;5;;1;;4;8;;3;3;;2;;1;12;4;05;1030.7151588
6037509;1;2;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;12;4;05;1030.7151588
6037509;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1030.7151588
6037509;1;5;1;80;05;;;;1;2;;2;;;2;;2;2;;2;;1;12;3;05;1030.7151588
6037513;1;2;1;80;05;;;;1;1;;2;;;9;;2;2;;2;;1;12;4;05;1296.0920571
6037517;1;2;1;80;05;;;;1;3;;2;;;9;;1;2;;2;;1;12;4;05;1116.290593
6037517;1;3;1;80;05;;;908526;2;;;;2;;;.;2;2;;2;;1;12;;05;1116.290593
6037520;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1314.9715231
6037522;1;2;1;80;05;;;;1;6;;2;;;11;;1;1;4;2;;1;12;4;05;1296.0920571
6037524;1;2;1;80;05;1;48;908526;1;4;;2;;;4;;1;2;;2;;1;12;1.3;05;1571.8626497
6037525;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;12;;05;1549.1623345
6037527;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1211.9829563
6037528;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1193.1034902
6037529;1;1;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1162.8458555
6037529;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;12;;05;1162.8458555
6037531;1;3;1;80;05;;;;1;9;NO QUISO VOLVER A TRABAJAR;2;;;11;;2;2;;2;;1;12;4;05;1211.9829563
6037535;1;3;1;80;05;;;;2;;;;1;2;9;;2;2;;2;;1;12;;05;1415.7461682
6037536;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;12;4;05;1830.9647473
6037536;1;3;1;80;05;;;;2;;;;1;3;11;;2;2;;2;;1;12;;05;1830.9647473
