DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P6080;P6080S1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S10A1;P3147S11;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
6037219;1;1;1;10;1;2;12;1949;71;1;3;;3;;6;;5;;;;;;;;;;;;;;1;2;1;;;1;5;;2;1;2;;3;5;;;05;5;12;05;1261.0063958
6037219;1;2;1;10;2;2;3;1989;32;3;1;1;3;;6;;4;;;;;;;;;;;;;;1;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1261.0063958
6037220;1;1;1;10;1;1;6;1997;24;1;2;;3;;6;;2;1;2;;;;;;;;;;;;1;1;2;1;48;;;;1;1;2;;3;2;;;05;2;12;05;1642.4708113
6037220;1;2;1;10;2;2;3;2000;21;2;2;;3;;6;;2;1;1;;;;;;;;;;;;1;;2;1;48;;;;2;1;2;;4;8;;;05;8;12;05;1642.4708113
6037220;1;3;1;10;2;1;7;2014;7;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;2;1;48;;;;2;2;2;;2;1;;;05;0;12;05;1642.4708113
6037220;1;4;1;10;2;1;7;2016;5;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;2;1;48;;;;2;2;2;;2;1;;;05;0;12;05;1642.4708113
6037221;1;1;1;10;1;2;10;1948;73;1;3;;3;;6;;5;;;;;;;;;;;;;;1;2;1;;;1;2;72000;2;2;2;;1;0;;;05;0;12;05;1372.9049543
6037222;1;1;1;10;1;2;5;1992;29;1;2;;2;;6;;6;;;;;;1;;;;;;;;;2;1;;;3;;;2;1;2;;3;5;;;05;5;12;05;1136.5227312
6037222;1;2;1;10;2;2;11;2001;20;5;2;;2;;6;;6;;;;;;1;;;;;;;;;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1136.5227312
6037223;1;1;1;10;1;2;2;1971;50;1;3;;3;;6;;6;;;;1;;1;;;;;;;;;2;1;;;3;;;2;1;2;;3;5;;;05;5;12;05;1253.5627375
6037223;1;2;1;10;2;1;8;1988;33;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;3;5;;;05;5;12;05;1253.5627375
6037224;1;1;1;10;1;1;7;1946;75;1;3;;3;;6;;3;1;2;;;;;;;;;;;;1;2;1;;;1;2;72681;2;1;2;;3;5;;;05;5;12;05;1296.0920571
6037224;1;2;1;10;2;2;11;1949;72;2;3;;3;;6;;3;1;1;1;;;;;;;;;;;;;1;;;1;2;72681;2;1;2;;3;5;;;05;5;12;05;1296.0920571
6037225;1;1;1;10;1;1;6;1988;33;1;2;;3;;6;;6;;;;;;1;;;;;;;;;2;1;;;3;;;2;1;2;;6;2;3;;05;13;12;05;1365.4612961
6037226;1;1;1;10;1;2;12;1944;76;1;3;;3;;6;;3;1;2;;;;;;;;;1;;;;2;1;;;1;5;;2;1;2;;3;5;;;05;5;12;05;932.55461846
6037226;1;2;1;10;2;1;1;1955;66;2;3;;3;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;2;72900;2;1;2;;4;9;;;05;9;12;05;932.55461846
6037226;1;3;1;10;3;2;10;1978;43;3;1;1;1;2;6;;6;;;;;;;1;;1;;;;;;;1;;;1;5;;2;1;2;;6;2;3;;05;13;12;05;932.55461846
6037226;1;4;1;10;4;2;9;1997;24;4;1;3;3;;6;;6;;;;;;;;;;;;;;1;;1;;;1;1;48000;1;1;2;;6;2;3;;05;13;12;05;932.55461846
6037226;1;5;1;10;5;2;11;1987;34;3;1;1;1;2;6;;6;;;;;;;;;;;;;;1;;1;;;1;1;80000;2;1;2;;6;3;3;;05;14;12;05;932.55461846
6037226;1;6;1;10;6;1;2;2003;18;4;1;5;2;;6;;6;;;;;;;;;;1;1;;;;;1;;;1;5;;2;1;1;1;6;0;2;2;05;11;12;05;932.55461846
6037227;1;1;1;10;1;2;3;1987;34;1;2;;2;;6;;2;1;2;;;;1;;;1;;;;;;1;1;;;1;5;;2;1;1;2;6;0;2;1;05;11;12;05;1530.2828685
6037227;1;2;1;10;1;1;3;1980;41;2;2;;3;;6;;2;1;1;;;;;;;;;;;;1;;1;;;1;1;36341;2;1;1;2;6;2;2;2;05;13;12;05;1530.2828685
6037227;1;3;1;10;1;1;1;2002;19;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1530.2828685
6037227;1;4;1;10;4;2;12;2015;5;3;1;1;1;2;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;2;1;1;2;0;;;05;0;12;05;1530.2828685
6037229;1;1;1;10;1;2;12;1986;34;1;1;4;1;5;6;;6;;;1;;;;;;;;;;;;2;1;;;3;;;2;1;2;;6;2;3;;05;13;12;05;1460.9136295
6037229;1;2;1;10;2;1;6;2003;18;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1460.9136295
6037229;1;3;1;10;1;2;10;2012;9;3;1;1;2;;6;;;;;;;;;;;;;;;;;;1;;;3;;;2;1;1;1;3;2;;;05;2;12;05;1460.9136295
6037229;1;4;1;10;4;2;7;1963;58;5;3;;3;;6;;3;1;5;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;3;5;;;05;5;12;05;1460.9136295
6037229;1;5;1;10;5;1;3;1955;66;5;3;;3;;6;;3;1;4;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;3;5;;;05;5;12;05;1460.9136295
6037231;1;1;1;10;1;1;10;1989;32;1;2;;2;;6;;2;2;;;;1;1;;;;;1;;;;2;1;;;1;1;36341;2;1;2;;3;5;;;05;5;12;05;1585.600668
6037231;1;2;1;10;2;2;10;2012;9;3;2;;1;1;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;1;3;2;;;05;2;12;05;1585.600668
6037231;1;3;1;10;3;2;1;1998;23;5;2;;2;;6;;6;;;;;;;1;;1;;1;;;;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1585.600668
6037232;1;1;1;10;1;1;5;1983;38;1;2;;3;;6;;3;1;2;;;;;;;;;;;;1;2;1;;;1;1;40000;2;1;2;;6;2;3;;05;13;12;05;1571.8626497
6037232;1;2;1;10;2;2;7;1987;34;2;2;;2;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;1;128000;2;1;2;;6;5;4;;05;16;12;05;1571.8626497
6037232;1;3;1;10;3;2;8;2015;6;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;2;2;0;;;05;0;12;05;1571.8626497
6037233;1;1;1;10;1;2;2;1975;46;1;2;;2;;6;;4;;;;1;1;;;;;;;;;;1;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1136.5227312
6037233;1;2;1;10;2;2;3;2009;12;3;1;1;2;;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;4;7;;;05;7;12;05;1136.5227312
6037235;1;1;1;10;1;1;5;1971;50;1;2;;2;;6;;3;1;2;;;;1;;;;;;;;;2;1;;;1;5;;2;1;2;;4;7;;;05;7;12;05;1155.4021972
6037235;1;2;1;10;2;2;9;1971;50;2;2;;3;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;3;113500;2;1;2;;5;11;2;;05;11;12;05;1155.4021972
6037235;1;3;1;10;3;2;8;2002;19;3;1;2;1;1;6;;6;;;;;;;;;;1;;;;;;1;;;1;5;;2;1;1;1;6;1;2;2;05;12;12;05;1155.4021972
6037236;1;1;1;10;1;2;7;1984;37;1;2;;2;;6;;3;1;2;1;;;;;;;;1;;;;2;1;;;1;3;113600;2;1;2;;6;5;4;;05;16;12;05;1789.6773011
6037236;1;2;1;10;2;1;5;1981;40;2;2;;2;;6;;3;1;1;;;;1;;;;;1;;;;;1;;;1;3;113600;2;1;2;;6;7;4;;05;18;12;05;1789.6773011
6037236;1;3;1;10;1;2;2;2013;8;3;1;1;1;2;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;2;3;3;;;05;3;12;05;1789.6773011
6037236;1;4;1;10;1;1;4;2015;6;3;1;1;1;2;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;2;3;1;;;05;1;12;05;1789.6773011
6037237;1;1;1;10;1;1;12;1969;51;1;2;;2;;6;;2;1;2;;;;;;;;;1;;;;1;1;;;1;1;36341;2;1;2;;4;9;;;05;9;12;05;1211.9829563
6037237;1;2;1;10;2;2;2;1970;51;2;3;;3;;6;;2;1;1;;;1;1;1;;1;;1;;;;;1;;;1;5;;2;1;2;;4;9;;;05;9;12;05;1211.9829563
6037237;1;3;1;10;3;1;10;2002;19;3;1;2;1;1;6;;6;;;;;;;1;;;;1;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037238;1;1;1;10;1;2;11;1977;44;1;2;;2;;6;;4;;;;;1;1;;;;;1;;;;2;1;;;1;5;;2;1;2;;5;10;1;;05;10;12;05;1151.523709
6037238;1;2;1;10;2;1;2;1998;23;3;1;1;2;;6;;6;;;;;1;;;;1;;1;;;;;2;1;12;;;;2;1;2;;5;11;2;;05;11;12;05;1151.523709
6037238;1;3;1;10;3;1;6;2000;21;3;1;1;2;;6;;6;;;;;;1;;;;;;;;;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1151.523709
6037239;1;1;1;10;1;2;7;1981;40;1;2;;3;;6;;3;1;2;;;;;;;;;;;;1;2;1;;;3;;;2;1;1;2;6;1;2;2;05;12;12;05;1113.822416
6037239;1;2;1;10;2;1;9;1979;42;2;2;;3;;6;;3;1;1;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1113.822416
6037239;1;3;1;10;3;1;2;2000;21;3;1;1;1;2;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;1;1;1;6;3;2;2;05;14;12;05;1113.822416
6037239;1;4;1;10;4;2;4;2008;13;3;1;1;1;2;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;1;1;1;4;7;;;05;7;12;05;1113.822416
6037240;1;1;1;10;1;1;1;1954;67;1;3;;3;;6;;2;1;2;;;;1;;1;1;;;1;EL AISLAMIENTO SOCIAL;;1;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1296.0920571
6037240;1;2;1;10;2;2;10;1956;65;2;3;;3;;6;;2;1;1;;;;1;;1;;;1;1;EL AISLAMIENTO SOCIAL;;;1;;;1;1;36341;2;1;2;;3;5;;;05;5;12;05;1296.0920571
6037241;1;1;1;10;1;2;8;1942;79;1;3;;3;;6;;5;;;;;;;;;;;;;;1;2;1;;;1;2;72682;2;1;2;;3;5;;;05;5;12;05;1063.332643
6037241;1;2;1;10;2;1;4;1965;56;3;1;1;3;;6;;4;;;1;;;;;;1;;;;;;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1063.332643
6037241;1;3;1;10;3;1;10;1967;54;3;1;1;3;;6;;4;;;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1063.332643
6037241;1;4;1;10;4;2;1;1970;51;3;1;1;3;;6;;4;;;;;;;;;;;;;;1;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1063.332643
6037241;1;5;1;10;5;2;1;2000;21;4;1;4;2;;6;;6;;;;;;;;;;;;;;1;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1063.332643
6037241;1;6;1;10;6;1;10;2004;17;4;1;4;2;;6;;6;;;;;;;;;;;;;;1;;1;;;1;5;;2;1;2;;4;8;;;05;8;12;05;1063.332643
6037242;1;1;1;10;1;2;10;1973;48;1;2;;3;;6;;2;2;;;1;1;1;;;;;;;;;1;1;;;3;;;2;1;2;;6;2;3;;05;13;12;05;1410.9181416
6037242;1;2;1;10;1;1;2;2008;13;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;2;2;;1;0;;;05;0;12;05;1410.9181416
6037242;1;3;1;10;3;1;7;2010;11;3;1;1;2;;6;;6;;;;;;;;;;1;1;;;;;1;;;3;;;2;1;1;1;3;3;;;05;3;12;05;1410.9181416
6037243;1;1;1;10;1;1;1;1983;38;1;2;;3;;6;;2;1;2;;;;;;;;;;;;1;2;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037243;1;2;1;10;2;2;11;1982;39;2;2;;2;;6;;2;1;1;;;;;;;;;;;;1;;1;;;3;;;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037243;1;3;1;10;3;1;6;2007;14;3;1;2;1;1;6;;6;;;;;;;;;;;;;;1;;1;;;3;;;2;1;1;2;4;8;;;05;8;12;05;1211.9829563
6037244;1;1;1;10;1;1;1;1987;34;1;2;;2;;6;;2;1;2;1;;;1;;;;;;;;;2;2;2;;;;;2;1;2;;4;9;;;05;9;12;05;1750.4222404
6037244;1;2;1;10;2;2;3;1988;33;2;2;;2;;6;;2;1;1;1;;;;;;;;;;;;;2;2;;;;;2;1;2;;5;11;2;;05;11;12;05;1750.4222404
6037244;1;3;1;10;3;2;5;2007;14;3;1;2;1;1;6;;6;;;;;;;;;;;;;;1;;2;2;;;;;2;1;1;1;4;0;;;05;5;12;05;1750.4222404
6037244;1;4;1;10;4;1;4;2009;12;3;1;2;1;1;6;;6;;;;;;;;;;;;;;1;;2;2;;;;;2;1;1;1;4;0;;;05;5;12;05;1750.4222404
6037244;1;5;1;10;5;2;3;2011;10;3;1;2;1;1;6;;6;;;;;;;;;;;;;;1;;2;2;;;;;2;1;1;1;3;4;;;05;4;12;05;1750.4222404
6037244;1;6;1;10;6;2;10;2014;7;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;2;2;;;;;2;1;1;1;3;0;;;05;0;12;05;1750.4222404
6037245;1;1;1;10;1;2;12;1968;52;1;3;;3;;6;;6;;;1;;;;;;;;1;;;;2;1;;;1;1;40000;2;1;2;;6;3;3;;05;14;12;05;1136.5227312
6037245;1;2;1;10;1;2;11;2005;16;3;1;1;2;;6;;6;;;;;;;;;;1;1;;;;;1;;;1;5;;2;1;1;1;5;10;1;;05;10;12;05;1136.5227312
6037246;1;1;1;10;1;1;1;1987;34;1;3;;2;;6;;3;1;2;;;;1;;;;;;;;;2;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1571.8626497
6037246;1;2;1;10;2;2;10;1989;32;2;2;;2;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;1;80000;2;1;2;;6;2;3;;05;13;12;05;1571.8626497
6037246;1;3;1;10;3;2;2;2016;5;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;2;1;1;2;0;;;05;0;12;05;1571.8626497
6037247;1;1;1;10;1;1;4;1961;60;1;3;;3;;6;;3;1;2;1;;;;;;;;1;;;;2;1;;;1;2;72682;2;1;2;;5;11;2;;05;11;12;05;1314.9715231
6037247;1;2;1;10;2;2;4;1961;60;2;3;;2;;6;;3;1;1;1;;;;;;;;1;;;;;1;;;1;5;;2;1;2;;6;3;3;;05;14;12;05;1314.9715231
6037247;1;3;1;10;3;1;5;1994;27;3;1;2;1;1;6;;6;;;1;;;;;;;;1;;;;;1;;;1;1;36341;2;1;2;;6;3;3;;05;14;12;05;1314.9715231
6037248;1;1;1;10;1;1;6;1946;75;1;3;;3;;6;;4;;;1;;1;1;;;;;1;;;;1;1;;;3;;;1;1;2;;3;1;;;05;1;12;05;1652.4051566
6037248;1;2;1;10;2;2;4;1993;28;3;2;;2;;6;;6;;;1;;;1;1;;1;;1;;;;;1;;;1;5;;1;1;2;;5;11;2;;05;11;12;05;1652.4051566
6037248;1;3;1;10;2;2;3;2016;5;9;1;2;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;2;1;1;3;0;;;05;0;12;05;1652.4051566
6037248;1;4;1;10;2;1;11;2020;1;9;1;2;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;;;;;;;;05;;12;05;1652.4051566
6037248;1;5;1;10;5;1;3;2000;21;3;2;;1;1;6;;6;;;1;;1;1;;;;;1;;;;;1;;;3;;;2;1;1;1;6;1;2;2;05;12;12;05;1652.4051566
6037249;1;1;1;10;1;1;8;1966;55;1;2;;3;;6;;3;1;2;;;;;;;1;;1;;;;2;1;;;1;1;36341;2;1;2;;6;3;3;;05;14;12;05;1476.1702864
6037249;1;2;1;10;2;2;9;1978;43;2;2;;2;;6;;3;1;1;;;;;;;1;;1;;;;;1;;;1;5;;2;1;2;;6;3;3;;05;14;12;05;1476.1702864
6037249;1;3;1;10;2;2;6;2013;8;3;1;2;1;1;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;2;3;1;;;05;1;12;05;1476.1702864
6037250;1;1;1;10;1;1;8;1987;34;1;2;;2;;6;;6;;;1;1;1;;;;1;;1;;;;2;1;;;3;;;2;1;1;2;6;1;2;2;05;12;12;05;1365.4612961
6037251;1;1;1;10;1;1;7;1972;49;1;3;;3;;6;;3;1;2;1;;;;;;;;;;;;2;1;;;1;1;120000;2;1;2;;6;5;4;;05;16;12;05;1113.822416
6037251;1;2;1;10;2;2;10;1971;50;2;2;;2;;6;;3;1;1;1;;;;;;;;;;;;;1;;;1;5;;2;1;2;;6;2;3;;05;13;12;05;1113.822416
6037251;1;3;1;10;3;1;8;1998;23;3;1;2;1;1;6;;6;;;1;;;;;;;1;;;;;;1;;;1;5;;2;1;2;;6;5;4;;05;16;12;05;1113.822416
6037251;1;4;1;10;4;2;4;2005;16;3;1;2;1;1;6;;6;;;1;;;;;;;1;;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;12;05;1113.822416
6037252;1;1;1;10;1;2;8;2001;20;1;2;;2;;6;;6;;;;;;;;;;1;;;;;2;1;;;1;1;36341;2;1;2;;6;3;3;;05;14;12;05;1150.2607494
6037252;1;2;1;10;2;2;5;1998;23;9;2;;2;;6;;6;;;1;;;;;;;;1;;;;;1;;;1;1;40000;2;1;2;;5;11;2;;05;11;12;05;1150.2607494
6037253;1;1;1;10;1;2;3;1988;33;1;1;6;3;;6;;4;;;;;;;;;;;;;;1;1;2;2;;;;;2;1;2;;6;2;3;;05;13;12;05;2017.2603313
6037253;1;2;1;10;2;2;5;2005;16;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;2;2;;;;;2;1;1;1;4;9;;;05;9;12;05;2017.2603313
6037253;1;3;1;10;3;1;7;2010;11;3;1;1;2;;6;;6;;;;;;;;;;;;;;1;;2;2;;;;;2;1;1;1;3;5;;;05;5;12;05;2017.2603313
6037253;1;4;1;10;1;2;10;2016;5;3;1;1;2;;6;;;;;;;;;;;;;;;;;;2;2;;;;;2;2;2;;1;0;;;05;0;12;05;2017.2603313
6037253;1;5;1;10;1;2;11;2021;0;3;1;1;2;;6;;;;;;;;;;;;;;;;;;2;2;;;;;2;;;;;;;;05;;12;05;2017.2603313
6037253;1;6;1;10;6;2;7;1957;64;5;2;;2;;6;;5;;;;;;;;;;;;;;1;;2;2;;;;;2;1;2;;4;6;;;05;6;12;05;2017.2603313
6037254;1;1;1;10;2;2;9;1980;41;1;2;;2;;6;;2;1;2;1;;;;;;;;1;;;;2;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037254;1;2;1;10;2;1;2;1976;45;2;2;;2;;6;;2;1;1;1;;;1;;;1;;;;;;;1;;;1;1;36341;2;1;2;;5;11;2;;05;11;12;05;1211.9829563
6037254;1;3;1;10;3;1;1;2002;19;3;1;1;2;;6;;6;;;1;;;;;;;1;1;;;;;1;;;1;5;;2;1;1;2;6;4;3;;05;15;12;05;1211.9829563
6037255;1;1;1;10;1;2;9;1983;38;1;3;;2;;6;;2;1;2;;;;1;;;;;;;;;1;1;;;1;1;36341;2;1;2;;3;5;;;05;5;12;05;1691.5167608
6037255;1;2;1;10;2;1;4;1981;40;2;2;;2;;6;;2;1;1;;;;;;;1;;1;;;;;1;;;1;1;48000;2;1;2;;4;7;;;05;7;12;05;1691.5167608
6037255;1;3;1;10;1;2;9;2010;11;3;1;1;2;;6;;6;;;;;;;;;;1;1;;;;;1;;;1;5;;2;1;1;1;3;4;;;05;4;12;05;1691.5167608
6037255;1;4;1;10;4;2;6;1999;22;3;1;1;3;;6;;6;;;;;;1;;;;;;;;;;1;;;1;5;;2;1;2;;6;2;2;2;05;13;12;05;1691.5167608
6037255;1;5;1;10;4;1;11;2018;3;4;1;4;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;2;2;;1;0;;;05;0;12;05;1691.5167608
6037256;1;1;1;10;1;2;6;1935;86;1;3;;3;;6;;5;;;;;;;;;;;1;;;;1;1;;;1;2;72682;2;2;2;;1;0;;;05;0;12;05;1238.1586259
