Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3156671;1;4;1;10;4;2;1;9;1995;17;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;02;13;2309,70962185637
3156672;1;1;1;10;1;1;1;2;1973;40;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1331,93900253147
3156672;1;2;1;10;2;2;1;8;1973;39;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1331,93900253147
3156672;1;3;1;10;3;1;1;12;1995;17;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1331,93900253147
3156672;1;4;1;10;4;1;1;12;1998;14;3;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;13;1331,93900253147
3156672;1;5;1;10;2;1;1;2;2004;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;13;1331,93900253147
3156672;1;6;1;10;2;1;1;6;2007;5;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;02;13;1331,93900253147
3156673;1;1;1;10;1;1;1;12;1956;56;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;13;1152,93397274831
3156686;1;1;1;10;1;2;1;8;1982;30;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1730,035742595
3156686;1;2;1;10;2;2;1;8;2003;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;02;13;1730,035742595
3156696;1;1;1;10;1;1;1;8;1946;66;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;68;645,267882899417
3156696;1;2;1;10;2;2;1;7;1994;18;4;6;1; ; ;1;1;24000;2;1;1;2;6;0;2;2;11;02;68;645,267882899417
3156697;1;1;1;10;1;1;1;5;1940;72;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1152,93397274831
3156698;1;1;1;10;1;1;1;1;1974;39;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;431,978946492254
3156698;1;2;1;10;2;2;1;10;1980;32;2;3;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;02;68;431,978946492254
3156698;1;3;1;10;2;2;1;10;2001;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;02;68;431,978946492254
3156698;1;4;1;10;2;2;1;4;2004;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;68;431,978946492254
3156699;1;1;1;10;1;1;1;3;1971;41;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;735,477899243924
3156699;1;2;1;10;2;2;1;10;1979;33;2;2;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;02;68;735,477899243924
3156699;1;3;1;10;2;1;1;9;2001;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;02;68;735,477899243924
3156699;1;4;1;10;2;2;1;5;2003;9;3; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;02;68;735,477899243924
3156699;1;5;1;10;2;1;1;6;2006;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;02;68;735,477899243924
3156700;1;1;1;10;1;1;1;10;1942;70;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;68;589,010596576405
3156700;1;2;1;10;2;2;1;11;1956;56;2;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;02;68;589,010596576405
3156701;1;1;1;10;1;1;1;11;1955;57;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;734,031482083671
3156701;1;2;1;10;2;2;1;12;1959;53;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;734,031482083671
3156701;1;3;1;10;3;1;1;9;2000;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;02;68;734,031482083671
3156701;1;4;1;10;1;2;1;9;2006;6;4; ;1; ; ;3; ; ;2;1;1;1;2;0; ;2;0;02;68;734,031482083671
3156702;1;1;1;10;1;1;1;3;1975;37;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;68;448,688050641771
3156702;1;2;1;10;2;2;1;2;1982;31;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;448,688050641771
3156702;1;3;1;10;2;2;1;10;2006;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;02;68;448,688050641771
3156703;1;1;1;10;1;1;1;3;1964;48;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;636,882361273857
3156703;1;2;1;10;2;2;1;1;1974;39;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;68;636,882361273857
3156703;1;3;1;10;3;2;1;6;1991;21;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;636,882361273857
3156703;1;4;1;10;4;1;1;6;1993;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;636,882361273857
3156703;1;5;1;10;5;1;1;10;1995;17;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;02;68;636,882361273857
3156703;1;6;1;10;6;2;1;2;1951;62;5;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;636,882361273857
3156704;1;1;1;10;1;1;1;2;1966;47;1;3;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;02;68;844,307751895806
3156704;1;2;1;10;2;2;1;3;1974;38;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;844,307751895806
3156704;1;3;1;10;3;1;1;2;1995;18;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;02;68;844,307751895806
3156704;1;4;1;10;2;1;1;11;2002;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;02;68;844,307751895806
3156704;1;5;1;10;2;1;1;4;2003;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;02;68;844,307751895806
3156705;1;1;1;10;1;1;1;10;1958;54;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;68;607,268638541694
3156705;1;2;1;10;2;2;1;6;1984;28;5;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;607,268638541694
3156705;1;3;1;10;2;2;1;12;2000;12;5;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;02;68;607,268638541694
3156705;1;4;1;10;2;1;1;2;2005;8;5; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;02;68;607,268638541694
3156705;1;5;1;10;2;1;1;1;2008;5;5; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;02;68;607,268638541694
3156708;1;1;1;10;1;1;1;1;1939;74;1;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;02;13;1791,82843949679
3156708;1;2;1;10;2;2;1;8;1949;63;2;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;02;13;1791,82843949679
3156708;1;3;1;10;3;1;1;10;1997;15;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;02;13;1791,82843949679
3156715;1;1;1;10;1;1;1;10;1959;53;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;1162,17535039757
3156715;1;2;1;10;2;2;1;4;1965;47;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;1162,17535039757
3156715;1;3;1;10;3;1;1;5;1984;28;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;68;1162,17535039757
3156715;1;4;1;10;4;1;1;10;1988;24;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;1162,17535039757
3156715;1;5;1;10;5;1;1;4;1992;20;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;1162,17535039757
3156715;1;6;1;10;6;2;1;12;1994;18;3;6;1; ; ;3; ; ;2;1;1;2;6;1;2;2;12;02;68;1162,17535039757
3156715;1;7;1;10;7;2;1;4;1998;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;02;68;1162,17535039757
3156716;1;1;1;10;1;1;1;2;1960;53;1;3;1; ; ;1;3;73000;2;1;2; ;3;3; ;2;3;02;68;681,784916835986
3156716;1;2;1;10;2;2;1;9;1962;50;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;02;68;681,784916835986
3156716;1;3;1;10;3;2;1;9;1989;23;3;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;681,784916835986
3156716;1;4;1;10;4;1;1;1;1984;29;5;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;68;681,784916835986
3156716;1;5;1;10;3;2;1;9;2011;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;02;68;681,784916835986
3156717;1;1;1;10;1;1;1;1;1962;51;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;1003,73575382126
3156718;1;1;1;10;1;1;1;9;1972;40;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;68;1314,67524730691
3156718;1;2;1;10;2;1;1;7;1999;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;02;68;1314,67524730691
3156719;1;1;1;10;1;1;1;8;1968;44;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;13;2075,96228757314
3156719;1;2;1;10;2;2;1;6;1970;42;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;2075,96228757314
