Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3149388;1;5;4;2;1;4;3;1;5;5; ; ; ;100000; ;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2; ;9;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;2167,08683542292
3149389;1;4;2;2;1;4;3;1;5;5; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;50;961,181661560716
3149421;1;2;1;2;1;4;3;1;5;2; ;200000;10000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;6;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;1682,80233890866
3149422;1;1;1;2;2;4;3;6; ;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;2;2;2;3; ; ;01;2;02;50;1109,54827970741
3149423;1;3;2;2;2;4;3;1;4;4; ; ; ;250000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;50;912,342357151615
3149424;1;6;1;2;1;4;3;1;4;1; ; ;98;98; ;2;2;1;2;1;2;2;2;1;2;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;0; ; ;01;2;02;50;1197,66799071018
3149426;1;2;1;2;1;4;3;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;2;0; ; ;01;2;02;50;1075,57272933593
3149427;1;1;1;2;2;4;3;6; ;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;8;2;2;2;2;2;2; ; ; ;01;2;02;50;1577,97561790804
3149428;1;5;2;2;1;4;3;1;5;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;2;3; ; ;01;2;02;50;1133,6321466944
3149429;1;4;3;2;1;4;3;1;5;1; ; ;5000000;100000; ;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;1836,26535232927
3149431;1;3;2;2;1;4;3;1;5;1; ; ;5000000;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;5;2;1;2;2;2;2;0; ; ;01;2;02;50;789,913813680307
3149432;1;2;1;2;1;4;3;5;5;1; ; ;5000000;300000; ;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;1;1;8;1;1;2;2;2;2;0; ; ;01;2;02;50;789,913813680307
3149441;1;3;2;2;1;4;4;3;4;5; ; ; ;50000; ;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;5;2;1;2;2;2;2;0; ; ;01;2;02;50;1274,19831019457
3149442;1;4;3;2;1;4;4;1;5;5; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;2;1;2;2;1;2;2;2; ;6;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;1031,70549557996
3149443;1;4;1;2;2;4;4;1;4;5; ; ; ;100000; ;1;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;50;1008,92314150787
3149444;1;3;1;2;1;4;4;1;5;3; ; ; ; ;250000;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;5;2;1;2;2;2;2;0; ; ;01;2;02;50;789,913813680307
3149463;1;3;2;2;1;4;4;1;4;4; ; ; ;150000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;1599,77902317981
3149464;1;4;2;2;1;4;4;1;4;1; ; ;100000000;1000000; ;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;2; ; ;01;2;02;50;984,839274520878
3149466;1;2;1;2;2;4;4;1;4;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;0; ; ;01;2;02;50;1346,03460885687
3149467;1;1;1;2;1;4;4;1;4;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;1;1;4;1;2;2;2;2;2;2; ; ; ;01;2;02;50;914,622818866839
3149468;1;1;1;2;1;4;3;1;4;4; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;0; ; ;01;2;02;50;789,913813680307
3149471;1;4;3;2;1;4;6;1;5;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;5;1;1;1;2;2;2;2;2;2; ; ; ;01;2;02;50;1807,51134409519
3149472;1;4;2;2;1;4;4;1;5;1; ; ;7000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;4;2;2; ;5;1;1;5;1;1;2;2;2;2;0; ; ;01;2;02;50;936,426224138607
3149474;1;5;4;2;1;4;4;1;4;1; ; ;10000000;250000; ;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;5;2;1;2;2;2;2;0; ; ;01;2;02;50;1757,48940243281
3149486;1;5;2;2;1;4;3;1;5;4; ; ; ;300000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;0; ; ;01;2;02;50;1256,06069016571
3149487;1;3;3;2;1;4;6;1;4;6;v; ; ;150000; ;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;3;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;50;878,366806780133
3149488;1;4;2;2;1;4;3;1;5;1; ; ;10000000;130000; ;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;50;1492,54701931517
3149505;1;2;1;2;1;4;3;1;4;4; ; ; ;200000; ;2;2;1;1;2;2;2;2;1;2;1;1;1;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;2;1;2;2;2;2;5; ; ;01;2;02;50;1221,32560367034
3149506;1;1;1;2;2;4;3;6; ;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;5; ; ;01;2;02;50;1577,97561790804
3149507;1;1;1;2;2;4;3;1;4;4; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;5; ; ;01;2;02;50;1346,03460885687
3149508;1;1;1;2;2;4;3;6; ;4; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;4;1;2;1;2;2;2;2;5; ; ;01;2;02;50;1109,54827970741
3149510;1;4;2;2;1;4;3;1;5;4; ; ; ;300000; ;2;2;1;1;1;1;2;2;1;2;2;2;1;2;2;1;1;1;1;1;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;2;4; ; ;01;2;02;50;912,342357151615
