Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3704869;1;2;1;70;1;32;48;1; ;2;21;6; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;53;55;1;2;5521;04;73;254,990850790504;73
3704884;1;2;1;70;1;4;48;1; ;2;4;1; ;5;7; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;53;53;55;1;1;5521;04;73;305,319664828456;73
3704886;1;1;1;70;1;3;72;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;140000;2;53;53;55;1;1;5521;04;63;154,108491267416;63
3704892;1;3;1;70;1;52;48;1; ;2;54;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;30;15;1;2;1530;04;63;121,000294353221;63
3704896;1;3;1;70;1;2;20;4; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;45;45;52;1;1;5243;04;63;121,10090054948;63
3704906;1;2;1;70;1;200;40;1; ;2;200;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;65;1;2;6512;04;63;133,646800590643;63
3704911;1;2;1;70;1;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;53;41;52;1;1;5229;04;63;117,181076131567;63
3704912;1;4;1;70;1;12;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;04;63;112,10115529608;63
3704918;1;2;1;70;1;3;48;1; ;2;4;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;45;1;1;4521;04;63;152,437742448482;63
3704928;1;2;1;70;1;18;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;13;37;55;1;2;5521;04;63;148,65029865447;63
3704932;1;3;1;70;1;12;45;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;37;52;1;1;5211;04;63;123,027705447787;63
3704937;1;1;1;70;1;4;30;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;97;97;60;1;1;6041;04;63;116,13911193531;63
3704961;1;1;1;70;1;208;48;1; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;59;93;1;2;9309;04;52;198,485073004531;52
3704963;1;2;1;70;1;13;25;1; ;2;13;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;39;85;1;1;8532;04;52;147,598066224215;52
3704965;1;1;1;70;1;8;36;1; ;2;52;7; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5221;04;52;191,189148986882;52
3704969;1;3;1;70;1;12;40;2; ;2;12;4; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;75;1;1;7514;04;52;196,252517594267;52
3704973;1;2;1;70;1;156;48;1; ;2;156;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8050;04;50;152,575685662462;50
3704975;1;4;1;70;1;6;48;1; ;2;6;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;1;6412;04;50;203,93159146089;50
3704978;1;2;1;70;1;8;48;1; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;54;95;1;1;9500;04;50;229,715147241057;50
3704979;1;1;1;70;1;4;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;39;51;1;1;5125;04;50;222,160084043593;50
