DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;P6430;RAMA4D_R4;INGLABO;MES;DPTO;fex_c_2011;RAMA4DP8_R4
6,000,024;1;2;1;60;17;17;1;1;;;1;;1;2;2;2;6;;1;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;6;48;;.;48;;;;2;7;;1;;1;1;2;15;1;;;;;;;;;2;2;1;6;24;1;;7;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;45;56;1;1;5630;908526;11;17;145.1275896;
6,000,026;1;3;1;60;17;17;1;2;1;;1;;1;1;2;1;48;;1;;1;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;908,526;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;18;1;;;;;;;;;1;1;1;0;108;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;5;;1;;58;80;1;1;8010;908526;11;17;147.70428805;
6,000,026;1;4;1;60;17;17;1;2;1;;1;;1;1;2;1;192;;3;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;1;34,000;2;2;;;2;;;2;;;1;908,523;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;16;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;5;;1;;42;61;1;1;6120;908526;11;17;147.70428805;
6,000,027;1;1;1;60;17;17;1;1;;;1;;1;2;2;2;1;;2;;2;250,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;16;2;;16;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;1;;3;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;2;1;2;2;1;2;2;1;3;10;3;;1;1;53;56;1;1;5630;250000;11;17;200.3636819;
6,000,028;1;1;1;60;17;17;2;;;;;;;;;;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;3,800,000;1;;3;;3;2;12;34;2;;34;;;;1;1;;1;;3;;;;;;;;;;;;;2;2;1;0;240;2;;4;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;10;DE LA PENSION;;;12;69;1;4;6910;3800000;11;17;157.93634345;
6,000,028;1;2;1;60;17;17;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;2,000,000;1;;3;;8;2;12;20;2;;20;;;;1;1;;1;;3;;;;;;;;;;;;;2;2;1;0;120;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;10;DE LA PENSION;;;12;69;1;4;6910;2000000;11;17;157.93634345;
6,000,029;1;3;1;60;17;17;1;2;1;;1;;1;1;2;1;36;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;98,000;2;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;8;1;;;;;;;;;1;1;1;3;64;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;20;2;;1;;34;65;1;1;6523;908526;11;17;236.58205029;
6,000,030;1;2;1;60;17;17;1;2;1;;1;;1;1;1;1;12;;5;;2;2,000,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;2,000,000;1;2,000,000;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;22;2;;22;;;;9;7;;1;;1;3;1;20;1;;;;;;;;;1;1;1;0;84;2;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;2;7;2;;1;;13;85;1;2;8530;2000000;11;17;177.56830368;
6,000,032;1;2;1;60;17;17;1;2;1;;1;;1;1;2;1;204;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;8;7;;1;;1;2;1;33;1;;;;;;;;;1;1;1;1;192;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;2;;1;;97;42;1;1;4210;908526;11;17;157.93634345;
6,000,033;1;1;1;60;17;17;1;2;1;;1;;1;1;2;1;72;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;7;7;;1;;1;1;1;15;1;;;;;;;;;1;1;1;12;12;1;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;5;1;;1;;45;47;1;1;4711;908526;11;17;234.64551841;
6,000,034;1;2;1;60;17;17;1;2;1;;1;;1;1;2;1;48;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;893,164;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;4;7;;1;;1;2;1;1;1;;;;;;;;;1;1;1;1;24;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;15;2;;1;;45;46;1;1;4663;908526;11;17;169.76630277;
6,000,034;1;3;1;60;17;17;1;2;2;6;1;;1;2;2;2;3;;6;;2;908,526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;3;48;;.;48;;;;5;7;;2;;2;;;;;;1;;;;;;;1;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;2;;1;;45;47;1;1;4723;908526;11;17;169.76630277;
6,000,035;1;1;1;60;17;17;1;2;2;12;1;;1;1;2;1;48;;2;;2;1,320,000;1;200,000;2;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;1,320,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;0;24;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;7;30;3;;1;;97;24;1;1;2410;1320000;11;17;256.82319352;
6,000,035;1;2;1;60;17;17;1;1;;;1;;1;1;2;1;8;;2;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;1;33,000;2;2;;;2;;;2;;;1;605,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;2;7;;1;;1;1;1;5;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;15;3;;1;;97;10;1;1;1082;908526;11;17;256.82319352;
6,000,036;1;1;1;60;17;17;1;1;;;1;;1;2;2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;6;;;;;2;50,000;12;;3;;1;1;12;36;2;;36;;;;1;2;;3;;2;;;;;;1;;;;;;;2;2;1;1;60;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;3;2;2;;1;;54;81;1;4;8121;50000;11;17;186.22411238;
6,000,037;1;1;1;60;17;17;2;;;;;;;;;;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;200,000;1;;3;;3;2;12;40;;.;40;;;;1;6;;2;;2;;;;;;1;;;;;;;2;2;1;1;112;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;15;2;;1;;99;38;1;4;3830;200000;11;17;256.69890323;
6,000,038;1;2;1;60;54;54;1;2;1;;1;;1;1;1;1;126;;2;;2;1,000,000;2;;;2;;2;;2;;2;;2;;;1;106,454;2;1;57,000;2;2;;;2;;;2;;;2;;1;920,000;1;460,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;13;1;;;;;;;;;1;1;1;0;16;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;10;5;;1;;58;47;1;1;4719;1000000;11;54;483.94985307;
6,000,040;1;1;1;60;54;54;1;2;1;;1;;1;1;1;1;168;;1;;2;1,000,000;2;;;2;;2;;2;;2;;2;;;1;105,454;2;1;28,000;2;2;;;2;;;2;;;2;;1;1,000,000;1;500,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;3;7;;1;;1;2;1;14;1;;;;;;;;;1;1;1;0;24;1;;5;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;13;15;9;;1;;45;45;1;1;4530;1000000;11;54;522.06872014;
6,000,041;1;3;1;60;54;54;1;1;;;1;;1;2;2;2;18;;1;;2;800,000;2;;;1;250,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;2;16;3;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;25;5;;1;;54;97;1;3;9700;1050000;11;54;219.52449711;
6,000,042;1;1;1;60;54;54;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;900,000;1;;3;;3;2;12;66;;.;66;;;;1;1;;1;;1;2;2;30;1;;;;;;;;;2;2;1;0;10;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;2;1;1;14;;3;;1;;41;47;1;4;4721;900000;11;54;514.23235938;
6,000,043;1;1;1;60;54;54;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;800,000;1;;3;;3;2;12;48;;.;48;;;;1;7;;3;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;5;9;;1;;21;45;1;4;4520;800000;11;54;228.04795128;
6,000,043;1;2;1;60;54;54;1;2;1;;1;;1;1;1;1;120;;1;;2;908,000;2;;;2;;2;;2;;2;;2;;;1;105,454;2;1;28,000;2;2;;;2;;;2;;;2;;1;908,000;1;454,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;3;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;0;24;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;5;3;;1;;45;47;1;1;4752;908000;11;54;228.04795128;
6,000,044;1;2;1;60;54;54;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;380,000;1;;3;;3;2;12;24;2;;24;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;18;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;5;;1;;77;56;1;4;5619;380000;11;54;523.09490992;
6,000,044;1;4;1;60;54;54;1;1;;;1;;1;2;2;2;3;;1;;2;800,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;8;48;;.;48;;;;3;9;;2;;2;;;;;;;;;;;;1;2;2;1;2;4;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;25;5;;1;;95;41;1;1;4111;800000;11;54;523.09490992;
6,000,044;2;1;2;60;54;54;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;280,000;1;;3;;1;1;3;28;1;;28;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;14;24;4;;11;2;;;;;;;;1;28;2;1;1;1;1;2;2;2;2;2;2;2;;2;1;2;2;1;2;2;1;14;;5;;1;1;77;56;1;4;5619;280000;11;54;523.09490992;
6,000,045;1;1;1;60;54;54;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;680,000;1;;3;;10;1;1;63;;.;63;;;;1;7;;11;;2;;;;;;;;;;;;1;2;2;1;0;1;4;;8;2;;;;;;;;2;;;;1;2;1;2;1;2;2;1;1;2;;2;1;1;2;1;2;1;1;13;5;9;;1;1;53;56;1;4;5611;680000;11;54;483.0644086;
6,000,046;1;1;1;60;54;54;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;87,000;1;;3;;1;2;12;48;;.;10;6;;1;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;9;4;;2;2;;;;;;;;1;20;1;1;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;3;;1;;79;95;1;4;9529;87000;11;54;443.9597935;
6,000,047;1;1;1;60;54;54;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;370,000;1;;3;;1;2;2;25;1;;25;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;12;48;4;;3;2;;;;;;;;1;25;1;1;1;1;1;2;2;2;1;2;2;2;;1;1;1;2;1;2;2;1;14;;3;;1;1;41;47;1;4;4791;370000;11;54;439.5542981;
6,000,048;1;1;1;60;68;68;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;0;0;3;7;;1;1;2,021;2;3,000,000;1;;3;;3;2;12;60;;.;60;;;;3;7;;1;;1;1;2;20;1;;;;;;;;;1;2;1;1;96;5;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;60;8;;1;;51;56;1;5;5611;3000000;11;68;524.64649103;
6,000,049;1;1;1;60;68;68;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8;7;1;0;3;7;;1;1;2,021;1;6,000,000;1;;3;;6;2;12;50;;.;50;;;;4;7;;1;;3;;;;;;;;;;;;;1;2;1;0;36;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;3;2;;;;21;68;1;5;6810;6000000;11;68;558.36164289;
6,000,049;1;2;1;60;68;68;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8;7;1;0;3;7;;1;1;2,021;1;6,000,000;1;;3;;7;2;12;40;;.;40;;;;4;7;;1;;3;;;;;;;;;;;;;1;2;1;36;30;1;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;3;3;;;;21;68;1;5;6810;6000000;11;68;558.36164289;
6,000,051;1;1;1;60;68;68;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;4;;;;;2;;1;;3;;4;2;12;48;;.;48;;;;1;2;;1;;1;2;2;13;1;;;;;;;;;1;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;2;;1;;41;68;1;4;6810;;11;68;656.29085127;
6,000,052;1;1;1;60;68;68;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;;;;;3;;1;;3;;3;2;12;48;;.;48;;;;1;1;;1;;3;;;;;;;;;;;;;2;2;1;0;120;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;10;PENSION;;;08;62;1;4;6201;;11;68;555.60081404;
6,000,052;1;2;1;60;68;68;1;2;1;;1;;1;1;2;1;144;;2;;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;98;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;9;5;;1;;1;2;1;28;1;;;;;;;;;1;1;1;0;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;30;3;;1;;44;21;1;1;2100;;11;68;555.60081404;
6,000,052;1;3;1;60;68;68;1;2;2;3;1;;1;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;3;800,000;1;;3;;3;2;3;24;2;;24;;;;7;1;;3;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;1;2;1;2;1;2;1;1;14;;3;;1;1;13;85;1;4;8551;800000;11;68;555.60081404;
6,000,053;1;1;1;60;68;68;2;;;;;;;;;;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;0;0;3;7;;1;1;2,021;2;2,000,000;1;;3;;3;2;12;54;;.;54;;;;2;1;;1;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;21;14;1;5;1410;2000000;11;68;558.36164289;
6,000,053;1;2;1;60;68;68;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20;20;0;0;3;7;;1;1;2,021;2;8,000,000;1;;3;;3;2;12;54;;.;54;;;;6;9;;1;;1;1;2;20;1;;;;;;;;;1;2;1;0;12;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;20;3;;1;;21;42;1;5;4210;8000000;11;68;558.36164289;
6,000,054;1;1;1;60;68;68;2;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;0;0;3;7;;1;1;2,021;2;;1;;3;;3;2;12;48;;.;48;;;;2;7;;1;;3;;;;;;;;;;;;;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;8;15;3;;;;06;86;1;5;8692;;11;68;558.36164289;
