DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,000,813;1;2;1;70;05;5;48;908,526;1;;2;5;1;;8;2;1;;2;;;;;;;;;;;1;2;;78;38;38;1;1;7810;11;05;1066.1890875
6,000,829;1;2;1;70;05;52;48;1,200,000;1;;2;52;1;;7;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4923;11;05;1057.361777
6,000,829;1;3;1;70;05;46;48;1,200,000;1;;2;86;1;;6;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4923;11;05;1057.361777
6,000,834;1;1;1;70;05;8;48;908,526;1;;2;8;1;;7;2;1;;2;;;;;;;;;;;1;2;;47;97;97;1;1;4722;11;05;1129.3258068
6,000,841;1;1;1;70;05;2;48;1,200,000;1;;2;2;1;;4;2;7;;2;;;;;;;;;;;1;1;1200000;47;45;45;1;1;4771;11;05;1173.6843283
6,000,851;1;2;1;70;05;3;48;908,526;1;;2;5;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;33;33;1;1;4711;11;05;1081.5584497
6,000,853;1;3;1;70;05;12;48;908,526;1;;2;12;1;;9;2;4;;2;;;;;;;;;;;1;2;;52;97;33;1;1;5221;11;05;1072.0038441
6,000,855;1;1;1;70;05;8;48;1,800,000;1;;2;8;1;;5;2;7;;2;;;;;;;;;;;1;2;;43;87;87;1;1;4322;11;05;1029.5728022
6,000,855;1;3;1;70;05;9;48;1,600,000;1;;2;9;1;;6;2;4;;2;;;;;;;;;;;1;2;;62;33;33;1;1;6201;11;05;1029.5728022
6,000,867;1;2;1;70;05;12;48;2,000,000;5;;2;144;1;;9;2;3;;2;;;;;;;;;;;1;2;;14;21;03;1;1;1410;11;05;1079.0856569
6,000,872;1;1;1;70;05;150;48;1,000,000;4;;2;180;4;;1;2;2;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4921;11;05;1179.6408463
6,000,891;1;2;1;70;05;104;48;908,526;1;;2;60;1;;6;2;1;;2;;;;;;;;;;;1;2;;41;97;95;1;2;4111;11;05;1113.0131318
6,000,892;1;2;1;70;05;52;48;2,000,000;2;;2;58;4;;9;2;1;;2;;;;;;;;;;;1;2;;86;08;08;1;2;8621;11;05;1121.8404423
6,000,894;1;2;1;70;05;48;48;1,000,000;1;;2;12;1;;1;2;2;;2;;;;;;;;;;;1;2;;96;45;57;1;2;9602;11;05;1121.8404423
6,000,895;1;4;1;70;05;12;48;1,000,000;1;;2;12;1;;9;2;7;;2;;;;;;;;;;;1;2;;06;95;98;1;1;0610;11;05;1028.9525993
6,000,899;1;2;1;70;05;40;48;1,500,000;1;;2;100;1;;9;2;2;;2;;;;;;;;;;;1;2;;10;33;33;1;2;1040;11;05;1123.5859399
