DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;clase;MES;ESC;DPTO;fex_c_2011
5178669;1;3;1;10;3;1;4;2002;18;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;07;9;70;1301,72203951556
5178669;1;4;1;10;2;1;12;2007;12;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;07;6;70;1301,72203951556
5178669;1;5;1;10;2;1;11;2015;4;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;70;1301,72203951556
5178670;1;1;1;10;1;2;5;1948;72;1;6; ;5;3; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;70;852,696537613578
5178671;1;1;1;10;1;2;8;1975;44;1;6; ;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;70;1014,90924989057
5178671;1;2;1;10;2;2;6;1994;26;3;6; ;4;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;07;8;70;1014,90924989057
5178671;1;3;1;10;2;2;5;2014;6;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;70;1014,90924989057
5178671;1;4;1;10;2;1;10;2016;3;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;70;1014,90924989057
5178672;1;1;1;10;1;2;3;1976;44;1;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;70;1065,05830985363
5178672;1;2;1;10;2;1;2;2002;18;3;6; ;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;07;9;70;1065,05830985363
5178672;1;3;1;10;1;2;5;2010;10;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;70;1065,05830985363
5178673;1;1;1;10;1;1;2;1987;33;1;6; ;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;07;4;70;1062,16977968911
5178673;1;2;1;10;2;2;9;1977;42;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2;1;2; ;4;9; ; ;2;07;9;70;1062,16977968911
5178674;1;1;1;10;1;1;4;1987;33;1;6; ;2;2; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2;1;2; ;3;4; ; ;2;07;4;70;1062,16977968911
5178674;1;2;1;10;2;2;8;1993;26;2;6; ;2;2; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;70;1062,16977968911
5178675;1;1;1;10;1;1;4;1961;59;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;70;1238,85257936814
5178675;1;2;1;10;2;2;12;1965;54;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;70;1238,85257936814
5178675;1;3;1;10;2;1;6;2011;9;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;70;1238,85257936814
5178675;1;4;1;10;2;2;9;2014;5;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;70;1238,85257936814
5178799;1;1;1;10;2;1;8;1952;67;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;76;5469,0165940501
5178799;1;2;1;10;2;2;10;1957;62;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;07;1;76;5469,0165940501
5178799;1;3;1;10;3;1;5;2000;20;4;6; ;6;2; ;2; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;1;37200;2;1;2; ;5;11;2; ;2;07;11;76;5469,0165940501
5178801;1;1;1;10;1;1;5;1957;63;1;6; ;2;3; ;2; ;1;2; ; ; ; ; ; ;1; ;1; ; ;1; ; ;1;3;109725;2;1;2; ;3;4; ; ;2;07;4;76;6833,74786089852
5178801;1;2;1;10;2;2;8;1960;59;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ;1; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;3; ; ;2;07;3;76;6833,74786089852
5178801;1;3;1;10;3;1;2;1984;36;3;6; ;6;1;1;1;2; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;76;6833,74786089852
5178801;1;4;1;10;2;2;7;2015;4;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;2; ;1;0; ; ;2;07;0;76;6833,74786089852
5178803;1;1;1;10;1;1;3;1943;77;1;6; ;3;3; ;3; ;1;2; ; ;1;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;76;6636,98183907994
5178803;1;2;1;10;2;2;3;1946;74;2;6; ;3;3; ;3; ;1;1; ;1;1; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;76;6636,98183907994
5178803;1;3;1;10;3;1;10;1975;44;3;6; ;4;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;76;6636,98183907994
5178804;1;1;1;10;2;1;12;1964;55;1;6; ;2;3; ;3; ;1;2; ;1; ; ; ; ; ; ;1; ; ;1; ; ;1;2;100000;2;1;2; ;5;11;2; ;2;07;11;76;5469,0165940501
5178804;1;2;1;10;2;2;3;1956;64;2;6; ;2;3; ;3; ;1;1; ;1; ; ; ; ;1; ;1;1; ;1; ; ;1;2;70224;2;1;2; ;5;11;2; ;2;07;11;76;5469,0165940501
5178804;1;3;1;10;3;1;1;1951;69;5;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;07;1;76;5469,0165940501
5178805;1;1;1;10;1;1;5;1946;74;1;6; ;4;3; ;3; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;07;1;76;6508,30861707278
5178806;1;1;1;10;1;1;8;1945;74;1;6; ;4;2; ;3; ; ; ; ;1;1;1; ; ; ; ; ; ; ;1; ; ;1;2;35112;2;1;2; ;3;1; ; ;2;07;1;76;6508,30861707278
5178807;1;1;1;10;1;1;7;1951;68;1;6; ;4;3; ;3; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;76;6508,30861707278
5178921;1;1;1;10;1;1;6;1941;79;1;1;800_02;2;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;07;4;23;2615,45287527882
5178921;1;2;1;10;2;2;3;1950;70;2;1;800_02;2;2; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;07;8;23;2615,45287527882
5178921;1;3;1;10;3;1;6;1992;28;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;2615,45287527882
5178921;1;4;1;10;4;1;5;1986;34;3;1;800_02;2;1;1;1;2;1;5; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;23;2615,45287527882
5178921;1;5;1;10;5;2;4;1990;30;5;6; ;2;2; ;2; ;1;4; ; ; ; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2;1;2; ;4;9; ; ;2;07;9;23;2615,45287527882
5178921;1;6;1;10;4;1;6;2019;1;4;1;800_02; ;1;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;23;2615,45287527882
5178921;1;7;1;10;4;1;7;2020;0;4;1;800_02; ;1;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2;07; ;23;2615,45287527882
5178922;1;1;1;10;1;1;3;1947;73;1;6; ;2;3; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2588,30759804676
5178922;1;2;1;10;2;2;12;1963;56;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2588,30759804676
5178922;1;3;1;10;3;1;1;1969;51;5;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2588,30759804676
5178923;1;1;1;10;1;1;8;1978;41;1;1;800_02;2;2; ;2; ;1;2; ; ; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;10;1; ;2;07;10;23;3887,37172348891
5178923;1;2;1;10;2;2;9;1980;39;2;1;800_02;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;3887,37172348891
5178923;1;3;1;10;3;1;7;1999;21;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;3887,37172348891
5178923;1;4;1;10;4;1;11;2001;18;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;07;8;23;3887,37172348891
5178923;1;5;1;10;5;1;11;2003;16;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;07;9;23;3887,37172348891
5178923;1;6;1;10;6;1;4;2008;12;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;07;6;23;3887,37172348891
5178924;1;1;1;10;1;1;1;1976;44;1;1;800_02;2;3; ;3; ;1;2; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;4267,26482945224
5178924;1;2;1;10;2;2;7;1983;37;2;1;800_02;2;2; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;4267,26482945224
5178924;1;3;1;10;3;2;5;2000;20;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;4267,26482945224
5178924;1;4;1;10;4;2;8;2002;17;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;4267,26482945224
5178924;1;5;1;10;5;1;6;2019;1;4;1;800_02; ;2; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;23;4267,26482945224
5178924;1;6;1;10;6;2;10;2006;13;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;23;4267,26482945224
5178924;1;7;1;10;1;1;10;2010;9;3;1;800_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2;1;1;1;3;3; ; ;2;07;3;23;4267,26482945224
5178924;1;8;1;10;1;1;2;2015;5;3;1;800_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;23;4267,26482945224
5178925;1;1;1;10;1;2;2;1958;62;1;6; ;5;3; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;23;2795,40235921237
5178925;1;2;1;10;1;1;1;1989;31;3;6; ;6;3; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2795,40235921237
5178926;1;1;1;10;1;2;9;1981;38;1;1;800_02;2;2; ;2; ;1;2; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;23;4318,60830841407
5178926;1;2;1;10;2;1;9;1980;39;2;1;800_02;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;4318,60830841407
5178926;1;3;1;10;3;1;4;2000;20;3;1;800_02;6;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;23;4318,60830841407
5178926;1;4;1;10;1;1;3;2012;8;3;1;800_02; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;23;4318,60830841407
5178926;1;5;1;10;1;2;6;2013;7;3;1;800_02; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;23;4318,60830841407
5178927;1;1;1;10;1;2;2;1973;47;1;6; ;4;3; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;2015,36648412936
5178927;1;2;1;10;2;1;10;2004;15;3;6; ;6;2; ;1;1; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;23;2015,36648412936
5178927;1;3;1;10;3;1;3;2008;12;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;23;2015,36648412936
5178927;1;4;1;10;4;2;9;1947;72;5;6; ;5;3; ;3; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2015,36648412936
5178928;1;1;1;10;1;2;3;1964;56;1;6; ;4;3; ;3; ; ; ; ;1;1; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;2433,85786183033
5178929;1;1;1;10;1;1;11;1977;42;1;1;800_02;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;3813,38342208977
5178929;1;2;1;10;2;2;8;1980;39;2;1;800_02;2;3; ;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;3813,38342208977
5178929;1;3;1;10;3;2;8;2000;19;3;1;10_04;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;3813,38342208977
5178929;1;4;1;10;2;1;3;2008;12;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;07;6;23;3813,38342208977
5178929;1;5;1;10;2;2;1;2010;10;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;23;3813,38342208977
5178929;1;6;1;10;2;1;8;2013;6;3;1;800_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;23;3813,38342208977
5178932;1;1;1;10;1;2;4;1950;70;1;1;800_02;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;2;5; ;2;1;2; ;3;2; ; ;2;07;2;23;2226,76310066473
5178932;1;2;1;10;2;1;10;1940;79;5;1;800_02;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2226,76310066473
5178934;1;1;1;10;1;1;9;1946;73;1;1;800_02;2;3; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;2226,76310066473
5178934;1;2;1;10;2;2;2;1949;71;2;1;800_02;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;2226,76310066473
5178935;1;1;1;10;1;1;5;1961;59;1;1;800_02;2;3; ;1;4;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;07;4;23;1758,25608195452
5178935;1;2;1;10;2;2;8;1961;58;2;6; ;2;3; ;3; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;23;1758,25608195452
5178935;1;3;1;10;3;1;2;1989;31;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;1758,25608195452
5178935;1;4;1;10;4;2;9;1934;85;5;1;800_02;5;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;1758,25608195452
5178936;1;1;1;10;1;1;2;1986;34;1;1;800_02;2;2; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;4416,47714818883
5178936;1;2;1;10;2;2;1;1979;41;2;1;800_02;2;2; ;2; ;1;1; ; ;1; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;4416,47714818883
5178936;1;3;1;10;3;2;12;2000;19;3;1;800_02;6;2; ;1;2; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;4416,47714818883
5178936;1;4;1;10;4;2;12;2003;16;3;1;800_02;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;07;9;23;4416,47714818883
5178936;1;5;1;10;2;2;10;2010;9;3;1;800_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;23;4416,47714818883
5178936;1;6;1;10;2;1;8;2017;2;3;1;800_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;23;4416,47714818883
5178938;1;1;1;10;1;2;3;1960;60;1;1;800_02;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;1758,25608195452
5178938;1;2;1;10;2;1;11;1945;74;5;1;800_02;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;1758,25608195452
5178938;1;3;1;10;3;2;6;1948;72;5;1;800_02;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;1758,25608195452
5178939;1;1;1;10;1;1;2;1944;76;1;6; ;2;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2226,76310066473
5178939;1;2;1;10;2;2;2;1956;64;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;2226,76310066473
5178941;1;1;1;10;1;1;8;1958;61;1;1;800_02;3;2; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;4178,68437006424
5178941;1;2;1;10;2;2;5;1964;56;2;1;800_02;3;2; ;3; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;4178,68437006424
5178941;1;3;1;10;3;1;3;1989;31;3;1;800_02;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;35112;2;1;2; ;5;11;2; ;2;07;11;23;4178,68437006424
5178941;1;4;1;10;4;1;11;1991;28;3;1;800_02;2;1;1;1;2;1;5; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;4178,68437006424
5178941;1;5;1;10;5;2;10;1999;20;5;1;800_02;2;2; ;2; ;1;4; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;10;1; ;2;07;10;23;4178,68437006424
5178941;1;6;1;10;5;2;1;2018;2;4;1;800_02; ;1;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;23;4178,68437006424
5178941;1;7;1;10;5;1;9;2019;0;4;1;800_02; ;1;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;23;4178,68437006424
5178942;1;1;1;10;1;1;9;1985;34;1;6; ;2;2; ;2; ;1;2; ;1;1; ; ; ;1; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;23;4218,54503955125
5178942;1;2;1;10;2;2;12;1981;38;2;6; ;2;2; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;23;4218,54503955125
5178942;1;3;1;10;3;2;2;2007;13;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;07;7;23;4218,54503955125
5178942;1;4;1;10;2;1;10;2009;10;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;23;4218,54503955125
5178942;1;5;1;10;2;2;11;2012;7;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;23;4218,54503955125
5178943;1;1;1;10;1;1;9;1991;28;1;6; ;2;2; ;2; ;1;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;23;5106,88893592652
5178943;1;2;1;10;2;2;8;1997;22;2;6; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;23;5106,88893592652
5178943;1;3;1;10;2;2;2;2016;4;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;23;5106,88893592652
