directorio;secuencia_p;orden;P6020;P6040;P6050;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6100;P6110;P6160;P6170;P6210;P6210S1;P6220;ESC;mes;area;dpto;fex_c_2011
141514;1;4;1;20;3; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;1;6;3;2;14;07;13;13;329,450790936366
141514;1;5;2;14;3; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;4;8; ;8;07;13;13;329,450790936366
141515;1;1;1;59;1; ;1;1; ; ; ; ; ; ; ; ;1;3; ;1;2;3;3; ;3;07;68;68;364,355946233269
141515;1;2;2;51;2; ;1; ; ; ; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;07;68;68;364,355946233269
141515;1;3;1;27;3; ;1; ; ;1; ; ; ; ; ; ;9; ; ;1;2;5;11;2;11;07;68;68;364,355946233269
141515;1;4;1;26;3; ;1; ; ; ; ; ; ; ; ; ;1;1;1;1;2;6;3;3;14;07;68;68;364,355946233269
141516;1;1;2;49;1; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;5;10;1;10;07;66;66;192,91770390395
141516;1;2;1;50;2; ; ; ; ; ; ;1; ; ; ; ;1;3; ;2;2;1;0; ;0;07;66;66;192,91770390395
141518;1;1;1;79;1; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;3;4; ;4;07;68;68;365,883348010786
141518;1;2;2;81;2; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;3;5; ;5;07;68;68;365,883348010786
141518;1;3;2;50;3; ; ; ;1; ; ; ; ; ; ; ;1;1;1;1;2;3;5; ;5;07;68;68;365,883348010786
141518;1;4;1;26;4; ; ; ; ;1; ; ; ; ; ; ;2; ; ;1;2;5;11;2;11;07;68;68;365,883348010786
141520;1;1;2;36;1; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;6;5;4;16;07;66;66;608,927968563859
141520;1;2;1;45;2; ; ; ; ; ; ; ; ; ; ;1;1;1;3;1;2;6;5;4;16;07;66;66;608,927968563859
141520;1;3;2;7;3; ; ; ; ; ; ; ; ; ; ; ;1;1;5;1;1;3;1; ;1;07;66;66;608,927968563859
141521;1;1;2;53;1; ; ; ; ; ; ;1; ; ; ; ;1;1;5;1;2;5;11;2;11;07;68;68;442,002748035306
141521;1;2;1;23;3; ; ; ; ;1; ; ; ; ; ; ;1;1;5;1;2;6;5;4;16;07;68;68;442,002748035306
141521;1;3;2;20;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;8; ;8;07;68;68;442,002748035306
141522;1;1;1;38;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;5;11;2;11;07;68;68;270,163329282905
141522;1;2;2;48;2; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;5;11;2;11;07;68;68;270,163329282905
141522;1;3;1;30;3; ; ; ; ;1; ; ; ; ; ; ;1;1;5;1;2;5;11;2;11;07;68;68;270,163329282905
141522;1;4;2;12;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;6; ;6;07;68;68;270,163329282905
141522;1;5;2;12;3; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;6; ;6;07;68;68;270,163329282905
141523;1;1;2;57;1; ;1; ; ; ; ; ; ; ; ; ;1;1;2;1;2;5;10;1;10;07;13;13;325,539101010137
141524;1;1;2;52;1; ;1;1; ; ; ; ; ;1;1; ;2; ; ;1;2;5;11;2;11;07;13;13;334,844326335303
141524;1;2;2;28;3; ; ; ; ; ; ;1; ; ;1; ;1;3; ;1;2;6;3;2;14;07;13;13;334,844326335303
141524;1;3;2;9;4; ; ; ; ; ; ; ; ; ; ; ;1;1;5;1;1;3;2; ;2;07;13;13;334,844326335303
