DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5179426;1;1;1;70;12;48;8; ;2;12;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;4921;49;62;98;47;928,524901895884
5179430;1;4;1;70;24;48;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;07;1;2;6190;61;58;58;47;1085,76574139109
5179430;1;8;1;70;4;48;1; ;2;4;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;6120;61;62;44;47;1085,76574139109
5179432;1;1;1;70;20;48;3; ;2;28;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;2;9700;97;54;54;47;699,608135630948
5179436;1;3;1;70;12;24;3; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;1;5630;56;54;50;47;518,457036880108
5179442;1;1;1;70;144;48;4; ;2;192;4; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;1;560000;877800;2; ;2;07;1;2;4923;49;98;98;47;789,2773075846
5179462;1;4;1;70;4;56;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;2;07;1;1;.; ;62; ;47;602,490973724585
5179463;1;2;1;70;28;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877800; ; ;2;07;1;2;.; ;03; ;47;1147,43390352222
5179479;1;3;1;70;18;48;1; ;2;576;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;2;3600;36;32;30;47;378,034875916821
5179492;1;3;1;70;40;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;2;07;1;2;.; ;45; ;47;561,867097962737
5179492;1;4;1;70;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877800; ; ;2;07;1;2;.; ;84; ;47;561,867097962737
5179495;1;3;1;70;48;48;8; ;2;48;8; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877900;2; ;2;07;1;2;0126;01;62;62;47;550,200735973361
5179505;1;3;1;70;96;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;2;07;1;2;.; ;37; ;47;813,572945898177
5179505;1;5;1;70;18;48;1; ;2;18;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;2;2511;25;87;87;47;813,572945898177
5179506;1;1;1;70;4;48;8; ;2;4;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;890000;8900000;2; ;2;07;1;1;0141;01;62;62;47;813,598879101623
5179511;1;1;1;70;16;48;8; ;2;18;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;5511;55;62;58;47;1943,90949999934
5179513;1;2;1;70;240;24;1; ;2;240;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;2;8530;85;13;13;47;668,494276796383
5179517;1;6;1;70;4;48;1; ;2;192;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;1;5611;56;53;53;47;618,248086280851
5179607;1;2;1;70;12;48;1; ;2;30;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;2;07;1;1;1410;14;79;97;05;903,37936552437
5179608;1;2;1;70;99;25;3; ;2;240;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;2;9700;97;54;54;05;1271,12222864191
5179611;1;3;1;70;36;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;870000; ; ;2;07;1;2;.; ;97; ;05;1332,90858149688
5179612;1;3;1;70;4;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;890000;2; ;2;07;1;1;4711;47;33;45;05;2357,78895711575
5179663;1;2;1;70;2;98;1; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;7000;200000;2; ;2;07;1;1;4773;47;45;45;05;4305,00885488035
5179665;1;2;1;70;6;35;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;25000;98;2; ;2;07;1;1;4729;47;41;41;05;2071,57477632917
5179670;1;3;1;70;20;48;2; ;2;20;4; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;2;07;1;2;8412;84;39;39;05;2047,88920244138
5179679;1;1;1;70;3;98;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;2;07;1;1;0312;03;64;64;05;2669,99540836402
5179682;1;2;1;70;2;24;3; ;2;468;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;200000;2; ;2;07;1;1;9700;97;54;54;05;4169,23761498412
5179703;1;1;1;70;8;48;1; ;2;10;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;2;07;1;1;0722;07;97;97;05;2662,44401260384
5179704;1;1;1;70;8;66;4; ;2;2;4; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;2;07;1;1;0820;08;71;71;05;3884,35426296478
5179721;1;3;1;70;9;48;4; ;2;30;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;8121;81;55;55;13;880,585623103631
5179724;1;2;1;70;40;48;2; ;2;52;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;2;07;1;2;8412;84;12;12;13;781,061633065029
5179724;1;3;1;70;15;48;1; ;2;16;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;2;07;1;2;8412;84;03;03;13;781,061633065029
5179754;1;1;1;70;21;48;3; ;2;26;3; ;1;2;1; ; ; ; ; ; ; ; ;1;B; ;2; ;877803;2; ;2;07;1;2;9700;97;54;54;13;1191,76552361002
5179937;1;1;1;70;5;40;1; ;2;36;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;0312;03;71;64;27;1335,04223848628
5180021;1;1;1;70;8;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;1;9700;97;54;54;27;1017,53950447017
5180151;1;1;1;70;10;30;3; ;2;8;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;1;230000;400000;2; ;2;07;1;1;0123;01;54;62;17;1038,3454205606
5180236;1;1;1;70;3;55;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;840000;2; ;2;07;1;1;0123;01;62;62;17;941,912567226186
5180239;1;3;1;70;10;55;8; ;2;10;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;0123;01;62;62;17;900,875537925457
5180240;1;1;1;70;10;48;3; ;2;13;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;1;5630;56;54;53;17;1088,92737138562
5180242;1;3;1;70;4;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;4711;47;53;45;17;744,100285139024
5180244;1;1;1;70;12;22;4; ;2;12;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;1;8121;81;55;55;17;496,260024384745
5180244;1;3;1;70;15;50;1; ;2;15;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;07;1;2;0123;01;53;62;17;496,260024384745
5180251;1;1;1;70;12;25;1; ;2;12;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;0820;08;71;71;17;777,153512820292
5180252;1;3;1;70;4;48;8; ;2;4;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;800000;2; ;2;07;1;1;0722;07;62;71;17;888,103393815616
5180257;1;2;1;70;14;48;3; ;2;14;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;2;5611;56;54;53;17;1558,63086850824
5180258;1;1;1;70;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;2;07;1;2;.; ;45; ;17;1249,39615972259
5180289;1;4;1;70;2;55;8; ;2;2;8; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;1;700000;700000;2; ;2;07;1;1;0123;01;62;62;17;947,589233220337
5180289;1;5;1;70;8;50;1; ;2;8;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;0123;01;53;62;17;947,589233220337
5180300;1;2;1;70;14;48;3; ;2;14;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;8121;81;54;55;17;933,928765606725
5180302;1;1;1;70;52;48;1; ;2;52;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;0121;01;53;62;17;887,215070311845
5180303;1;2;1;70;12;50;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;9700;97;54;54;17;933,928765606725
5180304;1;2;1;70;5;48;3; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;1;0130;01;54;62;17;993,038978951563
5180306;1;2;1;70;8;50;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;07;1;1;4111;41;95;95;17;690,033566855811
5180306;1;7;1;70;8;48;3; ;2;99;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;920000;2; ;2;07;1;1;9700;97;54;54;17;690,033566855811
5180308;1;2;1;70;20;40;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;2;8121;81;53;55;17;1050,21144999279
5180317;1;2;1;70;6;22;8; ;2;14;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;2;07;1;1;5619;56;62;53;17;778,041836324063
5180338;1;1;1;70;14;50;8; ;2;14;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;2;0123;01;62;62;17;1047,65832793053
5180338;1;2;1;70;14;55;1; ;2;15;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;2;5611;56;53;53;17;1047,65832793053
5180338;1;3;1;70;14;48;1; ;2;14;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;2;5611;56;53;53;17;1047,65832793053
5180339;1;2;1;70;4;48;1; ;2;13;5; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;1;5611;56;53;51;17;732,216464532954
5180340;1;2;1;70;8;48;1; ;2;26;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;1;1410;14;79;79;17;496,260024384745
5180358;1;1;1;70;13;48;1; ;2;99;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;1;8220;82;38;38;17;1632,06363555322
5180412;1;2;1;70;24;44;2; ;2;24;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;920000;2; ;2;07;1;2;8610;86;33;33;20;2544,98276654399
5180421;1;3;1;70;18;48;2; ;2;20;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;2;07;1;2;8610;86;19;19;20;1637,02057564608
5180441;1;3;1;70;3;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;2;07;1;1;.; ;62; ;20;2144,87015237794
5180444;1;2;1;70;18;40;4; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;2;07;1;2;8130;81;95;62;20;1711,00566637431
5180559;1;2;1;70;48;40;1; ;2;90;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;07;1;2;8422;84;58;58;20;1389,6501250014
5180563;1;2;1;70;45;48;4; ;2;60;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;2;4111;41;95;95;20;1860,92073828757
5180565;1;3;1;70;4;40;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;6412;64;39;39;20;704,583226501394
5180569;1;3;1;70;12;48;1; ;2;28;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;1;6820;68;58;58;41;2165,2455374548
5180570;1;3;1;70;2;2;1; ;2;3;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;2;07;1;1;4210;42;95;95;41;2172,34503470329
5180573;1;1;1;70;3;49;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;3110;31;95;95;41;1271,12222864191
5180587;1;1;1;70;24;40;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;800000;2; ;2;07;1;2;4210;42;95;95;52;3959,22236970967
5180587;1;4;1;70;48;40;3; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;2;9700;97;54;54;52;3959,22236970967
5180652;1;1;1;70;12;48;1; ;2;12;4; ;1;2;9;TIENE CARNET DEL REGIMEN SUBSIDIADO DE UN MUNIC; ; ; ; ; ; ; ; ; ;1;2; ;830000;2; ;2;07;1;1;0161;01;53;61;52;3681,66403348765
5180654;1;4;1;70;8;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;800000;2; ;2;07;1;1;8010;80;58;58;52;1551,59632119621
5180709;1;3;1;70;16;40;4; ;2;16;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;2592;25;87;87;54;894,379696263079
5180713;1;1;1;70;2;50;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;500000;2; ;2;07;1;1;0161;01;61;61;54;624,540041018163
5180716;1;3;1;70;12;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;1;3513;35;03;03;54;922,694757441287
5180720;1;2;1;70;12;44;4; ;2;12;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;0161;01;61;61;54;1783,22847356046
5180720;1;3;1;70;12;46;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;0161;01;61;61;54;1783,22847356046
5180720;1;5;1;70;12;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;1;8121;81;54;54;54;1783,22847356046
5180736;1;1;1;70;2;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;1;8121;81;54;54;54;702,669161592228
5180737;1;1;1;70;20;40;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;4649;46;41;41;54;727,561189611766
5180743;1;3;1;70;4;50;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;0161;01;62;62;54;594,140838404401
5180744;1;1;1;70;8;56;3; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;1;9700;97;54;54;54;1261,66080981175
5180808;1;3;1;70;2;46;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;2;07;1;1;0161;01;62;62;54;720,395308353588
5180840;1;7;1;70;6;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;2;07;1;1;.; ;54; ;54;2400,30361803416
5180843;1;1;1;70;3;48;1; ;2;3;4; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;1;500000;1200000;1;1;2;07;1;1;4321;43;03;03;54;600,07590450854
5180847;1;2;1;70;6;48;1; ;2;46;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;1;9602;96;03;57;54;840,658245586427
5180910;1;1;1;70;2;48;1; ;2;2;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;1560000;1600000;1;2;2;07;1;1;3513;35;03;03;54;749,672174842688
5180916;1;1;1;70;4;54;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;2;07;1;1;0161;01;61;61;54;796,117590025742
5180917;1;3;1;70;2;54;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;700000;2; ;2;07;1;1;0161;01;61;61;54;536,220159978685
5180923;1;1;1;70;16;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;2;4921;49;95;98;54;735,54615178568
5180924;1;1;1;70;3;54;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;2;07;1;1;4111;41;95;95;54;796,117590025742
5180932;1;4;1;70;2;48;4; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;240000;500000;2; ;2;07;1;1;0161;01;61;61;54;752,781145769601
5180933;1;1;1;70;20;48;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;2;0510;05;95;71;54;796,117590025742
5180950;1;3;1;70;3;45;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;500000;2; ;2;07;1;1;0123;01;61;61;54;1158,87445890217
5180950;1;6;1;70;4;54;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;400000;2; ;2;07;1;1;0123;01;61;06;54;1158,87445890217
5180957;1;1;1;70;44;20;4; ;2;352;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;2;07;1;2;9700;97;55;54;54;672,566375048683
5180983;1;1;1;70;2;40;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;800000;2; ;2;07;1;1;0161;01;61;61;54;1226,89397271875
5180986;1;1;1;70;2;45;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;2;07;1;1;0161;01;61;61;54;832,729877585088
5180990;1;1;1;70;2;48;4; ;2;2;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;2;07;1;1;0123;01;61;61;54;688,551444417305
5181003;1;4;1;70;1;40;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;2;07;1;1;0161;01;62;62;54;856,813203956925
5181009;1;2;1;70;2;54;4; ;2;2;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;500000;600000;2; ;2;07;1;1;4520;45;84;84;54;1151,66848807413
5181012;1;1;1;70;1;48;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;2;07;1;1;0161;01;62;62;54;962,149781027171
5181020;1;2;1;70;2;60;4; ;2;2;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;400000;600000;2; ;2;07;1;1;4921;49;98;98;63;1534,43862839263
5181022;2;3;2;70;24;40;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;2;3110;31;45;33;63;1717,88296803433
5181022;2;4;2;70;12;40;4; ;2;24;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;4111;41;95;95;63;1717,88296803433
5181026;1;2;1;70;28;40;4; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;2;07;1;2;8121;81;41;55;63;1813,2458660771
5181027;1;2;1;70;2;40;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;1;0161;01;62;62;63;1982,20332676899
5181027;1;3;1;70;2;40;4; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;2;07;1;1;0123;01;62;62;63;1982,20332676899
5181028;1;1;1;70;6;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;2;07;1;1;8530;85;33;59;63;1517,38386168296
5181028;1;3;1;70;104;48;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;2;07;1;2;6920;69;33;33;63;1517,38386168296
5181031;1;3;1;70;8;40;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;1;4771;47;45;45;63;1013,21697899263
5181046;1;5;1;70;4;48;1; ;2;16;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;1;5613;56;45;53;63;1013,21697899263
5181048;1;3;1;70;4;50;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;400000;2; ;2;07;1;1;0123;01;62;62;63;1427,48564836316
5181049;1;5;1;70;8;48;1; ;2;14;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;07;1;1;4773;47;45;45;63;2555,42674641477
5181067;1;1;1;70;52;48;1; ;2;52;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;2;07;1;2;0210;02;85;62;63;2481,56442133824
5181067;1;4;1;70;15;48;1; ;2;15;1; ;4;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;07;1;2;0210;02;99;62;63;2481,56442133824
5181071;1;1;1;70;4;60;4; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;2;07;1;1;5621;56;53;53;63;2565,34996281212
5181071;1;2;1;70;5;60;4; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;50000;400000;2; ;2;07;1;1;4520;45;84;84;63;2565,34996281212
5181167;1;1;1;70;5;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;2;07;1;1;0910;09;99;99;63;2028,24765325111
5181168;1;2;1;70;12;60;8; ;2;8;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;2;07;1;1;0113;01;62;62;63;1447,02569638704
