DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6910,P6910S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OCI,P6420S1,RAMA4D,OFICIO,RAMA2D,RAMA4DP8,RAMA2DP8,DPTO,fex_c_2011
590786,1,1,5,60,2,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,500000,1,,3,,12,72,,.,72,,,1,17,5,2,,,,,,3,6,,,,1,1,2,0,1,1,,,,,,,,,1,1,1,4,,2,,,,,0,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,8,,1,,5020,99,50,,,5,834.536.791.075.913
590787,1,1,5,60,1,2,2,6,2,1,,2,1,1,27,1,,1,,461500,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,2,,,,220000,2,2,1,2,,,,,,,,,,,12,72,,.,72,,,1,18,6,2,,,,,,6,7,,,,1,2,1,7,1,1,,,,,,,,,1,1,12,1,,2,,,,,0,2,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,3,2,2,3,3,3,2,3,2,3,,1,7492,7020,58,70,7492,74,5,955.544.041.112.868
590790,1,1,5,60,2,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,100000,1,,3,,5,48,,.,48,,,1,11,19,2,,,,,,1,3,,,,2,,,,1,,,,,,,,1,,2,1,48,1,,2,,,,,24,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,12,2,1,1,1,1,1,2,2,2,2,2,2,2,,2,1,,3,3,3,3,3,3,2,2,3,3,,1,,5211,45,52,,,5,621.170.614.977.585
590790,1,2,5,60,2,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,48,,.,48,,,1,11,19,2,,,,,,2,3,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,2,2,2,2,2,2,,1,1,,2,3,3,3,3,3,2,2,3,3,,1,,5211,45,52,,,5,621.170.614.977.585
590791,1,5,5,60,1,2,1,,1,1,,1,1,1,36,1,,1,,800000,2,,,2,,2,,2,,2,,,55000,15000,,2,2,,1,1,,2,2,2,,,1,,350000,,700000,2,2,1,2,,,,,,,,,,,12,48,,.,0,3,,1,7,17,2,,,,,,8,7,,,,1,1,1,8,1,1,,,,,,,,,1,1,60,1,,2,,,,,2,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,3,2,2,2,3,2,3,2,3,,1,,2529,45,25,,,5,836.173.995.958.644
590791,1,6,5,60,1,2,1,,1,1,,1,1,1,108,1,,1,,900000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,1,,450000,,900000,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,1,6,16,2,,,,,,9,7,,,,1,1,1,15,1,1,,,,,,,,,1,1,24,1,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,,1810,79,18,,,5,836.173.995.958.644
590792,1,1,5,60,2,,,,,,,,,,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,300000,1,,1,,12,40,,.,40,,,1,8,17,2,,,,,,2,5,,,,2,,,,1,,,,,,,,1,,2,1,168,4,,2,,,,,12,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,3,3,3,3,3,2,2,3,3,8,,1,,5262,45,52,,,5,957.467.263.041.372
590792,1,3,5,60,2,,,,,,,,,,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,200000,1,,1,,12,40,,.,40,,,1,8,17,2,,,,,,2,5,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,2,2,1,2,2,2,,1,1,,3,3,3,3,3,3,2,3,3,3,,1,,5262,45,52,,,5,957.467.263.041.372
590793,1,1,5,60,2,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,400000,1,,1,,6,60,,.,60,,,1,8,20,2,,,,,,2,1,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,1,,5211,41,52,,,5,649.002.595.485.058
590793,1,3,5,60,2,,,,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,50,,.,50,,,1,7,19,2,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,,5211,45,52,,,5,649.002.595.485.058
590794,1,1,5,60,1,2,1,,1,1,,1,1,1,332,1,,6,,1800000,2,,,1,144000,2,,1,100000,2,,,,,,,,,2,2,,2,2,2,,,2,,,1800000,3600000,2,1,1,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,9,7,,,,1,1,1,31,1,1,,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,,2610,89,26,,,5,111.686.593.554.475
590796,1,1,5,60,2,,,,,,,,,,48,1,,1,,250000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,8,17,2,,,,,,3,7,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,12,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,8,2,1,1,1,1,1,1,1,2,1,2,2,2,,2,1,,2,2,2,3,2,2,2,2,3,10,BUSCAR OTRO EMPLEO,1,,5020,85,50,,,5,107.712.590.789.309
590798,1,1,5,60,2,,,,,,,,,,280,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,550000,1,,3,,12,48,,.,48,,,1,8,17,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,,1,,4541,87,45,,,5,786.178.193.459.372
590799,1,1,5,60,2,,,,,,,,,,12,1,,1,,200000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,8,17,2,,,,,,2,6,,,,2,,,,1,,,,,,1,,,,2,1,12,1,,2,,,,,99,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,5,,1,,6331,58,63,,,5,79.573.604.594.446
590800,1,2,5,60,1,2,1,,2,2,,1,1,1,16,1,,1,,461500,2,,,2,,2,,2,,2,,,55000,15000,,2,2,,1,1,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,9,7,,,,1,1,1,3,1,1,,,,,,,,,1,1,260,4,,2,,,,,0,2,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,2,2,2,2,2,7,,1,7491,7499,97,74,7491,74,5,870.845.916.486.194
590801,1,1,5,60,1,2,1,,1,1,,1,1,1,144,1,,1,,612000,2,,,1,72000,2,,2,,2,,,55500,31000,260000,2,2,,1,1,,1,2,2,,,2,,,170000,860000,2,1,1,2,,,,,,,,,,,12,48,,.,48,,,1,21,7,2,,,,,,9,7,,,,1,1,1,22,1,1,,,,,,,,,1,1,24,1,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,2,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,,8511,39,85,,,5,997.477.108.920.958
590801,1,5,5,60,2,,,,,,,,,,12,1,,1,,460000,2,,,2,,2,,2,,2,,,55000,15000,,2,2,,1,1,,2,2,2,,,2,,,100000,220000,2,1,1,2,,,,,,,,,,,12,40,,.,15,6,,2,,,,,,,,,5,7,,,,1,1,1,1,1,1,,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,1,1,1,1,1,1,2,2,2,2,2,,2,1,,3,3,3,3,3,3,2,2,3,3,,1,,7499,16,74,,,5,997.477.108.920.958
590802,1,1,5,60,2,,,,,,,,,,12,1,,1,,200000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,66,,.,66,,,1,7,17,2,,,,,,4,7,,,,2,,,,1,,,,,,,,1,,2,1,2,1,,1,10,1,,0,5,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,2,1,2,2,1,1,2,2,2,,1,1,,3,3,3,3,3,3,2,2,3,3,,1,,1810,56,18,,,5,876.877.990.529.433
590802,1,2,5,60,2,,,,,,,,,,13,1,,1,,120000,2,,,2,,2,,1,30000,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,15,1,,20,,,1,19,21,2,,,,,,9,7,,,,2,,,,1,,,,,,,,1,,2,1,84,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,1,30,1,1,2,,,,,,,,,,,,,,,2,3,2,4,4,3,2,2,3,3,,1,,8060,18,80,,,5,876.877.990.529.433
590803,1,1,5,60,2,,,,,,,,,,132,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,350000,1,,3,,12,60,,.,60,,,1,8,21,2,,,,,,1,6,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,2,3,3,,1,,9242,45,92,,,5,12.556.506.635.923
590803,1,2,5,60,1,2,1,,1,1,,2,1,1,12,1,,1,,461000,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,2,,,,433700,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,1,7,17,1,7,12,2,,,6,7,,,,1,1,1,12,1,1,,,,,,,,,1,1,144,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,1,10,2,1,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,,5020,32,50,,,5,12.556.506.635.923
590804,1,1,5,60,1,2,1,,1,1,,2,1,1,216,1,,1,,461000,2,,,2,,2,,2,,2,,,55000,465000,,2,2,,1,1,,2,2,2,,,2,,,,433700,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,1,6,14,2,,,,,,8,7,,,,1,1,1,18,1,1,,,,,,,,,1,1,6,4,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,1,20,2,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,,2,3,2,3,2,2,2,3,3,1,,1,,1551,77,15,,,5,635.045.029.761.432
590805,1,1,5,60,2,,,,,,,,,,0,1,,1,,60000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,0,20,1,,30,,,1,19,4,2,,,,,,3,7,,,,2,,,,1,,,,,,,,1,,2,1,6,1,,2,,,,,24,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,30,1,1,1,1,2,1,2,2,2,2,2,2,2,,1,1,,4,4,4,4,3,3,2,1,3,3,,1,,5225,45,52,,,5,637.908.622.898.362
590806,1,1,5,60,2,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,60000,1,,3,,12,30,1,,35,,,2,,,,,,,,,2,1,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,5,,,,1,20,1,1,1,1,2,1,2,2,2,2,2,2,2,,1,1,,4,3,2,4,4,3,2,1,3,3,,1,,4542,85,45,,,5,719.741.693.995.875
590806,1,2,5,60,2,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,60000,1,,3,,3,25,1,,25,,,2,,,,,,,,,2,1,,,,2,,,,1,,,,,,,,1,,2,1,3,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,20,1,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,,4,4,4,4,4,3,2,1,3,3,,1,,3430,85,34,,,5,719.741.693.995.875
590808,1,1,5,60,2,,,,,,,,,,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,250000,1,,3,,12,27,1,,27,,,1,6,17,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,17,1,,2,,,,,7,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,20,1,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,,3,3,3,3,3,3,2,2,3,3,,1,,9301,56,93,,,5,748.935.903.988.338
590809,1,1,5,60,2,,,,,,,,,,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,450000,1,,3,,12,20,1,,20,,,1,6,16,2,,,,,,1,4,,,,2,,,,1,,,,,,,,1,,2,1,60,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,20,2,1,2,,,,,,,,,,,,,,,2,3,2,3,3,3,2,2,3,3,,1,,6041,98,60,,,5,954.575.952.317.198
590809,1,3,5,60,2,,,,,,,,,,0,1,,1,,150000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,0,25,1,,25,,,2,,,,,,,,,2,2,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,30,2,1,1,1,2,1,2,2,2,2,2,2,2,,2,2,,3,3,3,3,3,3,2,1,3,3,,1,,4521,95,45,,,5,954.575.952.317.198
590810,1,1,5,60,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,300000,1,,3,,4,60,,.,60,,,1,7,17,2,,,,,,5,7,,,,2,,,,1,,,,,,,,1,,2,1,3,4,,2,,,,,1,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,,3,3,3,3,3,3,2,3,3,3,,1,,5155,45,51,,,5,595.524.627.844.097
590810,1,2,5,60,2,,,,,,,,,,4,3,,1,,230000,2,,,1,50000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,4,25,1,,30,,,1,8,16,2,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,4,3,,2,,,,,12,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,30,1,1,2,,,,,,,,,,,,,,,2,3,3,3,3,3,2,1,3,3,,1,,9500,54,95,,,5,595.524.627.844.097
590810,1,4,5,60,1,2,2,12,2,1,,2,1,1,5,1,,3,,480000,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,2,,,,129000,2,2,1,2,,,,,,,,,,,12,40,,.,40,,,1,7,14,1,8,13,2,,,9,7,,,,1,1,1,0,1,1,,,,,,,,,1,1,16,1,,2,,,,,0,1,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,1,10,2,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,,2,3,2,2,2,2,2,2,2,3,,1,7491,6512,44,65,7491,74,5,595.524.627.844.097
590810,1,6,5,60,2,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,500000,1,,3,,4,55,,.,55,,,1,7,16,2,,,,,,5,7,,,,2,,,,1,,,,,,,,1,,2,1,6,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,5,2,1,2,,,,,,,,,,,,,,,2,2,2,3,3,3,2,3,3,3,,1,,1810,79,18,,,5,595.524.627.844.097
590811,1,2,5,60,1,2,1,,1,1,,2,1,1,2,1,,1,,3000000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,3000000,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,1,8,18,2,,,,,,3,7,,,,1,1,1,8,1,1,,,,,,,,,1,1,10,1,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,6,,1,,7220,2,72,,,5,949.106.098.315.687
590815,1,1,5,60,1,2,1,,1,1,,2,1,1,12,1,,1,,600000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,600000,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,2,5,,,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,5,,1,,2892,87,28,,,5,711.441.926.058.611
590815,1,2,5,60,1,2,2,3,1,1,,2,1,1,60,1,,1,,600000,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,2,,,,600000,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,1,8,19,2,,,,,,3,7,,,,1,1,1,5,1,1,,,,1,,,,,1,1,8,1,,2,,,,,3,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,,5233,40,52,,,5,711.441.926.058.611
590815,1,3,5,60,1,2,1,,1,1,,2,2,1,8,1,,1,,600000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,600000,2,2,1,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,2,5,,,,2,,,,1,,,,,,,,1,,2,1,10,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,3,3,2,3,3,2,2,2,3,3,,1,,2892,87,28,,,5,711.441.926.058.611
