Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2988489;1;1;1;70;2;2;56;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;95;95;45;1;1;4521;06;25;1777,05161189357
2988489;1;2;1;70;2;1;48;1; ;2;1;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;54;54;95;1;1;9500;06;25;1777,05161189357
2988495;1;3;1;70;2;52;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;33;33;52;1;2;5211;06;25;1696,93589738359
2988512;1;4;1;70;2;12;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;1;5233;06;25;2558,2744464307
2988542;1;4;1;70;2;24;48;4; ;2;12;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4559;06;25;1324,124348815
2988543;1;1;1;70;2;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4521;06;25;2507,26219232165
2988548;1;3;1;70;2;12;60;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;1;4521;06;25;2529,14464120787
2988548;1;5;1;70;2;2;60;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4521;06;25;2529,14464120787
2988550;1;2;1;70;2;4;54;3; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5529;06;25;1092,48598986072
2988550;1;4;1;70;2;4;48;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;25;1092,48598986072
2988556;1;3;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;06;25;2540,11176642914
2988560;1;1;1;70;2;99;56;4; ;2;99;2; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;39;85;1;2;8532;06;25;1987,87205725779
2988561;1;4;1;70;2;12;72;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;25;1457,22598768635
