DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
803977,1,2,1,70,8,52,50,1,,2,51,1,,4,8,,,,,,,,,,1,,2,,2,1,2,32,32,70,7020,8,303.659.759.987.957
803978,1,4,1,70,8,22,60,1,,2,24,1,,7,7,,,,,,,,,,1,,2,,2,1,2,62,95,36,3612,8,45.096.846.843.306
803990,1,3,1,70,8,52,48,1,,2,52,1,,3,1,,,,,,,,,,1,,2,,2,1,2,34,34,74,7499,8,557.117.336.879.512
803992,1,3,1,70,8,8,48,1,,2,8,1,,4,4,,,,,,,,,,1,,2,,2,1,1,2,33,65,6599,8,504.724.681.724.884
804000,1,5,1,70,8,20,48,1,,2,20,1,,4,4,,,,,,,,,,1,,2,,2,1,2,79,79,18,1810,8,363.595.626.591.138
804011,1,3,1,70,8,16,50,4,,2,17,4,,1,8,,,,,,,,,,1,,2,,2,1,2,54,54,74,7493,8,552.815.260.186.166
804022,1,2,1,70,8,12,25,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,34,,,,8,388.844.421.261.117
804024,1,2,1,70,8,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,45,,,,8,536.861.544.973.934
804026,1,4,1,70,8,1,48,1,,2,1,4,,1,4,,,,,,,,,,1,,2,,2,1,1,3,3,72,7250,8,453.003.697.136.026
804028,1,4,1,70,8,4,48,1,,2,4,1,,9,1,,,,,,,,,,1,,2,,2,1,1,6,6,75,7523,8,443.953.696.855.171
804032,1,2,1,70,8,256,62,1,,2,364,1,,9,2,,,,,,,,,,1,,2,,2,1,2,21,21,15,1530,8,581.194.327.716.862
804032,1,3,1,70,8,8,50,1,,2,9,1,,9,4,,,,,,,,,,1,,2,,2,1,1,2,2,75,7512,8,581.194.327.716.862
804034,1,3,1,70,8,12,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,32,,,,8,561.156.005.247.501
804048,2,1,2,70,8,2,48,1,,2,2,1,,4,4,,,,,,,,,,1,,2,,2,1,1,33,33,55,5512,8,558.936.366.405.376
804048,2,2,2,70,8,8,48,1,,2,6,2,,9,4,,,,,,,,,,1,,2,,2,1,1,45,39,75,7512,8,558.936.366.405.376
804053,1,3,1,70,8,104,48,1,,2,2,1,,2,4,,,,,,,,,,1,,2,,2,1,2,45,34,74,7499,8,480.765.115.836.408
804055,1,3,1,70,8,12,70,4,,2,12,4,,2,7,,,,,,,,,,1,,2,,2,1,1,95,95,45,4521,8,457.076.101.239.931
804057,2,2,2,70,8,8,60,1,,2,8,1,,9,1,,,,,,,,,,1,,2,,2,1,1,53,53,15,1512,8,621.009.785.818.539
804062,2,1,2,70,8,4,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,77,,,,8,748.390.197.946.535
804065,1,3,1,70,8,14,50,4,,2,14,4,,2,1,,,,,,,,,,1,,2,,2,1,2,95,95,45,4521,8,472.425.731.648.769
804069,1,3,1,70,8,174,60,1,,2,176,1,,4,1,,,,,,,,,,1,,2,,2,1,2,92,92,74,7430,8,286.701.922.572.341
804069,1,4,1,70,8,100,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,45,,,,8,286.701.922.572.341
