Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3486903;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;181,885513085548
3486903;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;181,885513085548
3486942;1;1;1;80;73;1;2;4; ;2; ;2; ; ;1; ;4;1;1;06;73;297,046794360974
3486943;1;1;1;80;73;1;4;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;06;73;304,524019164037
3486944;1;1;1;80;73;1;1;4; ;2; ;2; ; ; ; ;4;2;1;06;73;189,099246373794
3486945;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;73;276,258389760779
3486945;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;73;276,258389760779
3486949;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;4;2;1;06;73;249,513043515768
3486951;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;73;650,281113187654
3486951;1;2;1;80;73;1;4;6; ;2; ;2; ; ; ; ;9;2;1;06;73;650,281113187654
3486953;1;1;1;80;73;1;1;8; ;3; ;2; ; ; ; ;9;2;1;06;73;171,011172273055
3486953;1;2;1;80;73;1;4;5; ;3; ;2; ; ; ; ;9;2;1;06;73;171,011172273055
3486957;1;3;1;80;73;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;73;204,685694775612
3486957;1;4;1;80;73;1;4;8; ;2; ;2; ; ; ; ;9;2;1;06;73;204,685694775612
3486993;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;155,813599274371
3486993;1;3;1;80;52;2; ; ; ;2; ;2; ;1;1; ;2; ;1;06;52;155,813599274371
3486993;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;155,813599274371
3486994;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;4;2;1;06;52;137,600517196361
3486994;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;137,600517196361
3486998;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;212,337375261805
3487000;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;52;115,132684616301
3487000;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;115,132684616301
3487002;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;133,551800775007
3487003;1;6;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;205,687829305591
3487004;1;2;1;80;52;1;3;6; ;2; ;2; ; ; ; ;9;2;1;06;52;193,38717318095
3487004;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;193,38717318095
3487004;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;52;193,38717318095
3487005;1;1;1;80;52;1;4;9;EDAD;3; ;2; ; ; ; ;8;2;1;06;52;132,126588730171
3487005;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;132,126588730171
3487007;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;173,330546357799
3487008;1;1;1;80;52;1;2;2; ;2; ;2; ; ; ; ;2;2;1;06;52;189,452116490684
3487010;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;166,766284796666
3487010;1;3;1;80;52;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;52;166,766284796666
3487011;1;2;1;80;52;1;2;4; ;2; ;2; ; ; ; ;4;2;1;06;52;207,978285376885
3487013;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;52;132,126588730171
3487013;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;52;132,126588730171
3487021;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;52;124,342242695654
3487130;1;2;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;495,984369849482
3487130;2;1;2;80;76;1;4;4; ;3; ;2; ; ; ; ;4;2;1;06;76;495,984369849482
3487130;2;2;2;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;495,984369849482
3487130;2;3;2;80;76;1;2;2; ;2; ;2; ; ; ; ;2;2;1;06;76;495,984369849482
3487130;3;4;3;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;495,984369849482
3487131;1;2;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;76;902,882974438893
3487131;1;3;1;80;76;1;4;3; ;2; ;2; ; ; ; ;4;2;1;06;76;902,882974438893
3487132;1;4;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1208,76355874807
3487132;1;5;1;80;76;1;3;7; ; ; ;2; ; ; ; ;2;2;1;06;76;1208,76355874807
3487132;2;4;2;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;76;1208,76355874807
3487133;2;1;2;80;76;1;1;6; ;2; ;2; ; ; ;VA A PAGAR SERVICIO MILITAR;12;2;1;06;76;1626,05893289439
3487133;4;2;4;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1626,05893289439
3487133;4;3;4;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1626,05893289439
