Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3499533;1;6;1;80;2;1;1;8; ;2; ;2; ; ; ;FALTA DE RECURSOS ECONOMICOS;12;2;1;06;05;1274,49623297805
3499534;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;06;05;1198,02685013418
3499534;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;1198,02685013418
3499534;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;05;1198,02685013418
3499536;1;2;1;80;2;1;3;8; ;2; ;2; ; ; ; ;9;2;1;06;05;1543,45855176569
3499736;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;1252,25237461307
3499738;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;1400,22103291953
3499738;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1400,22103291953
3499740;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;2170,62109755387
3499741;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1461,23912579409
3499742;1;4;1;80;2;1;2;8; ; ; ;2; ; ; ; ;2;2;1;06;68;1554,8280441471
3499743;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;732,243465540519
3499745;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;732,243465540519
3499764;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;1;2;1;06;68;1676,8642298962
3499777;1;4;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;06;68;1668,95286280839
3499778;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;1696,15654621071
3499780;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;06;68;1793,95251041086
3499781;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;741,149227746966
3499783;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;741,149227746966
3499784;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;68;1111,06997185225
3499786;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;06;68;1793,95251041086
3499791;1;3;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;06;68;1278,03167016365
3499791;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1278,03167016365
3499792;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;06;68;552,984835874954
3499794;1;2;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;06;68;1490,95597953581
3499794;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1490,95597953581
3499800;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;2217,40084164391
3499800;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;2217,40084164391
3499811;1;3;1;80;2;1;3;9;CAMBIO DE RECIDENCIA;2; ;2; ; ; ; ;1;2;1;06;68;1426,72046612072
3499811;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;1426,72046612072
3499822;1;3;1;80;2;2; ; ; ; ; ;2; ;1;1; ;2; ;1;06;68;793,862119983491
3499822;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;793,862119983491
3499822;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;793,862119983491
3499822;1;7;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;793,862119983491
3499823;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;06;68;1090,25692519129
3499823;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1090,25692519129
3499824;1;1;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;06;68;1707,22176861538
3499824;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1707,22176861538
3499824;1;5;1;80;2;1;1;6; ;2; ;2; ; ; ; ;1;2;1;06;68;1707,22176861538
3499825;1;3;1;80;2;1;3;2; ;2; ;2; ; ; ; ;9;2;1;06;68;1371,29616674015
3499828;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;1050,0518789777
3499828;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1050,0518789777
3499832;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;68;1850,45218621388
3499832;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1850,45218621388
3499832;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1850,45218621388
3499833;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;732,243465540519
3499833;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;68;732,243465540519
3499833;1;5;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;732,243465540519
3499834;1;1;1;80;2;1;4;8; ;2; ;2; ; ; ; ;1;2;1;06;68;953,383784214936
3499835;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;68;732,243465540519
3499836;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;06;68;1524,06338091168
3499836;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1524,06338091168
3499837;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;68;1282,84936354476
