DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4691147;1;3;1;10;3;1;6;1995;23;3;6;1;2;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;989,964554919694
4691147;1;4;1;10;4;2;5;2000;18;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;08;66;989,964554919694
4691148;1;1;1;10;1;1;2;1964;54;1;2;2; ;3; ;2; ;2;1;120; ; ; ;2;1;2; ;3;1; ; ;2;1;08;66;1498,64333469862
4691148;1;2;1;10;2;1;3;1991;27;3;6;1;1;2; ; ; ;2;1;96; ; ; ;2;1;2; ;6;1;3; ;2;12;08;66;1498,64333469862
4691149;1;1;1;10;1;2;7;1974;44;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;08;66;721,180499199311
4691149;1;2;1;10;2;1;12;1991;26;3;6;2; ;1;1; ; ;1; ; ;1;1;32000;2;1;2; ;5;11;2; ;2;11;08;66;721,180499199311
4691149;1;3;1;10;3;2;4;2001;17;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;08;66;721,180499199311
4691149;1;4;1;10;4;1;6;1969;49;5;6;3; ;3; ; ; ;1; ; ;1;1;32000;2;1;2; ;3;5; ; ;2;5;08;66;721,180499199311
4691150;1;1;1;10;1;1;6;1962;56;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;66;1879,74726111036
4691150;1;2;1;10;2;2;2;1984;34;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;66;1879,74726111036
4691150;1;3;1;10;3;1;7;2001;17;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;08;66;1879,74726111036
4691150;1;4;1;10;4;1;5;2007;11;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;08;66;1879,74726111036
4691150;1;5;1;10;2;1;3;2009;9;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;08;66;1879,74726111036
4692079;1;1;1;10;1;1;8;1958;60;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;23;1539,03659167116
4692079;1;2;1;10;2;2;11;1964;53;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;08;23;1539,03659167116
4692079;1;3;1;10;3;1;4;2001;17;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;08;23;1539,03659167116
4692079;1;4;1;10;4;1;1;2005;13;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;08;23;1539,03659167116
